"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Inflación",0.331,0.519,0.458,0.15
"P07","Inseguridad",0.141,0.078,0.059,0.211
"P07","Pandemia",0.112,0.033,0.097,0
"P07","Educación",0.073,0.1,0.079,0.026
"P07","Transporte público",0.004,0.037,0.009,0
"P07","Desempleo",0.208,0.036,0.067,0.256
"P07","Corrupción",0.03,0.159,0.21,0.284
"P07","Vivienda",0.033,0.023,0.012,0.026
"P07","Otros",0.038,0.015,0.009,0.034
"P07","No sabe",0.03,0,0,0.013
"P08","Gerardo Zamora",0.82,0.28,0.024,0.229
"P08","Pablo Mirolo",0.046,0.112,0.12,0
"P08","Rodrigo Posse",0.002,0.015,0.236,0
"P08","Natalia Neme",0.011,0.041,0.2,0
"P08","Emilio Rached",0.01,0.153,0.077,0.227
"P08","Marcelo Lugones",0.003,0.05,0.131,0.009
"P08","No sabe",0.108,0.349,0.212,0.535
"P09","Gerardo Zamora",0.579,0.335,0.016,0.19
"P09","Pablo Mirolo",0.152,0.148,0.12,0.054
"P09","Rodrigo Posse",0.005,0.066,0.188,0
"P09","Natalia Neme",0.021,0.113,0.306,0
"P09","Emilio Rached",0.054,0.049,0.086,0.176
"P09","Marcelo Lugones",0.017,0.074,0.075,0.009
"P09","No sabe",0.172,0.215,0.209,0.571
"P10","A los candidatos del Frente Cívico por Santiago",0.677,0.341,0.016,0.252
"P10","A los candidatos del Frente de Todos",0.077,0.087,0.094,0
"P10","A los candidatos de Cambiemos",0.042,0.184,0.496,0.305
"P10","A otros candidatos",0.025,0.152,0.345,0
"P10","No sabe",0.179,0.236,0.049,0.443
"P11","Positiva",0.443,0.226,0.087,0.029
"P11","Negativa",0.446,0.754,0.903,0.877
"P11","No sabe",0.111,0.02,0.01,0.094
"P12","Positiva",0.765,0.134,0.123,0.196
"P12","Negativa",0.178,0.76,0.863,0.451
"P12","No sabe",0.057,0.106,0.014,0.353
"P13","Positiva",0.76,0.31,0.093,0.588
"P13","Negativa",0.184,0.585,0.845,0.204
"P13","No sabe",0.056,0.105,0.062,0.208
"P14","Positiva",0.543,0.592,0.512,0.41
"P14","Negativa",0.404,0.374,0.488,0.401
"P14","No sabe",0.053,0.034,0,0.189
"P15","Positiva",0.694,0.281,0.118,0.092
"P15","Negativa",0.27,0.707,0.872,0.748
"P15","No sabe",0.036,0.012,0.01,0.16
"P16","Positiva",0.833,0.37,0.125,0.199
"P16","Negativa",0.121,0.499,0.856,0.545
"P16","No sabe",0.046,0.131,0.019,0.256
"P17","Positiva",0.454,0.348,0.374,0.107
"P17","Negativa",0.514,0.589,0.626,0.294
"P17","No sabe",0.032,0.063,0,0.599
"P19","Positiva",0.122,0.323,0.456,0.102
"P19","Neutra",0.247,0.301,0.337,0.49
"P19","Negativa",0.617,0.376,0.207,0.226
"P19","No sabe",0.014,0,0,0.182
"P20","Positiva",0.693,0.173,0.022,0.055
"P20","Neutra",0.204,0.346,0.157,0.23
"P20","Negativa",0.097,0.42,0.816,0.618
"P20","No sabe",0.006,0.061,0.005,0.097
"P21","Positiva",0.668,0.175,0.087,0.102
"P21","Neutra",0.149,0.333,0.027,0.426
"P21","Negativa",0.166,0.492,0.886,0.425
"P21","No sabe",0.017,0,0,0.047
"P22","Positiva",0.217,0.346,0.574,0.374
"P22","Neutra",0.344,0.37,0.188,0.137
"P22","Negativa",0.181,0.248,0.162,0.03
"P22","No sabe",0.258,0.036,0.076,0.459
"P23","Positiva",0.393,0.139,0.069,0.011
"P23","Neutra",0.35,0.598,0.042,0.075
"P23","Negativa",0.112,0.259,0.875,0.531
"P23","No sabe",0.145,0.004,0.014,0.383
"P24","Positiva",0.134,0.245,0.485,0.261
"P24","Neutra",0.273,0.408,0.333,0.147
"P24","Negativa",0.355,0.255,0.182,0.242
"P24","No sabe",0.238,0.092,0,0.35
"P25","Positiva",0.191,0.326,0.517,0.383
"P25","Neutra",0.327,0.309,0.238,0.173
"P25","Negativa",0.291,0.213,0.177,0.112
"P25","No sabe",0.191,0.152,0.068,0.332
"P26","Positiva",0.846,0.346,0.045,0.28
"P26","Neutra",0.119,0.472,0.185,0.377
"P26","Negativa",0.021,0.09,0.768,0.223
"P26","No sabe",0.014,0.092,0.002,0.12
"P27","Positiva",0.344,0.31,0.164,0.044
"P27","Neutra",0.389,0.463,0.419,0.204
"P27","Negativa",0.087,0.053,0.381,0.181
"P27","No sabe",0.18,0.174,0.036,0.571
"P28","Positiva",0.094,0.126,0.149,0.171
"P28","Neutra",0.379,0.514,0.442,0.264
"P28","Negativa",0.102,0.058,0.242,0
"P28","No sabe",0.425,0.302,0.167,0.565
