"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P05","Si",0.883,0.773,0.76,0.792
"P05","Puede ser",0.088,0.15,0.198,0.15
"P05","No",0.029,0.077,0.042,0.058
"P06","Gerardo Zamora por el Frente Civico por Santiago",0.523,0.787,0.77,0.67
"P06","Pablo Mirolo por el Frente Renovador",0.143,0.091,0.044,0.137
"P06","Marcelo Lugones por Juntos por el Cambio",0.158,0.041,0.005,0.037
"P06","Emilio Rached por Juntos por el Cambio",0.074,0.023,0.015,0
"P06","Guillermo Suarez Melean por Juntos por el Cambio",0.025,0,0.021,0
"P06","Natalia Neme por Juntos por el Cambio",0.009,0.001,0.007,0
"P06","No sabe",0.068,0.057,0.138,0.156
"P08","Angel Nicolai del Frente Cívico por Santiago",0.411,0.502,0.529,0.343
"P08","Pablo Mirolo por el Frente renovador",0.118,0.222,0.244,0.201
"P08","Marcelo Lugones por Juntos por el Cambio",0.224,0.024,0.009,0
"P08","Emilio Rached por Juntos por el Cambio",0.081,0.029,0.005,0
"P08","Rodrigo Posse por Juntos por el Cambio",0.017,0.017,0.002,0
"P08","Facundo Perez Carletti por Juntos por el Cambio",0.042,0.021,0,0
"P08","Natalia Neme por Juntos por el Cambio",0.031,0.032,0.033,0.102
"P08","A otros candidatos",0.029,0.025,0.096,0.014
"P08","No sabe",0.047,0.128,0.082,0.34
"P10","El covid-19",0.093,0.241,0.261,0.148
"P10","El desempleo",0.335,0.266,0.236,0.147
"P10","El precio del dólar",0.092,0.138,0.022,0
"P10","La inseguridad",0.068,0.06,0,0.019
"P10","La inflación",0.082,0.068,0.121,0.138
"P10","La corrupción",0.169,0.035,0.137,0.115
"P10","La pobreza",0.091,0.103,0.124,0.263
"P10","Las tarifas",0,0.022,0.066,0.006
"P10","Otro",0.07,0.067,0.033,0.164
"P15","Positiva",0.367,0.642,0.713,0.497
"P15","Neutra",0.286,0.178,0.136,0.178
"P15","Negativa",0.334,0.148,0.146,0.124
"P15","No sabe",0.013,0.032,0.005,0.201
"P16","Positiva",0.412,0.117,0.023,0.157
"P16","Neutra",0.183,0.383,0.161,0.202
"P16","Negativa",0.398,0.479,0.816,0.446
"P16","No sabe",0.007,0.021,0,0.195
"P17","Positiva",0.471,0.702,0.754,0.536
"P17","Neutra",0.077,0.159,0.059,0.201
"P17","Negativa",0.441,0.138,0.187,0.131
"P17","No sabe",0.011,0.001,0,0.132
"P19","Positiva",0.356,0.261,0.392,0.306
"P19","Neutra",0.355,0.618,0.137,0.096
"P19","Negativa",0.289,0.117,0.431,0.041
"P19","No sabe",0,0.004,0.04,0.557
"P20","Si",0.75,0.56,0.606,0.486
"P20","No",0.25,0.44,0.394,0.514
