"var","categoria","A Tolosa Paz por el Frente de Todos","A Santilli y Manes por Juntos","A del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazzo por ""Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.162,0.301,0,0.117,0,0,0.32
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.454,0.15,0.172,0.417,0,0,0.458
"P09","Nunca voy a votar",0,0.031,0,0,0,0,0
"P09","Por miedo a la pandemia",0.279,0.241,0,0,0,0,0.036
"P09","Porque las PASO no son elecciones importantes",0.105,0.277,0.828,0.466,1,0,0.186
"P16","A Juan Aníbal Viaggo por Juntos",0,0.976,0,0,0,0,0
"P16","A Mateo Bartolini por el Frente de todos",0.992,0,0,0.028,0,0,0.058
"P16","A Catalina Riganti por Convocación Civica por San Isidro",0.003,0.018,0,0.016,0.053,1,0.005
"P16","A Francisco Sicardi de Estrada por Avanza libertad",0,0,0,0.956,0,0,0
"P16","A Florencia Sarmiento por el Frente de Izquierda",0,0,1,0,0.085,0,0
"P16","A Martín Eduardo Palma Bastidas por “Vamos con vos""",0,0,0,0,0.717,0,0
"P16","Votaría en blanco o anularía",0.005,0.006,0,0,0.145,0,0.937
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.105,0.918,0.24,0.155,0.172,0,0.116
"P18","Victoria Tolosa Paz por el Frente de todos",0.843,0.039,0.128,0,0,0,0.015
"P18","Nicolás del Caño por el Frente de Izquierda",0.003,0.009,0.414,0.006,0.085,0,0
"P18","José Luis Espert por “Avanza Libertad”",0.005,0.018,0,0.8,0.079,0,0
"P18","Florencio Randazzo por “Vamos con vos”",0.018,0.002,0.03,0.011,0.499,0,0.012
"P18","Cynthia Hotton por “+Valores”",0,0,0,0,0,1,0.03
"P18","Ninguna en particular",0.026,0.009,0.057,0.02,0.165,0,0.552
"P18","No sabe",0,0.005,0.131,0.008,0,0,0.275
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.715,0.077,0.445,0.029,0,0,0.144
"P19","Victoria Tolosa Paz por el Frente de todos",0.084,0.846,0.361,0.89,0.467,0,0.303
"P19","Nicolás del Caño por el Frente de Izquierda",0.029,0.016,0.148,0.008,0.059,0,0
"P19","José Luis Espert por “Avanza Libertad”",0.06,0.002,0,0.065,0,0,0.016
"P19","Florencio Randazzo por “Vamos con vos”",0.024,0.007,0,0,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.003,0.004,0,0,0.042,0,0.124
"P19","Ninguna en particular",0.08,0.043,0.046,0.008,0.392,1,0.138
"P19","No sabe",0.005,0.005,0,0,0.04,0,0.275
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.203,0.23,0.411,0.192,0.166,0,0.327
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.29,0.312,0.118,0.202,0.242,0,0.121
"P20","No alcanzan para cubrir los gastos totales de la familia",0.092,0.152,0.097,0.137,0.08,1,0.072
"P20","Alcanzan para cubrir los gastos totales de la familia",0.186,0.164,0.234,0.305,0.106,0,0.178
"P20","Tenemos un pequeño excedente, pero es excepcional",0.066,0.058,0,0.122,0.246,0,0.003
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.098,0.051,0.012,0.019,0.11,0,0.113
"P20","Tenemos un gran excedente pero es excepcional",0.009,0.001,0,0.002,0,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.012,0.007,0,0.005,0,0,0.104
"P20","No sabe",0.044,0.025,0.128,0.016,0.05,0,0.082
"P21","Muy buena",0.319,0.005,0.146,0.03,0.054,0,0
"P21","Buena",0.448,0.032,0,0.049,0,0,0.098
"P21","Ni buena ni mala",0.135,0.063,0.128,0.006,0.334,0,0.263
"P21","Mala",0.048,0.155,0.128,0.013,0.255,0,0.112
"P21","Muy mala",0.035,0.74,0.5,0.872,0.357,1,0.362
"P21","No sabe",0.015,0.005,0.098,0.03,0,0,0.165
"P22","Muy buena",0.649,0.009,0.218,0,0,0,0.017
"P22","Buena",0.176,0.027,0.131,0,0,0,0.111
"P22","Ni buena ni mala",0.056,0.024,0.079,0.006,0.214,0,0.238
"P22","Mala",0.021,0.051,0.049,0.007,0,0,0.025
"P22","Muy mala",0.086,0.877,0.523,0.956,0.73,1,0.443
"P22","No sabe",0.012,0.012,0,0.031,0.056,0,0.166
"P23","Muy buena",0.182,0.001,0.081,0,0.256,0,0
"P23","Buena",0.306,0.019,0.065,0,0,0,0.076
"P23","Ni buena ni mala",0.292,0.056,0.104,0.043,0.117,0,0.213
"P23","Mala",0.14,0.147,0.284,0.028,0.075,0,0.072
"P23","Muy mala",0.07,0.765,0.466,0.929,0.552,1,0.474
"P23","No sabe",0.01,0.012,0,0,0,0,0.165
"P24","Muy buena",0.043,0.297,0.065,0.034,0,0,0.021
"P24","Buena",0.022,0.313,0.084,0.144,0.023,0,0.11
"P24","Ni buena ni mala",0.049,0.216,0.017,0.329,0.073,0,0.166
"P24","Mala",0.207,0.118,0.06,0.239,0.08,0,0.13
"P24","Muy mala",0.644,0.054,0.658,0.254,0.763,1,0.452
"P24","No sabe",0.035,0.002,0.116,0,0.061,0,0.121
"P25","Muy buena",0.036,0.44,0.063,0.038,0.077,0,0.117
"P25","Buena",0.091,0.336,0.046,0.128,0.492,0,0.117
"P25","Ni buena ni mala",0.146,0.186,0.111,0.407,0.361,0,0.374
"P25","Mala",0.184,0.032,0.267,0.143,0.022,0,0.164
"P25","Muy mala",0.538,0.005,0.483,0.284,0.048,1,0.112
"P25","No sabe",0.005,0.001,0.03,0,0,0,0.116
