"var","categoria","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P05","Mucho",0.526,0.4,0.343,0.504,0.528
"P05","Bastante",0.3,0.41,0.405,0.263,0.204
"P05","Poco",0.148,0.162,0.15,0.154,0.155
"P05","Nada",0.026,0.028,0.095,0.079,0.093
"P05","No sabe",0,0,0.007,0,0.02
"P06","Siempre",0.259,0.31,0.369,0.247,0.333
"P06","Casi siempre",0.439,0.434,0.229,0.496,0.246
"P06","Casi nunca",0.147,0.205,0.28,0.188,0.256
"P06","Nunca, pero esta es una excepción",0.155,0.051,0.122,0.069,0.165
"P08","Unión por la Patria y el peronismo",0.853,0.056,0.053,0.356,0.13
"P08","Juntos por el Cambio",0.071,0.842,0.09,0.036,0.234
"P08","De los Liberales libertarios",0.014,0.045,0.772,0.037,0.278
"P08","De la Izquierda",0.007,0.003,0,0.351,0.069
"P08","No sabe",0.055,0.054,0.085,0.22,0.289
"P09","A Sergio Massa",0.359,0.119,0.049,0,0.155
"P09","A Daniel Scioli",0.064,0.388,0.417,0,0.02
"P09","A algún candidato del peronismo",0.081,0.472,0,0.113,0.186
"P09","Wado de Pedro",0.496,0.021,0.534,0.887,0.639
"P10","A Horacio Rodriguez Larreta",0.114,0.096,0,1,0.221
"P10","A Patricia Bullrich",0.459,0.845,0.79,0,0.61
"P10","A Facundo Manes",0.353,0.031,0,0,0
"P10","A Gerardo Morales",0.074,0.028,0.21,0,0.169
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.638,0.024,0.107,0.091,0.125
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.102,0.02,0,0.238,0.034
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.102,0.719,0.117,0.083,0.065
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.056,0.139,0.012,0.232,0.076
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.033,0.732,0.056,0.413
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.006,0,0.264,0
"P11","En blanco",0.011,0.017,0,0,0.122
"P11","No sabe",0.052,0.042,0.032,0.036,0.165
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.774,0.084,0.029,0.137,0.125
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.089,0.015,0,0.276,0.035
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.022,0.671,0.111,0.138,0.131
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.009,0.154,0.027,0.1,0.083
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.033,0.773,0.056,0.337
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0,0.014,0.293,0
"P13","En blanco",0,0.003,0,0,0.187
"P13","No sabe",0.082,0.04,0.046,0,0.102
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.702,0.07,0.069,0.254,0.103
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.082,0.011,0.024,0.214,0.141
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.137,0.734,0.111,0,0.062
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.013,0.133,0.01,0.273,0.07
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.023,0.776,0.069,0.388
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.001,0.002,0.19,0.053
"P15","En blanco",0.004,0.003,0,0,0.097
"P15","No sabe",0.037,0.025,0.008,0,0.086
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.688,0.058,0,0.107,0.079
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.127,0.056,0.011,0.078,0.067
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.052,0.673,0.098,0.109,0.184
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.002,0.14,0.033,0.14,0.079
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.042,0.816,0.069,0.357
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.007,0,0.419,0
"P17","En blanco",0.004,0.003,0,0.037,0.17
"P17","No sabe",0.098,0.021,0.042,0.041,0.064
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.736,0.107,0.006,0.193,0.068
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.064,0.018,0.032,0.025,0.045
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.054,0.666,0.104,0.138,0.123
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.028,0.142,0.004,0.237,0.134
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.046,0.834,0.069,0.337
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.003,0.008,0.301,0
"P19","En blanco",0.021,0,0,0,0.154
"P19","No sabe",0.063,0.018,0.012,0.037,0.139
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.734,0.044,0.03,0.531,0.138
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.151,0.048,0,0.06,0.028
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.057,0.687,0.11,0.138,0.083
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.005,0.165,0.004,0.084,0.147
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.027,0.835,0.069,0.337
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.004,0.005,0.118,0
"P21","En blanco",0.013,0,0.014,0,0.152
"P21","No sabe",0.031,0.025,0.002,0,0.115
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.805,0.002,0.013,0.315,0.055
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.086,0.881,0.131,0.129,0.09
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.088,0.772,0.102,0.384
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.031,0.001,0,0.373,0.005
"P22","En blanco",0.012,0.003,0.066,0,0.308
"P22","No sabe",0.056,0.025,0.018,0.081,0.158
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.837,0.02,0.014,0.126,0.13
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.049,0.685,0.06,0.176,0.166
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.045,0.094,0.86,0.102,0.28
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0,0,0.54,0
"P23","En blanco",0.004,0.038,0.052,0,0.306
"P23","No sabe",0.056,0.163,0.014,0.056,0.118
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.895,0.035,0.006,0.207,0.083
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.026,0.894,0.097,0.092,0.081
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.04,0.82,0.093,0.283
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.001,0.015,0.562,0.033
"P24","En blanco",0.003,0.001,0.047,0,0.353
"P24","No sabe",0.064,0.029,0.015,0.046,0.167
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.888,0.043,0.013,0.196,0.084
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.013,0.649,0.138,0.356,0.14
