"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.422,0.356,0.509,0.491
"P05","Bastante",0.383,0.333,0.34,0.324
"P05","Poco",0.111,0.289,0.114,0.089
"P05","Nada",0.08,0.022,0.036,0.071
"P05","No sabe",0.004,0,0.001,0.025
"P06","Siempre",0.337,0.281,0.25,0.383
"P06","Casi siempre",0.294,0.387,0.469,0.275
"P06","Casi nunca",0.269,0.193,0.199,0.197
"P06","Nunca, pero esta es una excepción",0.1,0.139,0.082,0.145
"P08","Unión por la Patria y el peronismo",0.097,0.313,0.467,0.15
"P08","Juntos por el Cambio",0.368,0.456,0.316,0.398
"P08","De los Liberales libertarios",0.459,0.137,0.133,0.218
"P08","De la Izquierda",0,0.04,0.017,0.03
"P08","No sabe",0.076,0.054,0.067,0.204
"P09","A Sergio Massa",0.355,0.34,0.303,0.319
"P09","A Daniel Scioli",0.247,0.185,0.06,0
"P09","A algún candidato del peronismo",0.151,0.173,0.088,0
"P09","Wado de Pedro",0.247,0.302,0.549,0.681
"P10","A Horacio Rodriguez Larreta",0.077,0.145,0.124,0.08
"P10","A Patricia Bullrich",0.923,0.768,0.781,0.735
"P10","A Facundo Manes",0,0.077,0.029,0.018
"P10","A Gerardo Morales",0,0.01,0.066,0.167
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.041,0.148,0.399,0.169
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.03,0.05,0.074,0.015
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.267,0.472,0.242,0.324
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.02,0.122,0.096,0.074
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.642,0.106,0.117,0.217
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.014,0.012,0.03
"P11","En blanco",0,0.016,0.036,0.012
"P11","No sabe",0,0.072,0.024,0.159
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.116,0.319,0.422,0.131
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.002,0.051,0.07,0.003
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.251,0.357,0.247,0.326
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.04,0.108,0.069,0.063
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.582,0.109,0.112,0.27
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.01,0.018,0.03
"P13","En blanco",0,0.008,0.023,0.037
"P13","No sabe",0.009,0.038,0.039,0.14
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.146,0.211,0.404,0.122
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.015,0.045,0.068,0.037
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.198,0.473,0.282,0.373
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.016,0.123,0.062,0.041
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.625,0.104,0.116,0.246
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.013,0.007,0.046
"P15","En blanco",0,0.008,0.03,0.012
"P15","No sabe",0,0.023,0.031,0.123
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.054,0.205,0.393,0.148
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0,0.137,0.076,0.022
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.333,0.313,0.243,0.386
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.021,0.111,0.062,0.069
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.592,0.146,0.117,0.277
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.026,0.012,0.03
"P17","En blanco",0,0.008,0.038,0.012
"P17","No sabe",0,0.054,0.059,0.056
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.093,0.272,0.442,0.132
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.01,0.029,0.035,0.055
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.292,0.355,0.219,0.318
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.027,0.153,0.094,0.045
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.575,0.136,0.119,0.27
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.016,0.013,0.042
"P19","En blanco",0,0.008,0.045,0.012
"P19","No sabe",0,0.031,0.033,0.126
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.111,0.219,0.423,0.152
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.012,0.15,0.06,0.046
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.281,0.341,0.248,0.345
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.01,0.102,0.087,0.085
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.586,0.136,0.118,0.23
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.009,0.006,0
"P21","En blanco",0,0.01,0.039,0.025
"P21","No sabe",0,0.033,0.019,0.117
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.059,0.219,0.424,0.206
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.307,0.529,0.309,0.39
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.603,0.162,0.14,0.174
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.014,0.032,0.009
"P22","En blanco",0.017,0.01,0.065,0.097
"P22","No sabe",0.012,0.066,0.03,0.124
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.109,0.21,0.447,0.231
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.23,0.455,0.257,0.285
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.617,0.219,0.128,0.242
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.026,0.014,0.009
"P23","En blanco",0.031,0.016,0.074,0.082
"P23","No sabe",0.013,0.074,0.08,0.151
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.062,0.324,0.474,0.185
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.233,0.482,0.286,0.412
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.623,0.116,0.135,0.155
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.039,0.008,0.035
"P24","En blanco",0.072,0.011,0.046,0.067
"P24","No sabe",0.01,0.028,0.051,0.146
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.063,0.328,0.475,0.145
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.201,0.41,0.271,0.253
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.684,0.198,0.085,0.213
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.014,0.009,0.042
"P25","En blanco",0.029,0.032,0.076,0.125
"P25","No sabe",0.023,0.018,0.084,0.222
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.057,0.253,0.461,0.16
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.255,0.551,0.339,0.375
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.647,0.131,0.088,0.24
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.028,0.006,0
"P26","En blanco",0.029,0.022,0.057,0.075
"P26","No sabe",0.012,0.015,0.049,0.15
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.053,0.258,0.462,0.16
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.189,0.472,0.255,0.306
