"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.555,0.467,0.529,0.559,0.357
"P05","Bastante",0.299,0.324,0.3,0.355,0.229
"P05","Poco",0.104,0.156,0.107,0.049,0.259
"P05","Nada",0.037,0.044,0.042,0,0.091
"P05","No sabe",0.005,0.009,0.022,0.037,0.064
"P06","Siempre",0.236,0.238,0.216,0.278,0.119
"P06","Casi siempre",0.331,0.378,0.354,0.372,0.237
"P06","Casi nunca",0.296,0.245,0.277,0.34,0.298
"P06","Nunca, pero esta es una excepción",0.137,0.139,0.153,0.01,0.346
"P09","Unión por la Patria",0.654,0.08,0.37,0.125,0.049
"P09","Juntos por el Cambio",0.203,0.561,0.086,0.059,0.164
"P09","De los Liberales libertarios",0.048,0.235,0.353,0.092,0
"P09","De la Izquierda",0.009,0.034,0.019,0.538,0.102
"P09","Hacemos por nuestro país",0.001,0.012,0.041,0.011,0.129
"P09","Otro",0.038,0.023,0.049,0.163,0.264
"P09","En blanco",0.009,0.008,0.025,0.012,0.101
"P09","No sabe",0.038,0.047,0.057,0,0.191
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.812,0.12,0.073,0.168,0.049
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.025,0.768,0.114,0.055,0.05
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.118,0.092,0.779,0.088,0.114
"P12_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.002,0.012,0.618,0.018
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.016,0.022,0.071,0.35
"P12_imputada","En blanco",0.035,0.002,0,0,0.419
"P15","Si",0.333,0.495,0.35,0.609,0.423
"P15","No",0.667,0.505,0.65,0.391,0.577
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.669,0.105,0.138,0.297,0.227
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.123,0.635,0.165,0,0.14
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.142,0.226,0.601,0.159,0.517
"P16_imputada","Los candidatos a presidente de la Izquierda",0.035,0.003,0.06,0.43,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.031,0.036,0.114,0.058
"P16_imputada","En blanco",0.022,0,0,0,0.058
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",1,0,0,0,0
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"P19_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"P19_imputada","En blanco",0,0,0,0,1
"P22_imputada","Fernando Moreira a intendente por Unión por la Patria",0.625,0.287,0.258,0.525,0.272
"P22_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.193,0.597,0.549,0,0.173
