"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.39,0.366,0.296,0.41,0.236
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.256,0.319,0.356,0.165,0.199
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.282,0.256,0.256,0.247,0.376
"P12_imputada","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.018,0.041,0,0.066
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.034,0.019,0.036,0
"P12_imputada","En blanco",0.033,0.007,0.032,0.142,0.123
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.35,0.289,0.34,0.154,0.217
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.309,0.348,0.415,0.476,0
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.291,0.273,0.146,0.246,0.783
"P16_imputada","Los candidatos a presidente de la Izquierda",0.029,0.048,0.077,0.019,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.007,0.039,0.022,0.105,0
"P16_imputada","En blanco",0.014,0.003,0,0,0
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.351,0.305,0.28,0.267,0.535
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.393,0.344,0.471,0.554,0
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.196,0.277,0.207,0.144,0.465
"P19_imputada","El candidato a gobernador de la Izquierda",0.053,0.051,0.01,0,0
"P19_imputada","En blanco",0.007,0.023,0.032,0.035,0
"P22_imputada","Fernando Moreira a intendente por Unión por la Patria",0.433,0.379,0.369,0.323,0.529
"P22_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.405,0.472,0.328,0.505,0.471
"P22_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.145,0.081,0.105,0.156,0
"P22_imputada","El candidato del Frente de Izquierda",0.008,0.025,0.101,0,0
"P22_imputada","En blanco",0.009,0.043,0.097,0.016,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.409,0.361,0.345,0.283,0.119
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.261,0.329,0.368,0.339,0.198
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.282,0.249,0.186,0.272,0.494
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.021,0.033,0.042,0.009,0.065
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.015,0.022,0.026,0.055,0
"PRESIDENTE_imputada","En blanco",0.012,0.006,0.033,0.042,0.124
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.41,0.372,0.319,0.345,0.137
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.285,0.332,0.395,0.335,0.221
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.255,0.243,0.214,0.254,0.424
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.029,0.031,0.01,0,0.074
"GOBERNADOR_imputada","En blanco",0.021,0.022,0.062,0.066,0.144
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria",0.439,0.404,0.35,0.367,0.135
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.29,0.383,0.347,0.311,0.273
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.235,0.163,0.18,0.264,0.372
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.015,0.021,0.042,0,0.073
"INTENDENTE_imputada","En blanco",0.021,0.029,0.081,0.058,0.147
