"var","categoria","Si","No"
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.317,0.428
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.342,0.262
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.267,0.275
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.043,0.018
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.024,0.008
"PRESIDENTE_imputada","En blanco",0.007,0.009
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.324,0.428
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.389,0.262
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.225,0.275
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.043,0.018
"GOBERNADOR_imputada","En blanco",0.019,0.017
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria",0.401,0.427
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.425,0.262
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.12,0.276
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.025,0.018
"INTENDENTE_imputada","En blanco",0.029,0.017
