"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P05","Mucho",0.522,0.638,0.503,0.444,0.626,0.721
"P05","Bastante",0.325,0.272,0.289,0.291,0.344,0.054
"P05","Poco",0.11,0.081,0.175,0.155,0.012,0.225
"P05","Nada",0.031,0.009,0.031,0.093,0.018,0
"P05","No sabe",0.012,0,0.002,0.017,0,0
"P06","Siempre",0.179,0.122,0.174,0.203,0.166,0.151
"P06","Casi siempre",0.345,0.5,0.399,0.271,0.225,0.054
"P06","Casi nunca",0.32,0.235,0.329,0.276,0.424,0.34
"P06","Nunca, pero esta es una excepción",0.156,0.143,0.098,0.25,0.185,0.455
"P10","Unión por la Patria",0.458,0.468,0.718,0.11,0.23,0.797
"P10","Juntos por el Cambio",0.316,0.16,0.158,0.364,0.407,0
"P10","De los Liberales libertarios",0.104,0.199,0.054,0.35,0.168,0.112
"P10","De la Izquierda",0.055,0.037,0.005,0.042,0.012,0.028
"P10","Hacemos por nuestro país",0.001,0.117,0.04,0.037,0.147,0
"P10","En blanco",0.007,0,0.003,0.024,0,0
"P10","No sabe",0.059,0.019,0.022,0.073,0.036,0.063
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.412,0.434,0.561,0.177,0.358,0.797
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.25,0.065,0.123,0.389,0.385,0.083
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.234,0.394,0.3,0.35,0.11,0.029
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.053,0.072,0.006,0.004,0,0.028
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.014,0,0.018,0.147,0
"P13","En blanco",0.007,0.004,0.01,0.009,0,0
"P13","No sabe",0.03,0.017,0,0.053,0,0.063
"P16","Si",0.351,0.22,0.355,0.326,0.304,0.146
"P16","No",0.649,0.78,0.645,0.674,0.696,0.854
"P17","Sergio Massa a presidente por Unión por la Patria.",0.249,0.251,0.683,0.137,0.479,0
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.37,0.286,0.078,0.459,0.366,0
"P17","Javier Milei a presidente por la Libertad Avanza",0.304,0.348,0.19,0.298,0.155,0.669
"P17","Los candidatos a presidente de la Izquierda",0.059,0.056,0.007,0,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.004,0,0.029,0.095,0,0
"P17","En blanco",0.005,0,0.004,0.004,0,0
"P17","No sabe",0.009,0.059,0.009,0.007,0,0.331
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.288,0.364,0.518,0.166,0.322,0
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.339,0.108,0.249,0.562,0.375,0
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.234,0.393,0.097,0.188,0.103,0.669
"P20","El candidato a gobernador de la Izquierda",0.083,0.044,0.011,0.051,0.036,0
"P20","En blanco",0,0,0.09,0.02,0.019,0
"P20","No sabe",0.056,0.091,0.035,0.013,0.145,0.331
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.358,0.214,0.459,0.189,0.459,0
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.428,0.313,0.242,0.467,0.471,0
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.075,0.089,0.065,0.227,0.07,0.669
"P23","El candidato del Frente de Izquierda",0.102,0,0.146,0.089,0,0
"P23","En blanco",0.01,0,0.032,0.022,0,0
"P23","No sabe",0.027,0.384,0.056,0.006,0,0.331
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.323,0.277,0.257,0.653,0.283,0.111
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.218,0.423,0.084,0.206,0.222,0.253
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.311,0.136,0.472,0.084,0.436,0
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.074,0.112,0.114,0.007,0.026,0.487
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.034,0.006,0.045,0,0,0
"P26","No sabe",0.04,0.046,0.028,0.05,0.033,0.149
"P27","Totalmente seguro.",0.695,0.648,0.783,0.773,0.666,1
"P27","Bastante seguro",0.178,0.195,0.111,0.105,0.132,0
"P27","Algo seguro",0.087,0.125,0.093,0.067,0.202,0
"P27","Para nada seguro",0.04,0.032,0.013,0.055,0,0
"P28","Tiene Decidido que va a ir a votar.",0.927,0.833,0.943,0.904,0.988,0.936
"P28","Tiene dudas sobre si va a ir a  votar",0.063,0.053,0.039,0.075,0.012,0
"P28","Tiene Decidido que no va a ir a votar",0.01,0.114,0.018,0.021,0,0.064
"P29","No estaba enterado del tema",0.221,0.155,0.225,0.097,0.025,0.279
"P29","Un tema de la vida privada de él",0.102,0.1,0.146,0.075,0.01,0.083
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.364,0.431,0.482,0.133,0.394,0.547
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.149,0.168,0.057,0.281,0.182,0.028
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.156,0.132,0.026,0.414,0.325,0
"P29","No sabe",0.008,0.014,0.064,0,0.064,0.063
"P30","Si",0.798,0.792,0.712,0.77,0.763,0.753
"P30","No",0.202,0.208,0.288,0.23,0.237,0.247
"P31","Sergio Massa",0.506,0.495,0.748,0.117,0.195,0.695
"P31","Patria Bullrich",0.235,0.179,0.128,0.326,0.565,0.165
"P31","Javier Milei",0.111,0.099,0.059,0.418,0.053,0.112
"P31","Myriam Bregman",0.102,0.146,0.041,0.045,0.122,0.028
"P31","Juan Schiaretti",0.046,0.081,0.024,0.094,0.065,0
"P32","Ha aumentado significativamente",0.132,0.134,0.171,0.032,0.147,0.522
"P32","Ha aumentado ligeramente",0.169,0.274,0.225,0.178,0.136,0.25
"P32","Se mantiene igual",0.31,0.279,0.334,0.184,0.179,0
"P32","Ha disminuido ligeramente",0.171,0.163,0.179,0.227,0.193,0.111
"P32","Ha disminuido significativamente",0.218,0.15,0.091,0.379,0.345,0.117
"P33","No, ninguna dificultad",0.337,0.261,0.442,0.207,0.376,0.607
"P33","Alguna dificultad ocasional",0.304,0.46,0.291,0.286,0.381,0.193
"P33","Sí, dificultades frecuentes",0.359,0.279,0.267,0.507,0.243,0.2
"P34","Sí, absolutamente",0.643,0.211,0.627,0.293,0.349,0.8
"P34","Sí, en cierta medida",0.251,0.661,0.213,0.322,0.499,0.083
"P34","No, en absoluto",0.106,0.128,0.16,0.385,0.152,0.117
"P36","Muy positiva",0.399,0.118,0.314,0.065,0.186,0.027
"P36","Positiva",0.177,0.319,0.197,0.123,0.126,0.46
"P36","Neutral",0.18,0.233,0.27,0.357,0.328,0.084
