"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P04","Gran excedente habitual",0.021,0.006,0.014,0.009,0.028,0.004
"P04","Gran excedente excepcional",0.017,0.012,0.012,0.007,0.013,0.005
"P04","Pequeño excedente habitual",0.123,0.119,0.071,0.11,0.082,0.045
"P04","Pequeño excedente excepcional",0.168,0.151,0.131,0.097,0.117,0.117
"P04","Alcanza gastos familia",0.113,0.153,0.144,0.161,0.144,0.198
"P04","No alcanza gastos familia",0.077,0.09,0.107,0.069,0.089,0.109
"P04","Solo NBFamiliares",0.265,0.303,0.267,0.327,0.232,0.216
"P04","No alcanza NBFamiliares",0.214,0.162,0.252,0.206,0.292,0.294
"P04","No sabe",0.002,0.004,0.002,0.014,0.003,0.012
"P05","Muy buena",0.108,0.079,0.054,0.039,0.097,0.096
"P05","Buena",0.201,0.115,0.082,0.071,0.041,0.068
"P05","Ni buena ni mala",0.292,0.279,0.158,0.063,0.033,0.176
"P05","Mala",0.24,0.27,0.285,0.288,0.174,0.317
"P05","Muy mala",0.159,0.257,0.421,0.539,0.655,0.343
"P06","Muy buena",0.151,0.076,0.02,0.024,0.025,0.042
"P06","Buena",0.256,0.165,0.048,0.042,0.015,0.092
"P06","Ni buena ni mala",0.301,0.296,0.156,0.072,0.015,0.171
"P06","Mala",0.173,0.217,0.277,0.228,0.138,0.248
"P06","Muy mala",0.119,0.246,0.499,0.634,0.807,0.447
"P07","Muy buena",0.236,0.124,0.055,0.028,0.031,0.08
"P07","Buena",0.259,0.262,0.136,0.121,0.087,0.14
"P07","Ni buena ni mala",0.216,0.322,0.349,0.256,0.258,0.334
"P07","Mala",0.207,0.188,0.236,0.403,0.286,0.286
"P07","Muy mala",0.082,0.104,0.224,0.192,0.338,0.16
"P08","Muy buena",0.119,0.03,0.016,0.025,0.033,0.013
"P08","Buena",0.312,0.248,0.118,0.11,0.113,0.137
"P08","Ni buena ni mala",0.348,0.411,0.41,0.369,0.288,0.492
"P08","Mala",0.154,0.212,0.274,0.359,0.265,0.227
"P08","Muy mala",0.067,0.099,0.182,0.137,0.301,0.131
"P09","Muy buena",0.202,0.075,0.033,0.018,0.028,0.024
"P09","Buena",0.325,0.27,0.121,0.065,0.078,0.158
"P09","Ni buena ni mala",0.252,0.328,0.285,0.244,0.151,0.359
"P09","Mala",0.139,0.186,0.298,0.366,0.295,0.241
"P09","Muy mala",0.082,0.141,0.263,0.307,0.448,0.218
"P10","Muy buena",0.208,0.101,0.051,0.067,0.075,0.032
"P10","Buena",0.307,0.34,0.179,0.15,0.12,0.218
"P10","Ni buena ni mala",0.301,0.343,0.407,0.408,0.37,0.383
"P10","Mala",0.11,0.145,0.232,0.256,0.227,0.278
"P10","Muy mala",0.074,0.071,0.131,0.119,0.208,0.089
"P11","Ha aumentado significativamente",0.203,0.078,0.029,0.038,0.031,0.053
"P11","Ha aumentado ligeramente",0.279,0.265,0.141,0.075,0.063,0.123
"P11","Se mantiene igual",0.265,0.344,0.305,0.3,0.226,0.279
"P11","Ha disminuido ligeramente",0.155,0.182,0.261,0.23,0.245,0.359
"P11","Ha disminuido significativamente",0.098,0.131,0.264,0.357,0.435,0.186
"P12","Muy baja",0.112,0.059,0.047,0.095,0.048,0.077
"P12","Baja",0.059,0.08,0.055,0.034,0.011,0.028
"P12","Moderada",0.167,0.148,0.094,0.044,0.042,0.096
"P12","Alta",0.368,0.305,0.181,0.122,0.089,0.217
"P12","Muy alta",0.294,0.408,0.623,0.705,0.81,0.582
"P13","Muy bajas",0.066,0.052,0.047,0.065,0.085,0.043
"P13","Bajas",0.08,0.096,0.111,0.127,0.142,0.099
"P13","Adecuadas",0.397,0.347,0.221,0.197,0.163,0.307
"P13","Altas",0.274,0.303,0.331,0.291,0.22,0.299
"P13","Muy altas",0.183,0.202,0.29,0.32,0.39,0.252
"P14","No, ninguna dificultad",0.431,0.331,0.219,0.224,0.231,0.25
"P14","Alguna dificultad ocasional",0.274,0.316,0.363,0.359,0.317,0.311
"P14","Sí, dificultades frecuentes",0.295,0.353,0.418,0.417,0.452,0.439
"P15","Sí, absolutamente",0.71,0.511,0.36,0.335,0.198,0.377
"P15","Sí, en cierta medida",0.196,0.354,0.371,0.342,0.268,0.407
"P15","No, en absoluto",0.094,0.135,0.269,0.323,0.534,0.216
"P16","Reducir la inflación",0.489,0.472,0.389,0.356,0.259,0.426
"P16","Implementar reformas fiscales",0.092,0.127,0.09,0.104,0.053,0.068
"P16","Establecer políticas de control de precios",0.306,0.196,0.128,0.122,0.093,0.137
"P16","Reducir el gasto público",0.067,0.141,0.327,0.357,0.546,0.298
"P16","Estimular la inversión extranjera",0.018,0.052,0.053,0.039,0.047,0.038
"P16","Aumentar los subsidios a los servicios públicos",0.028,0.012,0.013,0.022,0.002,0.033
"P17","Fomentar la competencia entre proveedores",0.236,0.249,0.359,0.326,0.401,0.359
"P17","Incrementar la inversión en infraestructura",0.204,0.217,0.178,0.234,0.221,0.145
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.259,0.217,0.137,0.107,0.06,0.135
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.301,0.317,0.326,0.333,0.318,0.361
"P18","Muy positiva",0.429,0.205,0.093,0.078,0.055,0.087
