"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.725,0.53,0.103,0.054,0.022,0.032,0.094
"P07","Al candidato de Juntos por el Cambio",0.093,0.31,0.74,0.704,0.033,0.002,0.087
"P07","Al candidato de los liberales - libertarios",0.041,0.085,0.065,0.131,0.867,0.087,0.007
"P07","Al candidato de la Izquierda",0.007,0.026,0.006,0.054,0,0.611,0.027
"P07","A otro candidato",0.024,0.02,0.008,0.01,0.047,0.056,0.302
"P07","No sabe",0.11,0.029,0.078,0.047,0.031,0.212,0.483
"P10","A Julio Zamora por el Frente de Todos",0.816,0.426,0.035,0.082,0.003,0.193,0.145
"P10","A Segundo Cernadas por Cambiemos",0.068,0.22,0.868,0.609,0.022,0.076,0.086
"P10","Al candidato de los liberales libertarios",0.054,0.057,0.039,0.101,0.756,0.034,0
"P10","A Paula Akerfeld por el Frente de Izquierda",0.013,0.104,0.006,0.134,0,0.525,0.019
"P10","No sabe",0.049,0.193,0.052,0.074,0.219,0.172,0.75
"P12","A Malena Galmarini por el Frente de Todos",0.393,0.711,0.064,0.107,0.004,0.019,0.08
"P12","A Segundo Cernadas por Cambiemos",0.219,0.145,0.808,0.646,0.027,0.028,0.155
"P12","Al candidato de los liberales libertarios",0.111,0.02,0.067,0.118,0.912,0.085,0.017
"P12","A Paula Akerfeld por el Frente de Izquierda",0.045,0.041,0.007,0.063,0.002,0.566,0.006
"P12","No sabe",0.232,0.083,0.054,0.066,0.055,0.302,0.742
"P14","Muy buena",0.117,0.333,0.014,0.016,0.005,0,0
"P14","Buena",0.145,0.347,0.06,0.011,0.003,0.034,0.038
"P14","Ni buena ni mala",0.285,0.114,0.16,0.121,0.178,0.307,0.226
"P14","Mala",0.175,0.033,0.254,0.254,0.162,0.257,0.199
"P14","Muy mala",0.13,0.163,0.485,0.491,0.578,0.221,0.223
"P14","No sabe",0.148,0.01,0.027,0.107,0.074,0.181,0.314
"P15","Muy buena",0.515,0.092,0.017,0.057,0.009,0.033,0.003
"P15","Buena",0.307,0.253,0.154,0.241,0.018,0.075,0.18
"P15","Ni buena ni mala",0.124,0.3,0.351,0.361,0.256,0.434,0.313
"P15","Mala",0.005,0.147,0.258,0.132,0.341,0.08,0.13
"P15","Muy mala",0.006,0.191,0.201,0.169,0.351,0.126,0.212
"P15","No sabe",0.043,0.017,0.019,0.04,0.025,0.252,0.162
"P16","Muy buena",0.08,0.113,0.394,0.156,0.041,0.06,0.036
"P16","Buena",0.124,0.117,0.368,0.31,0.074,0.091,0.135
"P16","Ni buena ni mala",0.221,0.32,0.169,0.31,0.347,0.398,0.242
"P16","Mala",0.151,0.119,0.029,0.105,0.286,0.103,0.088
"P16","Muy mala",0.2,0.299,0.01,0.023,0.136,0.318,0.174
"P16","No sabe",0.224,0.032,0.03,0.096,0.116,0.03,0.325
"P17","Muy buena",0.041,0.028,0.04,0.068,0.025,0.048,0.016
"P17","Buena",0.029,0.049,0.043,0.088,0.096,0.032,0
"P17","Ni buena ni mala",0.264,0.3,0.361,0.255,0.271,0.323,0.126
"P17","Mala",0.047,0.108,0.104,0.017,0.162,0.064,0.009
