"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P07","Al candidato del Frente de Todos",0.657,0.6,0.338,0.127
"P07","Al candidato de Juntos por el Cambio",0.166,0.12,0.366,0.423
"P07","Al candidato de los liberales - libertarios",0.097,0.103,0.142,0.313
"P07","Al candidato de la Izquierda",0.011,0.069,0.045,0.03
"P07","A otro candidato",0.005,0.05,0.044,0.049
"P07","No sabe",0.064,0.058,0.065,0.058
"P08","A Malena Galmarini",0.385,0.478,0.754,0.859
"P08","A Julio Zamora",0.615,0.522,0.246,0.141
"P09","A Segundo Cernadas",0.15,0.617,0.744,0.62
"P09","A Nicolás Massot",0.85,0.383,0.256,0.38
"P10","A Malena Galmarini por el Frente de Todos",0.213,0.279,0.313,0.165
"P10","A Julio Zamora por el Frente de Todos",0.615,0.422,0.105,0.015
"P10","A Segundo Cernadas por Juntos por el Cambio",0.086,0.094,0.316,0.328
"P10","A Nicolás Massot por Juntos por el Cambio",0.059,0.053,0.092,0.169
"P10","Al candidato de los liberales libertarios",0.023,0.049,0.078,0.258
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.034,0.047,0.025
"P10","No sabe",0.004,0.069,0.049,0.04
"P12","A Julio Zamora por el Frente de Todos",0.647,0.617,0.289,0.086
"P12","A Segundo Cernadas por Juntos por el Cambio",0.201,0.105,0.347,0.432
"P12","Al candidato de los liberales libertarios",0.064,0.102,0.193,0.299
"P12","A Paula Akerfeld por el Frente de Izquierda",0.015,0.067,0.045,0.023
"P12","No sabe",0.073,0.109,0.126,0.16
"P14","A Malena Galmarini por el Frente de Todos",0.413,0.467,0.362,0.111
"P14","A Segundo Cernadas por Juntos por el Cambio",0.188,0.196,0.3,0.455
"P14","Al candidato de los liberales libertarios",0.128,0.14,0.194,0.317
"P14","A Paula Akerfeld por el Frente de Izquierda",0.066,0.048,0.045,0.016
"P14","No sabe",0.205,0.149,0.099,0.101
"P16","A Malena Galmarini por el Frente de Todos",0.188,0.409,0.353,0.161
"P16","A Segundo Cernadas por Juntos por el Cambio",0.152,0.116,0.325,0.347
"P16","A Nicolás Massot por Juntos por el Cambio",0.069,0.087,0.098,0.148
"P16","A Julio Zamora por un partido vecinal",0.445,0.23,0.013,0.002
"P16","Al candidato de los liberales libertarios",0.082,0.075,0.106,0.286
"P16","A Paula Akerfeld por el Frente de Izquierda",0.041,0.002,0.052,0.016
"P16","No sabe",0.023,0.081,0.053,0.04
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.349,0.389,0.32,0.099
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.286,0.151,0.067,0.028
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.19,0.153,0.229,0.36
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.022,0.084,0.139,0.131
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.074,0.113,0.184,0.308
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.026,0.003,0.018
"P18","En blanco",0.01,0.027,0.003,0.015
"P18","No sabe",0.058,0.057,0.055,0.041
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.382,0.421,0.28,0.111
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.114,0.175,0.27,0.309
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.068,0.134,0.146
"P19","Julio Zamora a intendente por un partido vecinal",0.352,0.144,0.063,0.109
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.036,0.106,0.174,0.258
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.031,0.028,0.011
"P19","En blanco",0.029,0.025,0,0.018
"P19","No sabe",0.02,0.03,0.051,0.038
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.435,0.423,0.283,0.117
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.145,0.16,0.305,0.329
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.105,0.208,0.136,0.334
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.126,0.07,0.032,0.058
"P20","En blanco",0.08,0.032,0.145,0.089
"P20","No sabe",0.109,0.107,0.099,0.073
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.322,0.427,0.286,0.121
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.09,0.151,0.386,0.317
"P21","Julio Zamora a intendente por un partido vecinal",0.461,0.168,0.044,0.052
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.13,0.164,0.366
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.055,0.058,0.046,0.04
"P21","En blanco",0.027,0.021,0.043,0.047
"P21","No sabe",0.02,0.045,0.031,0.057
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.463,0.473,0.294,0.124
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.134,0.192,0.369,0.449
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.188,0.13,0.135,0.293
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.054,0.046,0.069,0.063
"P22","En blanco",0.06,0.028,0.003,0.033
"P22","No sabe",0.101,0.131,0.13,0.038
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.416,0.465,0.284,0.121
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.112,0.183,0.337,0.435
"P23","Julio Zamora a intendente por un partido vecinal",0.315,0.193,0.111,0.073
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.053,0.092,0.279
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.062,0.017,0.028,0.03
"P23","En blanco",0.041,0.056,0.116,0.021
