"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.445,0.098,0.072,0.067,0.075
"P06","Casi siempre",0.226,0.465,0.156,0.095,0.016
"P06","Casi nunca",0.203,0.289,0.591,0.26,0.248
"P06","Nunca, pero esta es una excepción",0.126,0.148,0.181,0.578,0.661
"P08","Unión por la Patria",0.472,0.368,0.231,0.125,0.145
"P08","Juntos por el Cambio",0.325,0.298,0.379,0.13,0.117
"P08","De los Liberales libertarios",0.086,0.094,0.097,0.17,0.173
"P08","De la Izquierda",0.029,0.037,0.037,0.055,0.045
"P08","Hacemos por nuestro país",0.016,0.051,0.022,0.048,0.096
"P08","Otro.",0.007,0.033,0.1,0.1,0.124
"P08","En blanco",0.007,0.008,0.019,0.154,0
"P08","No sabe",0.058,0.111,0.115,0.218,0.3
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.203,0.31,0.19,0.119,0.124
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.1,0.123,0.087,0.078,0.236
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.037,0.062,0.014,0,0
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.06,0.065,0.03,0.02,0
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.247,0.184,0.246,0.053,0.018
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.126,0.111,0.109,0.114,0
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.185,0.105,0.135,0.251,0.24
"P09","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.023,0.005,0.024,0.056,0.086
"P09","Otros",0.002,0.011,0.063,0.036,0.009
"P09","No sabe",0.017,0.024,0.102,0.273,0.287
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.27,0.283,0.147,0.161,0.425
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.064,0.106,0.023,0.119,0
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.147,0.122,0.181,0.048,0.114
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.21,0.175,0.246,0.055,0
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.079,0.127,0.139,0.086,0.04
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.197,0.085,0.106,0.176,0.075
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.006,0.021,0.012,0.035,0.069
"P12","Otros",0.001,0.048,0.053,0.065,0
"P12","No sabe",0.026,0.033,0.093,0.255,0.277
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.253,0.352,0.171,0.184,0.175
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente por Unión por la Patria",0.112,0.103,0.007,0.04,0
"P15","Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.11,0.101,0.162,0.05,0.137
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.176,0.153,0.223,0.054,0.011
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.126,0.125,0.136,0.104,0.238
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.194,0.102,0.112,0.231,0.036
"P15","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.013,0.015,0.038,0.078
"P15","Otros",0.007,0.016,0.024,0.038,0.062
"P15","No sabe",0.019,0.035,0.15,0.261,0.263
"P18","Lo votaría",0.461,0.353,0.185,0.214,0.122
"P18","Puede que lo vote",0.051,0.116,0.085,0.155,0.045
"P18","Nunca lo votaría",0.457,0.463,0.589,0.495,0.439
"P18","No sabe",0.031,0.068,0.141,0.136,0.394
"P19","Lo votaría",0.347,0.191,0.08,0.04,0
"P19","Puede que lo vote",0.126,0.143,0.124,0.243,0.045
"P19","Nunca lo votaría",0.485,0.597,0.677,0.605,0.47
"P19","No sabe",0.042,0.069,0.119,0.112,0.485
"P20","Lo votaría",0.386,0.193,0.189,0.089,0.178
"P20","Puede que lo vote",0.111,0.242,0.124,0.228,0
"P20","Nunca lo votaría",0.452,0.529,0.624,0.485,0.432
"P20","No sabe",0.051,0.036,0.063,0.198,0.39
"P21","Lo votaría",0.402,0.154,0.154,0.184,0.055
"P21","Puede que lo vote",0.074,0.138,0.095,0.088,0
"P21","Nunca lo votaría",0.447,0.623,0.618,0.608,0.488
"P21","No sabe",0.077,0.085,0.133,0.12,0.457
"P22","Lo votaría",0.429,0.21,0.156,0.142,0.054
"P22","Puede que lo vote",0.087,0.177,0.124,0.07,0
"P22","Nunca lo votaría",0.425,0.561,0.63,0.617,0.536
"P22","No sabe",0.059,0.052,0.09,0.171,0.41
"P23","Lo votaría",0.398,0.25,0.365,0.149,0
"P23","Puede que lo vote",0.15,0.159,0.192,0.128,0.144
"P23","Nunca lo votaría",0.398,0.546,0.353,0.561,0.47
"P23","No sabe",0.054,0.045,0.09,0.162,0.386
"P24","Lo votaría",0.381,0.225,0.216,0.114,0
"P24","Puede que lo vote",0.128,0.179,0.316,0.158,0.145
"P24","Nunca lo votaría",0.415,0.569,0.372,0.474,0.468
"P24","No sabe",0.076,0.027,0.096,0.254,0.387
"P25","Lo votaría",0.32,0.086,0.152,0.195,0.367
"P25","Puede que lo vote",0.127,0.167,0.213,0.075,0.052
"P25","Nunca lo votaría",0.497,0.709,0.532,0.512,0.324
"P25","No sabe",0.056,0.038,0.103,0.218,0.257
"P26","Si",0.562,0.426,0.192,0.136,0.1
"P26","No",0.438,0.574,0.808,0.864,0.9
