"var","categoria","Si","No"
"P05","Mucho",0.559,0.399
"P05","Bastante",0.281,0.331
"P05","Poco",0.116,0.18
"P05","Nada",0.031,0.076
"P05","No sabe",0.013,0.014
"P06","Siempre",0.348,0.147
"P06","Casi siempre",0.442,0.35
"P06","Casi nunca",0.163,0.299
"P06","Nunca, pero esta es una excepción",0.047,0.204
"P07","Tiene Decidido que va a ir a votar.",0.896,0.85
"P07","Tiene dudas sobre si va a ir a  votar",0.087,0.101
"P07","Tiene Decidido que no va a ir a votar",0.017,0.049
"P09","Unión por la Patria",0.365,0.324
"P09","Juntos por el Cambio",0.292,0.304
"P09","De los Liberales libertarios",0.246,0.195
"P09","De la Izquierda",0.03,0.019
"P09","Hacemos por nuestro país",0,0.011
"P09","Otro",0.027,0.101
"P09","En blanco",0.006,0.014
"P09","No sabe",0.034,0.032
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.228,0.207
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.035,0.046
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.175,0.12
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.182,0.169
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.093,0.163
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.24,0.177
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0.023
"P12","Otros",0.004,0.038
"P12","No sabe",0.013,0.057
"P15","Totalmente seguro.",0.761,0.662
"P15","Bastante seguro",0.144,0.113
"P15","Algo seguro",0.054,0.084
"P15","Para nada seguro",0.041,0.141
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.193,0.15
"P17","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.126,0.1
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.325,0.321
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.083,0.172
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza",0.239,0.153
"P17","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.018,0.005
"P17","Otros",0.015,0.047
"P17","No sabe",0.001,0.052
"P20","Malena Galmarini a intendenta por Unión por la Patria",0.124,0.103
"P20","Julio Zamora a intendente por Unión por la Patria",0.43,0.44
"P20","Claudio Cufré a intendente por Juntos por el Cambio",0.058,0.087
"P20","Segundo Cernadas a intendente por Juntos por el Cambio",0.22,0.279
"P20","Claudio Baumgarten a intendente por la Libertad Avanza",0.142,0.03
"P20","Alguno de los candidatos a intendente de la Izquierda",0,0.01
"P20","Otros",0.009,0.011
"P20","No sabe",0.017,0.04
"P23","Totalmente seguro",0.753,0.623
"P23","Bastante seguro",0.193,0.173
"P23","Algo seguro",0.027,0.086
"P23","Para nada seguro",0.027,0.118
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.275,0.271
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.246,0.27
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.265,0.147
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.033,0.04
"P24","Otros",0.13,0.144
"P24","No sabe",0.051,0.128
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.28,0.289
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.266,0.272
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.238,0.179
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0.035
"P27","Otros",0.129,0.14
"P27","No sabe",0.057,0.085
"P28","Lo votaría",0.283,0.231
"P28","Puede que lo vote",0.062,0.127
"P28","Nunca lo votaría",0.631,0.545
"P28","No sabe",0.024,0.097
"P29","Lo votaría",0.158,0.162
"P29","Puede que lo vote",0.107,0.093
"P29","Nunca lo votaría",0.704,0.651
"P29","No sabe",0.031,0.094
"P30","Lo votaría",0.227,0.179
"P30","Puede que lo vote",0.089,0.093
"P30","Nunca lo votaría",0.656,0.65
"P30","No sabe",0.028,0.078
"P31","Lo votaría",0.26,0.217
"P31","Puede que lo vote",0.155,0.219
"P31","Nunca lo votaría",0.577,0.496
"P31","No sabe",0.008,0.068
"P32","Lo votaría",0.178,0.273
"P32","Puede que lo vote",0.19,0.151
"P32","Nunca lo votaría",0.619,0.48
"P32","No sabe",0.013,0.096
"P33","Lo votaría",0.245,0.204
"P33","Puede que lo vote",0.095,0.112
"P33","Nunca lo votaría",0.656,0.571
"P33","No sabe",0.004,0.113
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.261,0.221
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.117,0.124
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.224,0.203
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.093,0.17
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.251,0.179
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.037,0.016
"PRESIDENTE","Otros",0.012,0.042
"PRESIDENTE","No sabe",0.005,0.045
"INTENDENTE","Malena Galmarini a intendenta por Unión por la Patria",0.226,0.227
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria",0.284,0.267
"INTENDENTE","Claudio Cufré a intendente por Juntos por el Cambio",0.061,0.081
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.184,0.235
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.2,0.111
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.024,0.018
"INTENDENTE","Otros",0.007,0.021
"INTENDENTE","No sabe",0.014,0.04
"INTENDENTE_CORTA_1","Malena Galmarini a intendenta por Unión por la Patria",0.187,0.155
"INTENDENTE_CORTA_1","Julio Zamora a intendente por Unión por la Patria",0.059,0.045
"INTENDENTE_CORTA_1","Claudio Cufré a intendente por Juntos por el Cambio",0.406,0.335
"INTENDENTE_CORTA_1","Segundo Cernadas a intendente por Juntos por el Cambio",0.055,0.124
"INTENDENTE_CORTA_1","Claudio Baumgarten a intendente por la Libertad Avanza",0.251,0.179
"INTENDENTE_CORTA_1","Alguno de los candidatos a intendente de la Izquierda",0.025,0.035
"INTENDENTE_CORTA_1","Otros",0.007,0.042
"INTENDENTE_CORTA_1","No sabe",0.01,0.085
"INTENDENTE_CORTA_2","Malena Galmarini a intendenta por Unión por la Patria",0.07,0.083
"INTENDENTE_CORTA_2","Julio Zamora a intendente por Unión por la Patria",0.409,0.461
"INTENDENTE_CORTA_2","Claudio Cufré a intendente por Juntos por el Cambio",0.072,0.084
"INTENDENTE_CORTA_2","Segundo Cernadas a intendente por Juntos por el Cambio",0.307,0.295
"INTENDENTE_CORTA_2","Claudio Baumgarten a intendente por la Libertad Avanza",0.1,0.025
"INTENDENTE_CORTA_2","Alguno de los candidatos a intendente de la Izquierda",0,0.014
"INTENDENTE_CORTA_2","Otros",0.018,0.005
"INTENDENTE_CORTA_2","No sabe",0.024,0.033
