"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P05","Mucho",0.468,0.327,0.447,0.295,0.376
"P05","Bastante",0.312,0.353,0.303,0.098,0.269
"P05","Poco",0.205,0.165,0.194,0.326,0.26
"P05","Nada",0,0.133,0.056,0.281,0
"P05","No sabe",0.015,0.022,0,0,0.095
"P06","Siempre",0.221,0.211,0.16,0.154,0.545
"P06","Casi siempre",0.306,0.448,0.238,0.254,0.065
"P06","Casi nunca",0.369,0.277,0.415,0.369,0.247
"P06","Nunca, pero esta es una excepción",0.104,0.064,0.187,0.223,0.143
"P10","Unión por la Patria",0.602,0.084,0.152,0.141,0.434
"P10","Juntos por el Cambio",0.065,0.539,0.173,0.027,0.359
"P10","De los Liberales libertarios",0.12,0.213,0.55,0,0.019
"P10","De la Izquierda",0.05,0.021,0.07,0.158,0.023
"P10","Hacemos por nuestro país",0.014,0.031,0,0.284,0.069
"P10","En blanco",0.019,0.014,0.01,0.013,0.096
"P10","No sabe",0.13,0.098,0.045,0.377,0
"P26","Totalmente seguro.",0.63,0.616,0.605,0.413,0.157
"P26","Bastante seguro",0.207,0.191,0.279,0.234,0.716
"P26","Algo seguro",0.054,0.157,0.101,0.056,0.105
"P26","Para nada seguro",0.109,0.036,0.015,0.297,0.022
"P27","Tiene Decidido que va a ir a votar.",0.924,0.853,0.893,0.484,1
"P27","Tiene dudas sobre si va a ir a  votar",0.073,0.103,0.085,0.516,0
"P27","Tiene Decidido que no va a ir a votar",0.003,0.044,0.022,0,0
"P28","Si",0.453,0.43,0.417,0.303,0.5
"P28","No",0.547,0.57,0.583,0.697,0.5
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.659,0.13,0.104,0.179,0.154
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.56,0.23,0.175,0.377
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.197,0.21,0.575,0,0.049
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.042,0.042,0.008,0.349,0.023
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.016,0.012,0.083,0.284,0.378
"P13_imputada","En blanco",0.048,0.046,0,0.013,0.019
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.695,0.053,0.124,0.233,0.177
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.058,0.652,0.258,0.044,0.331
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.144,0.238,0.616,0.549,0.03
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.051,0.032,0.002,0.147,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.012,0,0,0.443
"P17_imputada","En blanco",0.038,0.013,0,0.027,0.019
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.721,0.421,0.341,0.581,0.582
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.083,0.455,0.501,0.044,0.097
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.068,0.101,0.139,0,0
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.08,0.01,0.015,0.375,0
"P23_imputada","En blanco",0.048,0.013,0.004,0,0.321
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.695,0.053,0.124,0.233,0.177
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.058,0.652,0.258,0.044,0.331
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.144,0.238,0.616,0.549,0.03
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.051,0.032,0.002,0.147,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.014,0.012,0,0,0.443
"PRESIDENTE_imputada","En blanco",0.038,0.013,0,0.027,0.019
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"GOBERNADOR_imputada","En blanco",0,0,0,0,1
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.721,0.421,0.341,0.581,0.582
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.083,0.455,0.501,0.044,0.097
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.068,0.101,0.139,0,0
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.08,0.01,0.015,0.375,0
"INTENDENTE_imputada","En blanco",0.048,0.013,0.004,0,0.321
