"var","categoria","Julio Zamora","Segundo Cernadas","Otro candidato","En blanco","No sabe"
"P07","Victoria Tolosa Paz para diputada nacional y Gisela Zamora para concejal por el frente de todos",0.633,0.054,0.143,0.217,0.192
"P07","Santilli para diputado nacional y Segundo cernadas para concejal por Juntos",0.102,0.683,0.32,0.152,0.171
"P07","Manes para diputado nacional y Nicolas massot para concejal por juntos",0.055,0.09,0.129,0.04,0.076
"P07","Espert para diputado nacional y Juan José Cervetto para concejal por avanza libertad",0.037,0.067,0.082,0.069,0.057
"P07","Espert para diputado nacional y Martin Liserre Moreno para concejal por Republicanos unidos",0.023,0.011,0.036,0.034,0.044
"P07","Randazzo para diputado nacional y Matias Orfo para concejal por Vamos con vos",0.022,0.007,0.017,0.009,0.013
"P07","Randazzo para diputado nacional y Oscar Hurtado para concejal por vamos con vos",0.001,0.001,0.01,0.009,0
"P07","Guillermo Moreno para diputado nacional y Andrés “Pichon” Flores para concejal por principios y valores",0.017,0.031,0.066,0.128,0.042
"P07","A los candidatos de la izquierda",0.007,0.015,0.046,0.008,0.019
"P07","En blanco o anularía",0.046,0.006,0.072,0.204,0.292
"P07","Cortaría Boleta",0.057,0.035,0.079,0.13,0.094
"P08","Victoria Tolosa Paz por el frente de todos",0.555,0.017,0.662,0.154,0.139
"P08","Santilli dentro de la interna de Juntos",0,0.009,0.048,0,0
"P08","Manes dentro de la interna de juntos",0.036,0,0.221,0,0
"P08","Espert por avanza libertad",0,0.008,0.014,0,0
"P08","Randazzo por Vamos con vos",0.194,0.008,0,0,0
"P08","Guillermo Moreno por principios y valores",0.005,0,0.025,0,0
"P08","A los candidatos de la izquierda",0.003,0,0.015,0,0.134
"P08","En blanco o anularía",0.207,0.958,0.015,0.846,0.727
"P09","Gisela Zamora por el frente de todos",0.711,0.004,0.822,0.562,0.133
"P09","Segundo cernadas dentro de la interna Juntos",0.003,0.633,0,0.004,0
"P09","Nicolas massot dentro de la interna por juntos",0,0,0.101,0,0
"P09","Juan José Cervetto dentro de la interna de avanza libertad",0,0,0.01,0,0
"P09","Martin Liserre Moreno por Republicanos unidos dentro de la interna de Avanza libertad",0.108,0,0,0,0
"P09","Matias Orfo dentro de la interna de vamos con vos",0.002,0.005,0,0,0
"P09","Oscar Hurtado dentro de la interna de vamos con vos",0,0,0.01,0,0.303
"P09","Andrés “Pichon” Flores por principios y valores",0.002,0,0.012,0,0.497
"P09","A los candidatos de la izquierda",0,0,0.019,0.004,0
"P09","En blanco o anularía",0.174,0.358,0.026,0.43,0.067
"P10","Si",0.846,0.836,0.728,0.592,0.461
"P10","Puede ser",0.096,0.078,0.1,0.019,0.347
"P10","No",0.058,0.086,0.172,0.389,0.192
"P11","Si",0.881,0.862,0.79,0.855,0.607
"P11","No",0.119,0.138,0.21,0.145,0.393
"P12","Muy buena",0.415,0.079,0.239,0.139,0.207
"P12","Buena",0.221,0.014,0.056,0.11,0.071
"P12","Ni buena ni mala",0.134,0.025,0.081,0.179,0.16
"P12","Mala",0.061,0.108,0.134,0.137,0.143
"P12","Muy mala",0.165,0.752,0.473,0.431,0.322
"P12","No sabe",0.004,0.022,0.017,0.004,0.097
"P13","Muy buena",0.502,0.064,0.2,0.102,0.217
"P13","Buena",0.107,0.006,0.026,0.143,0.005
"P13","Ni buena ni mala",0.094,0.027,0.068,0.123,0.198
"P13","Mala",0.067,0.032,0.123,0.155,0.041
"P13","Muy mala",0.203,0.847,0.563,0.447,0.411
"P13","No sabe",0.027,0.024,0.02,0.03,0.128
"P14","Muy buena",0.064,0.289,0.185,0.072,0.067
"P14","Buena",0.037,0.25,0.078,0.037,0.075
"P14","Ni buena ni mala",0.171,0.255,0.297,0.2,0.291
"P14","Mala",0.173,0.079,0.13,0.18,0.131
"P14","Muy mala",0.539,0.106,0.296,0.457,0.332
"P14","No sabe",0.016,0.021,0.014,0.054,0.104
"P15","Muy buena",0.123,0.473,0.25,0.209,0.157
"P15","Buena",0.154,0.307,0.279,0.168,0.18
"P15","Ni buena ni mala",0.205,0.093,0.152,0.324,0.25
"P15","Mala",0.134,0.039,0.075,0.082,0.077
"P15","Muy mala",0.346,0.057,0.229,0.194,0.111
"P15","No sabe",0.038,0.031,0.015,0.023,0.225
