"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P06","A Santilli y Manes por Juntos",0.818,0.692,0.206,0.296
"P06","A Tolosa Paz por el Frente de Todos",0.047,0.051,0.546,0.136
"P06","A del Caño por el Frente de Izquierda",0.011,0.019,0.033,0
"P06","A Espert por Avanza libertad",0.078,0.093,0.083,0.017
"P06","A Randazzo ""Vamos con vos""",0.012,0.047,0.043,0.005
"P06","Votaría en blanco o anularía",0.034,0.098,0.089,0.546
"P08","A Segundo cernadas por Juntos",0.747,0.668,0.179,0.465
"P08","A Gisela Zamora por el frente de todos",0.115,0.084,0.602,0.266
"P08","A Juan José Cervetto por avanza libertad",0.037,0.064,0.072,0
"P08","A Paula Yamila Akerfeld por el Frente de Izquierda",0.008,0.036,0.037,0
"P08","A Matias Orfo por Vamos con vos",0.007,0.004,0.012,0
"P08","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.014,0.032,0.036,0.005
"P08","En blanco o anularía",0.072,0.112,0.062,0.264
"P10","Victoria Tolosa Paz por el frente de todos",0.079,0.089,0.512,0.212
"P10","Santilli dentro de la interna de Juntos",0.648,0.353,0.143,0.289
"P10","Manes dentro de la interna de juntos",0.13,0.197,0.073,0
"P10","Espert por avanza libertad",0.076,0.081,0.071,0
"P10","A los candidatos de la izquierda",0.001,0.004,0.009,0.005
"P10","Randazzo por Vamos con vos",0.01,0.048,0.052,0
"P10","Otra lista",0.01,0.084,0.046,0.121
"P10","Votó en blanco o anuló",0.01,0.066,0.051,0.199
"P10","No fue a votar",0.036,0.078,0.043,0.174
"P12","Gisela Zamora por el frente de todos",0.092,0.13,0.529,0.282
"P12","Segundo cernadas dentro de la interna Juntos",0.665,0.424,0.113,0.313
"P12","Nicolas Massot dentro de la interna por juntos",0.122,0.128,0.059,0
"P12","A los candidatos de avanza libertad",0.043,0.05,0.068,0
"P12","A los candidatos de vamos con vos",0.003,0.013,0.033,0
"P12","A los candidatos de la izquierda",0.001,0.041,0.057,0
"P12","A los candidatos de unión celeste y blanco",0.015,0.003,0.025,0.005
"P12","Otra lista",0.028,0.088,0.019,0
"P12","Votó en blanco o anuló",0.01,0.054,0.052,0.226
"P12","No fue a votar",0.021,0.069,0.045,0.174
"P14","Si",0.918,0.873,0.87,0.411
"P14","Puede ser",0.047,0.099,0.075,0.316
"P14","No",0.035,0.028,0.055,0.273
"P15","Positiva",0.119,0.104,0.556,0.203
"P15","Neutra",0.07,0.101,0.117,0.098
"P15","Negativa",0.794,0.786,0.31,0.426
"P15","No sabe",0.017,0.009,0.017,0.273
"P16","Positiva",0.091,0.042,0.551,0.376
"P16","Neutra",0.028,0.077,0.08,0.098
"P16","Negativa",0.873,0.878,0.355,0.289
"P16","No sabe",0.008,0.003,0.014,0.237
"P17","Positiva",0.122,0.079,0.389,0.051
"P17","Neutra",0.061,0.133,0.22,0.152
"P17","Negativa",0.817,0.768,0.37,0.326
"P17","No sabe",0,0.02,0.021,0.471
"P19","Positiva",0.822,0.638,0.188,0.181
"P19","Neutra",0.084,0.301,0.194,0.336
"P19","Negativa",0.082,0.057,0.584,0
"P19","No sabe",0.012,0.004,0.034,0.483
