"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.453,0.289,0.409,0.317,0.441,0.512,0.621,0.257,0.132
"P07","Al candidato de Juntos por el Cambio",0.336,0.496,0.299,0.582,0.357,0.223,0.201,0.355,0.243
"P07","Al candidato de los liberales - libertarios",0.087,0.187,0.097,0.023,0.062,0.086,0.067,0.181,0.276
"P07","Al candidato de la Izquierda",0.012,0,0.022,0.026,0.046,0.053,0.019,0.013,0.107
"P07","A otro candidato",0.063,0.007,0.045,0.014,0.016,0.06,0.015,0.139,0.147
"P07","No sabe",0.049,0.021,0.128,0.038,0.078,0.066,0.077,0.055,0.095
"P08","A Julio Zamora por el Frente de Todos",0.377,0.451,0.508,0.34,0.308,0.297,0.539,0.162,0.081
"P08","A Malena Galmarini por el Frente de Todos",0.133,0.158,0.088,0.065,0.113,0.101,0.169,0.122,0.074
"P08","A Segundo Cernadas por Cambiemos",0.249,0.257,0.13,0.345,0.359,0.324,0.124,0.319,0.24
"P08","A Nicolás Massot por Cambiemos",0.115,0.042,0.09,0.025,0.078,0.051,0.032,0.21,0.129
"P08","Al candidato de los liberales libertarios",0.057,0.07,0.093,0.115,0.042,0.086,0.112,0.086,0.171
"P08","A Paula Akerfeld por el Frente de Izquierda",0.006,0,0.024,0.032,0.075,0.048,0,0.006,0.079
"P08","No sabe",0.063,0.022,0.067,0.078,0.025,0.093,0.024,0.095,0.226
"P10","A Julio Zamora por el Frente de Todos",0.434,0.489,0.567,0.371,0.467,0.433,0.636,0.225,0.132
"P10","A Segundo Cernadas por Cambiemos",0.326,0.359,0.198,0.325,0.304,0.247,0.092,0.355,0.286
"P10","Al candidato de los liberales libertarios",0.078,0.106,0.088,0.014,0.111,0.098,0.169,0.179,0.161
"P10","A Paula Akerfeld por el Frente de Izquierda",0.064,0.013,0.034,0.026,0.05,0.049,0.074,0.081,0.111
"P10","No sabe",0.098,0.033,0.113,0.264,0.068,0.173,0.029,0.16,0.31
"P12","A Malena Galmarini por el Frente de Todos",0.358,0.349,0.429,0.297,0.354,0.408,0.424,0.231,0.154
"P12","A Segundo Cernadas por Cambiemos",0.383,0.471,0.286,0.334,0.399,0.32,0.201,0.407,0.331
"P12","Al candidato de los liberales libertarios",0.074,0.1,0.115,0.115,0.043,0.086,0.109,0.141,0.177
"P12","A Paula Akerfeld por el Frente de Izquierda",0.04,0.01,0.019,0.026,0.059,0.05,0.05,0.012,0.086
"P12","No sabe",0.145,0.07,0.151,0.228,0.145,0.136,0.216,0.209,0.252
"P14","Muy buena",0.167,0.162,0.177,0.036,0.125,0.144,0.282,0.053,0.054
"P14","Buena",0.179,0.178,0.196,0.06,0.118,0.193,0.117,0.133,0.068
"P14","Ni buena ni mala",0.218,0.239,0.246,0.325,0.246,0.146,0.13,0.223,0.12
"P14","Mala",0.179,0.166,0.166,0.15,0.162,0.167,0.207,0.165,0.198
"P14","Muy mala",0.205,0.238,0.147,0.422,0.307,0.26,0.208,0.325,0.461
"P14","No sabe",0.052,0.017,0.068,0.007,0.042,0.09,0.056,0.101,0.099
"P15","Muy buena",0.247,0.158,0.31,0.219,0.225,0.203,0.33,0.01,0.036
"P15","Buena",0.22,0.26,0.224,0.066,0.271,0.227,0.27,0.125,0.074
"P15","Ni buena ni mala",0.253,0.457,0.246,0.126,0.206,0.205,0.093,0.307,0.211
"P15","Mala",0.136,0.034,0.093,0.206,0.079,0.199,0.178,0.22,0.216
"P15","Muy mala",0.128,0.085,0.071,0.3,0.21,0.137,0.082,0.288,0.393
"P15","No sabe",0.016,0.006,0.056,0.083,0.009,0.029,0.047,0.05,0.07
"P16","Muy buena",0.238,0.158,0.172,0.201,0.186,0.145,0.158,0.183,0.149
"P16","Buena",0.146,0.556,0.142,0.043,0.109,0.184,0.045,0.154,0.17
"P16","Ni buena ni mala",0.292,0.166,0.324,0.197,0.132,0.243,0.291,0.435,0.241
"P16","Mala",0.121,0.078,0.118,0.205,0.185,0.094,0.143,0.085,0.115
"P16","Muy mala",0.146,0.031,0.117,0.248,0.295,0.143,0.253,0.088,0.216
"P16","No sabe",0.057,0.011,0.127,0.106,0.093,0.191,0.11,0.055,0.109
