"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P07","Al candidato del Frente de Todos",0.786,0.544,0.197,0.078,0.091,0.131
"P07","Al candidato de Juntos por el Cambio",0.079,0.205,0.38,0.501,0.452,0.091
"P07","Al candidato de los liberales - libertarios",0.031,0.046,0.198,0.292,0.306,0.431
"P07","Al candidato de la Izquierda",0.002,0.002,0.036,0.02,0.057,0.043
"P07","A otro candidato",0.029,0.079,0.066,0.052,0.029,0.053
"P07","No sabe",0.073,0.124,0.123,0.057,0.065,0.251
"P08","A Julio Zamora por el Frente de Todos",0.728,0.495,0.135,0.058,0.063,0.031
"P08","A Malena Galmarini por el Frente de Todos",0.131,0.17,0.087,0.113,0.067,0.186
"P08","A Segundo Cernadas por Cambiemos",0.103,0.158,0.335,0.432,0.37,0.124
"P08","A Nicolás Massot por Cambiemos",0.002,0.048,0.099,0.097,0.129,0.008
"P08","Al candidato de los liberales libertarios",0,0.024,0.12,0.152,0.246,0.432
"P08","A Paula Akerfeld por el Frente de Izquierda",0.018,0.015,0.079,0.021,0.058,0.043
"P08","No sabe",0.018,0.09,0.145,0.127,0.067,0.176
"P10","A Julio Zamora por el Frente de Todos",0.768,0.644,0.148,0.101,0.126,0.142
"P10","A Segundo Cernadas por Cambiemos",0.125,0.177,0.388,0.506,0.357,0.153
"P10","Al candidato de los liberales libertarios",0.08,0.068,0.191,0.214,0.277,0.305
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.022,0.062,0.041,0.075,0.002
"P10","No sabe",0.027,0.089,0.211,0.138,0.165,0.398
"P12","A Malena Galmarini por el Frente de Todos",0.546,0.534,0.138,0.131,0.076,0.186
"P12","A Segundo Cernadas por Cambiemos",0.189,0.217,0.414,0.481,0.44,0.212
"P12","Al candidato de los liberales libertarios",0.041,0.068,0.162,0.219,0.244,0.431
"P12","A Paula Akerfeld por el Frente de Izquierda",0.016,0.02,0.039,0.042,0.063,0.043
"P12","No sabe",0.208,0.161,0.247,0.127,0.177,0.128
"P14","Muy buena",0.291,0.158,0.031,0.097,0.059,0.186
"P14","Buena",0.297,0.309,0.077,0.043,0.035,0.108
"P14","Ni buena ni mala",0.16,0.237,0.354,0.123,0.074,0.007
"P14","Mala",0.067,0.158,0.196,0.298,0.072,0.126
"P14","Muy mala",0.145,0.104,0.255,0.407,0.743,0.076
"P14","No sabe",0.04,0.034,0.087,0.032,0.017,0.497
"P15","Muy buena",0.684,0.193,0.032,0.065,0.059,0.007
"P15","Buena",0.182,0.554,0.115,0.09,0.076,0.196
"P15","Ni buena ni mala",0.068,0.187,0.568,0.091,0.089,0.02
"P15","Mala",0,0.05,0.19,0.509,0.158,0.009
"P15","Muy mala",0.037,0.004,0.061,0.197,0.598,0.192
"P15","No sabe",0.029,0.012,0.034,0.048,0.02,0.576
"P16","Muy buena",0.142,0.087,0.191,0.26,0.275,0.024
"P16","Buena",0.04,0.173,0.207,0.194,0.136,0
"P16","Ni buena ni mala",0.263,0.353,0.359,0.283,0.138,0.172
"P16","Mala",0.12,0.188,0.112,0.139,0.075,0.009
"P16","Muy mala",0.314,0.122,0.03,0.088,0.341,0.14
"P16","No sabe",0.121,0.077,0.101,0.036,0.035,0.655
"P17","Muy buena",0.047,0.02,0.008,0.009,0.04,0
"P17","Buena",0.047,0.089,0.019,0.063,0.064,0
"P17","Ni buena ni mala",0.241,0.441,0.356,0.339,0.227,0.02
"P17","Mala",0.079,0.058,0.069,0.115,0.11,0
"P17","Muy mala",0.105,0.044,0.026,0.04,0.278,0.102
"P17","No sabe",0.481,0.348,0.522,0.434,0.281,0.878
"P18","Muy buena",0.059,0.056,0.035,0.129,0.15,0
"P18","Buena",0.034,0.108,0.155,0.145,0.146,0
