"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"aysa_1","Si",0.779,0.834,0.815,0.831,0.805,0.849
"aysa_1","No",0.221,0.166,0.185,0.169,0.195,0.151
"aysa_2","A la empresa Aysa en forma directa",0.815,0.753,0.832,0.858,0.829,0.863
"aysa_2","Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa Aysa",0.119,0.07,0.038,0.051,0.032,0
"aysa_2","Es una red desvinculada de la empresa Aysa",0.029,0.093,0.088,0.062,0.052,0
"aysa_2","No sabe",0.037,0.084,0.042,0.029,0.087,0.137
"aysa_3","Si desmejoró",0.463,0.306,0.283,0.388,0.526,0.414
"aysa_3","No desmejoró",0.537,0.694,0.717,0.612,0.474,0.586
"aysa_4","Color",0.211,0.242,0.311,0.279,0.262,0
"aysa_4","Olor",0.295,0.069,0.142,0.149,0.247,1
"aysa_4","Gusto",0.477,0.138,0.316,0.413,0.316,0
"aysa_4","Presión",0.017,0.551,0.231,0.159,0.175,0
"aysa_5","No",0.482,0.396,0.394,0.313,0.35,0.487
"aysa_5","Si. A la empresa AySA en forma directa",0.441,0.488,0.526,0.574,0.55,0.513
"aysa_5","Si. Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa AySA",0.007,0.065,0.025,0.033,0.028,0
"aysa_5","Si. Es una red desvinculada de la empresa AySA",0.036,0.028,0.022,0.03,0.041,0
"aysa_5","No sabe",0.034,0.023,0.033,0.05,0.031,0
"aysa_6","Si desmejoró",0.515,0.262,0.223,0.267,0.406,0.283
"aysa_6","No desmejoró",0.485,0.738,0.777,0.733,0.594,0.717
"aysa_7","Tapa rota",0.61,0.548,0.589,0.534,0.447,1
"aysa_7","Boca de acceso rota",0.008,0.124,0.038,0.128,0.105,0
"aysa_7","Filtraciones en el sótano",0.008,0.063,0.005,0.055,0.046,0
"aysa_7","Olor químico en la cloaca",0.123,0.02,0.123,0.087,0.169,0
"aysa_7","Taponamiento",0.034,0.033,0.127,0.115,0.095,0
"aysa_7","Otro",0.217,0.212,0.118,0.081,0.138,0
