"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.308,0.325,0.115,0.288,0.502,0.449,0.061,0.236,0.402,0.387
"P10","Juntos por el Cambio",0.395,0.284,0.561,0.448,0.101,0.143,0.723,0.491,0.258,0.357
"P10","De los liberales libertarios",0.222,0.262,0.203,0.205,0.322,0.186,0,0.135,0.134,0.123
"P10","De la Izquierda",0.015,0.03,0.032,0.022,0.075,0.136,0,0,0.053,0.014
"P10","Hacemos por nuestro país",0.03,0,0.035,0.007,0,0.058,0,0,0.029,0
"P10","Otro",0.006,0.07,0.007,0.017,0,0,0,0,0.061,0
"P10","En blanco",0.004,0.008,0.016,0.004,0,0,0,0.138,0,0.068
"P10","No sabe",0.02,0.021,0.031,0.009,0,0.028,0.216,0,0.063,0.051
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.294,0.396,0.08,0.27,0.788,0.461,0.262,0.236,0.389,0.213
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.388,0.238,0.573,0.491,0.037,0.133,0.522,0.491,0.234,0.551
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.234,0.167,0.208,0.214,0.161,0.111,0,0.135,0.134,0.117
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.043,0.029,0.038,0.017,0.014,0.137,0,0,0.071,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.042,0.06,0.004,0,0.142,0,0,0.066,0
"P13","En blanco",0.005,0.07,0.023,0,0,0,0,0,0.052,0
"P13","No sabe",0.012,0.058,0.018,0.004,0,0.016,0.216,0.138,0.054,0.119
"P16","Union por la Patria",0.302,0.354,0.117,0.336,0.559,0.531,0.064,0.252,0.438,0.465
"P16","Cambiemos",0.439,0.338,0.618,0.521,0.289,0.276,0.733,0.611,0.264,0.427
"P16","Liberales",0.173,0.125,0.167,0.108,0.152,0.019,0,0,0.112,0.055
"P16","Izquierda",0.035,0.053,0.046,0.014,0,0.114,0,0,0.017,0
"P16","No sabe",0.051,0.13,0.052,0.021,0,0.06,0.203,0.137,0.169,0.053
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.297,0.259,0.152,0.128,0.711,0.532,0.185,0.252,0.463,0.452
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.436,0.263,0.574,0.548,0.122,0.259,0.408,0.358,0.238,0.384
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.152,0.268,0.173,0.265,0.167,0.019,0,0.136,0.099,0.055
"P17","La candidata a Jefe de Gobierno de la izquierda",0.033,0.053,0.029,0.005,0,0.121,0.204,0.117,0,0
"P17","En blanco",0.029,0.143,0.054,0.033,0,0.037,0,0.137,0.149,0
"P17","No sabe",0.053,0.014,0.018,0.021,0,0.032,0.203,0,0.051,0.109
"P26","Totalmente seguro",0.717,0.703,0.734,0.638,0.616,0.637,0.568,1,0.762,0.494
"P26","Bastante seguro",0.125,0.119,0.132,0.225,0,0.186,0,0,0.087,0.142
"P26","Algo seguro",0.128,0.113,0.062,0.092,0.384,0.074,0.216,0,0.068,0.245
