"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.252,0.203,0.274,0.173
"P10","Juntos por el Cambio",0.448,0.457,0.29,0.262
"P10","De los liberales libertarios",0.214,0.211,0.212,0.087
"P10","De la Izquierda",0.041,0.041,0.05,0.107
"P10","Hacemos por nuestro país",0.019,0.053,0.064,0.006
"P10","Otro",0.01,0.009,0.037,0.065
"P10","En blanco",0.002,0.004,0.013,0.075
"P10","No sabe",0.014,0.022,0.06,0.225
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.265,0.271,0.275,0.27
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.436,0.369,0.293,0.181
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.231,0.245,0.207,0.031
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.031,0.052,0.07,0.063
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.037,0.097,0.059
"P13","En blanco",0.007,0.008,0.019,0.07
"P13","No sabe",0.006,0.018,0.039,0.326
"P16","Union por la Patria",0.282,0.202,0.281,0.244
"P16","Cambiemos",0.474,0.496,0.319,0.191
"P16","Liberales",0.178,0.175,0.171,0.007
"P16","Izquierda",0.031,0.04,0.051,0.09
"P16","No sabe",0.035,0.087,0.178,0.468
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.258,0.234,0.261,0.266
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.469,0.448,0.32,0.16
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.193,0.179,0.175,0.063
"P17","La candidata a Jefe de Gobierno de la izquierda",0.023,0.039,0.048,0.125
"P17","En blanco",0.021,0.029,0.113,0.182
"P17","No sabe",0.036,0.071,0.083,0.204
"P27","Tiene Decidido que va a ir a votar",0.963,0.793,0.772,0.785
"P27","Tiene dudas sobre si va a ir a  votar",0.03,0.2,0.106,0.147
"P27","Tiene Decidido que no va a ir a votar",0.007,0.007,0.122,0.068
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.331,0.29,0.402,0.364
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.505,0.515,0.341,0.287
"P28","En blanco",0.101,0.079,0.108,0.075
"P28","No sabe",0.063,0.116,0.149,0.274
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.503,0.542,0.473,0.341
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.262,0.294,0.21,0.167
"P29","En blanco",0.159,0.098,0.18,0.244
"P29","No sabe",0.076,0.066,0.137,0.248
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.354,0.315,0.441,0.384
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.32,0.382,0.257,0.166
"P30","En blanco",0.225,0.187,0.19,0.154
"P30","No sabe",0.101,0.116,0.112,0.296
"P38","Inflación",0.377,0.386,0.41,0.323
"P38","Desempleo",0.062,0.109,0.06,0.194
"P38","Corrupción",0.308,0.263,0.159,0.218
"P38","Inseguridad",0.11,0.152,0.081,0.049
"P38","Precio del dólar",0.006,0,0.081,0
"P38","Pobreza",0.057,0.026,0.104,0.066
"P38","Narcotráfico",0.003,0.012,0.007,0.019
"P38","Tarifas",0.006,0,0.004,0
"P38","Otro",0.059,0.043,0.043,0.115
"P38","No sabe",0.012,0.009,0.051,0.016
"P10_imputada","Unión por la Patria",0.252,0.211,0.274,0.27
"P10_imputada","Juntos por el Cambio",0.448,0.471,0.308,0.335
"P10_imputada","De los liberales libertarios",0.222,0.211,0.233,0.138
"P10_imputada","De la Izquierda",0.041,0.041,0.071,0.107
"P10_imputada","Hacemos por nuestro país",0.023,0.053,0.064,0.006
"P10_imputada","Otro",0.012,0.009,0.037,0.069
"P10_imputada","En blanco",0.002,0.004,0.013,0.075
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.265,0.275,0.291,0.412
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.437,0.376,0.311,0.284
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.236,0.252,0.212,0.087
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.031,0.052,0.07,0.063
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.037,0.097,0.059
"P13_imputada","En blanco",0.007,0.008,0.019,0.095
"P16_imputada","Union por la Patria",0.291,0.223,0.344,0.432
"P16_imputada","Cambiemos",0.483,0.538,0.385,0.347
"P16_imputada","Liberales",0.19,0.199,0.206,0.113
"P16_imputada","Izquierda",0.036,0.04,0.065,0.108
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.268,0.241,0.281,0.35
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.479,0.453,0.361,0.165
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.205,0.236,0.188,0.063
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.027,0.039,0.048,0.125
"P17_imputada","En blanco",0.021,0.031,0.122,0.297
