"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P10","Siempre",0.219,0.135,0.198,0.179
"P10","Casi siempre",0.306,0.339,0.29,0.262
"P10","Casi nunca",0.32,0.326,0.356,0.175
"P10","Nunca, pero esta es una excepción",0.155,0.2,0.156,0.384
"P11","Unión por la Patria",0.826,0.385,0.107,0.202
"P11","La Libertad Avanza",0.094,0.402,0.76,0.562
"P11","En blanco",0.051,0.131,0.076,0.084
"P11","No sabe",0.029,0.082,0.057,0.152
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.854,0.411,0.102,0.322
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.111,0.446,0.823,0.476
"P13","En blanco",0.021,0.062,0.047,0.05
"P13","No sabe",0.014,0.081,0.028,0.152
"P15","Totalmente seguro",0.862,0.638,0.756,0.684
"P15","Bastante seguro",0.092,0.146,0.12,0.065
"P15","Algo seguro",0.031,0.134,0.065,0
"P15","Para nada seguro",0.015,0.082,0.059,0.251
"P16","Tiene Decidido que va a ir a votar",0.947,0.846,0.949,0.912
"P16","Tiene dudas sobre si va a ir a  votar",0.025,0.102,0.03,0.088
"P16","Tiene Decidido que no va a ir a votar",0.028,0.052,0.021,0
"P17","Lo votaría",0.896,0.459,0.138,0.252
"P17","Puede que lo vote",0.028,0.099,0.044,0.082
"P17","Nunca lo votaría",0.062,0.384,0.794,0.596
"P17","No sabe",0.014,0.058,0.024,0.07
"P18","Lo votaría",0.124,0.33,0.693,0.363
"P18","Puede que lo vote",0.035,0.125,0.122,0.151
"P18","Nunca lo votaría",0.833,0.488,0.163,0.405
"P18","No sabe",0.008,0.057,0.022,0.081
"P19","Si",0.886,0.882,0.899,1
"P19","No",0.114,0.118,0.101,0
"P20","Sergio Massa",0.942,0.659,0.339,0.648
"P20","Javier Milei",0.058,0.341,0.661,0.352
"P21","Sergio Massa",0.933,0.651,0.191,0.528
"P21","Javier Milei",0.067,0.349,0.809,0.472
"P22","Sergio Massa",0.935,0.625,0.197,0.336
"P22","Javier Milei",0.065,0.375,0.803,0.664
"P23","Sergio Massa",0.922,0.611,0.182,0.447
"P23","Javier Milei",0.078,0.389,0.818,0.553
"P24","Si",0.835,0.397,0.141,0.305
"P24","No",0.165,0.603,0.859,0.695
"P25","Si",0.196,0.534,0.88,0.665
"P25","No",0.804,0.466,0.12,0.335
"P28","Inflación",0.459,0.383,0.325,0.258
"P28","Desempleo",0.085,0.076,0.038,0.027
"P28","Corrupción",0.07,0.27,0.456,0.211
"P28","Inseguridad",0.071,0.131,0.092,0.078
"P28","Precio del dólar",0.017,0,0.008,0.023
"P28","Pobreza",0.143,0.079,0.042,0.271
"P28","Narcotráfico",0.008,0.003,0.009,0
"P28","Tarifas",0.021,0,0.003,0
"P28","Otro",0.115,0.031,0.023,0.082
"P28","No sabe",0.011,0.027,0.004,0.05
"P32","Sin deuda",0.502,0.463,0.406,0.433
"P32","Menos de 10%",0.158,0.187,0.161,0
"P32","Entre 10 y 20%",0.115,0.149,0.144,0.222
"P32","Entre 20 y 30%",0.059,0.046,0.087,0.237
"P32","Entre 30 y 40%",0.028,0.07,0.058,0
"P32","Mas del 40%",0.103,0.069,0.103,0.085
"P32","No sabe",0.035,0.016,0.041,0.023
"P33","Gran excedente habitual",0.031,0,0.011,0.03
"P33","Gran excedente excepcional",0.006,0.008,0.005,0
"P33","Pequeño excedente habitual",0.134,0.102,0.056,0.082
"P33","Pequeño excedente excepcional",0.093,0.061,0.064,0.029
"P33","Alcanza gastos familia",0.198,0.129,0.146,0.141
"P33","No alcanza gastos familia",0.084,0.101,0.107,0.348
"P33","Solo NBFamiliares",0.209,0.273,0.308,0.25
"P33","No alcanza NBFamiliares",0.227,0.309,0.288,0.12
"P33","No sabe",0.018,0.017,0.015,0
"P34","Positiva",0.435,0.274,0.239,0.35
"P34","Neutra",0.42,0.465,0.459,0.437
"P34","Negativa",0.126,0.231,0.289,0.213
"P34","No sabe",0.019,0.03,0.013,0
"P35","Mejor",0.21,0.091,0.077,0.169
"P35","Igual",0.484,0.371,0.111,0.157
"P35","Peor",0.272,0.461,0.792,0.538
"P35","No sabe",0.034,0.077,0.02,0.136
"P36","Mejor",0.321,0.202,0.1,0.098
"P36","Igual",0.332,0.299,0.2,0.266
"P36","Peor",0.166,0.299,0.521,0.412
"P36","No sabe",0.181,0.2,0.179,0.224
"P37","Positiva",0.242,0.124,0.105,0
"P37","Neutra",0.301,0.226,0.055,0.116
"P37","Negativa",0.451,0.65,0.834,0.861
"P37","No sabe",0.006,0,0.006,0.023
"P38","Mejor",0.243,0.135,0.024,0.027
"P38","Igual",0.394,0.189,0.031,0.185
"P38","Peor",0.303,0.624,0.916,0.761
"P38","No sabe",0.06,0.052,0.029,0.027
"P39","Mejor",0.415,0.173,0.108,0.027
"P39","Igual",0.216,0.276,0.133,0.159
"P39","Peor",0.169,0.36,0.63,0.556
"P39","No sabe",0.2,0.191,0.129,0.258
"P40","Positiva",0.341,0.104,0.054,0.089
"P40","Neutra",0.354,0.273,0.036,0.125
"P40","Negativa",0.299,0.612,0.908,0.631
"P40","No sabe",0.006,0.011,0.002,0.155
"P42","Positiva",0.375,0.043,0.045,0.027
"P42","Neutra",0.371,0.378,0.036,0.023
"P42","Negativa",0.242,0.54,0.917,0.644
"P42","No sabe",0.012,0.039,0.002,0.306
"P43","Positiva",0.684,0.214,0.058,0.09
"P43","Neutra",0.213,0.353,0.083,0.223
"P43","Negativa",0.096,0.422,0.855,0.643
"P43","No sabe",0.007,0.011,0.004,0.044
"P44","Positiva",0.41,0.081,0.04,0
"P44","Neutra",0.368,0.276,0.039,0.275
"P44","Negativa",0.207,0.612,0.921,0.57
"P44","No sabe",0.015,0.031,0,0.155
"P45","Positiva",0.265,0.118,0.035,0
"P45","Neutra",0.339,0.215,0.04,0.124
"P45","Negativa",0.394,0.667,0.923,0.761
"P45","No sabe",0.002,0,0.002,0.115
"P46","Positiva",0.766,0.177,0.059,0.162
