"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.357,0.368,0.349,0.307,0.404,0.368,0.325,0.292,0.376,0.367,0.445,0.322,0.34,0.397,0.449,0.303,0.346,0.386
"Desempleo",0.063,0.051,0.072,0.1,0.041,0.054,0.066,0.11,0.084,0.03,0.106,0.039,0.115,0.105,0.128,0.025,0.012,0.041
"Corrupción",0.323,0.325,0.322,0.339,0.29,0.317,0.37,0.306,0.312,0.338,0.126,0.426,0.206,0.162,0.109,0.467,0.373,0.412
"Inseguridad",0.092,0.087,0.096,0.049,0.102,0.105,0.111,0.145,0.089,0.075,0.07,0.106,0.096,0.093,0.047,0.106,0.12,0.068
"Precio del dólar",0.014,0.02,0.008,0.021,0.014,0.015,0.003,0.02,0.02,0.007,0.014,0.012,0.055,0.019,0.028,0.007,0.008,0.015
"Pobreza",0.076,0.07,0.081,0.104,0.074,0.069,0.054,0.029,0.068,0.099,0.119,0.043,0.068,0.122,0.108,0.042,0.074,0.041
"Narcotráfico",0.008,0.003,0.012,0,0.01,0.01,0.012,0.01,0.006,0.009,0.007,0.008,0.036,0.006,0.007,0.009,0.011,0.005
"Tarifas",0.006,0.006,0.007,0.011,0.005,0.004,0.006,0.012,0.007,0.004,0.016,0.002,0,0.015,0.004,0.003,0.004,0.002
"Otro",0.05,0.061,0.041,0.061,0.049,0.053,0.035,0.061,0.033,0.058,0.084,0.032,0.068,0.069,0.107,0.025,0.042,0.03
"No sabe",0.011,0.009,0.012,0.008,0.011,0.005,0.018,0.015,0.005,0.013,0.013,0.01,0.016,0.012,0.013,0.013,0.01,0
