"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.033,0.037,0.029,0.058,0.024,0.014,0.041,0.066,0.032,0.022,0.045,0.029,0.023,0.054,0.054,0.025,0,0.018,6
"Buena",0.115,0.12,0.111,0.126,0.084,0.097,0.177,0.118,0.132,0.102,0.084,0.138,0.149,0.121,0.105,0.148,0.102,0.063,6
"Ni buena ni mala",0.257,0.236,0.274,0.233,0.241,0.281,0.287,0.262,0.279,0.239,0.217,0.282,0.205,0.24,0.173,0.306,0.371,0.202,6
"Mala",0.284,0.272,0.294,0.274,0.287,0.29,0.282,0.268,0.257,0.309,0.306,0.277,0.271,0.268,0.362,0.276,0.248,0.266,6
"Muy mala",0.299,0.325,0.279,0.294,0.361,0.303,0.194,0.273,0.281,0.322,0.341,0.265,0.329,0.308,0.299,0.234,0.279,0.431,6
"No sabe",0.012,0.01,0.013,0.015,0.003,0.015,0.019,0.013,0.019,0.006,0.007,0.009,0.023,0.009,0.007,0.011,0,0.02,6
"Positiva",0.148,0.157,0.14,0.184,0.108,0.111,0.218,0.184,0.164,0.124,0.129,0.167,0.172,0.175,0.159,0.173,0.102,0.081,4
"Neutra",0.257,0.236,0.274,0.233,0.241,0.281,0.287,0.262,0.279,0.239,0.217,0.282,0.205,0.24,0.173,0.306,0.371,0.202,4
"Negativa",0.583,0.597,0.573,0.568,0.648,0.593,0.476,0.541,0.538,0.631,0.647,0.542,0.6,0.576,0.661,0.51,0.527,0.697,4
"No sabe",0.012,0.01,0.013,0.015,0.003,0.015,0.019,0.013,0.019,0.006,0.007,0.009,0.023,0.009,0.007,0.011,0,0.02,4
