"fecha","t1 Mejor","t1 Igual","t1 Peor","t1 No sabe","s1 Mejor","s1 Igual","s1 Peor","s1 No sabe","s2 Mejor","s2 Igual","s2 Peor","s2 No sabe","e1 Mejor","e1 Igual","e1 Peor","e1 No sabe","e2 Mejor","e2 Igual","e2 Peor","e2 No sabe","e3 Mejor","e3 Igual","e3 Peor","e3 No sabe","e4 Mejor","e4 Igual","e4 Peor","e4 No sabe","ed1 Mejor","ed1 Igual","ed1 Peor","ed1 No sabe","ed2 Mejor","ed2 Igual","ed2 Peor","ed2 No sabe","ed3 Mejor","ed3 Igual","ed3 Peor","ed3 No sabe","v1 Mejor","v1 Igual","v1 Peor","v1 No sabe","v2 Mejor","v2 Igual","v2 Peor","v2 No sabe","v3 Mejor","v3 Igual","v3 Peor","v3 No sabe","vp1 Mejor","vp1 Igual","vp1 Peor","vp1 No sabe","vp2 Mejor","vp2 Igual","vp2 Peor","vp2 No sabe","vp3 Mejor","vp3 Igual","vp3 Peor","vp3 No sabe","vp4 Mejor","vp4 Igual","vp4 Peor","vp4 No sabe","vp5 Mejor","vp5 Igual","vp5 Peor","vp5 No sabe"
2019-11-07,0.077,0.286,0.591,0.046,0.067,0.311,0.568,0.054,0.085,0.266,0.61,0.039,0.061,0.151,0.712,0.076,0.076,0.307,0.594,0.023,0.086,0.37,0.53,0.014,0.093,0.343,0.487,0.077,0.052,0.178,0.625,0.145,0.099,0.293,0.582,0.026,0.07,0.32,0.585,0.025,0.028,0.077,0.847,0.048,0.124,0.523,0.338,0.015,0.046,0.191,0.723,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-08,0.083,0.282,0.594,0.041,0.071,0.309,0.569,0.051,0.094,0.26,0.614,0.032,0.073,0.121,0.738,0.068,0.089,0.309,0.581,0.021,0.083,0.39,0.52,0.007,0.088,0.336,0.502,0.074,0.058,0.16,0.652,0.13,0.112,0.286,0.577,0.025,0.07,0.323,0.587,0.02,0.03,0.073,0.854,0.043,0.127,0.526,0.336,0.011,0.066,0.216,0.684,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-09,0.077,0.288,0.595,0.04,0.06,0.322,0.566,0.052,0.089,0.261,0.619,0.031,0.065,0.144,0.718,0.073,0.085,0.326,0.568,0.021,0.07,0.372,0.558,0,0.084,0.326,0.517,0.073,0.052,0.211,0.609,0.128,0.106,0.287,0.579,0.028,0.062,0.318,0.602,0.018,0.027,0.092,0.837,0.044,0.119,0.545,0.327,0.009,0.075,0.231,0.651,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-10,0.074,0.286,0.595,0.045,0.059,0.303,0.585,0.053,0.086,0.272,0.604,0.038,0.06,0.154,0.699,0.087,0.083,0.308,0.592,0.017,0.066,0.38,0.554,0,0.083,0.323,0.51,0.084,0.065,0.208,0.582,0.145,0.102,0.318,0.542,0.038,0.054,0.29,0.643,0.013,0.024,0.104,0.83,0.042,0.121,0.532,0.33,0.017,0.065,0.299,0.594,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-11,0.065,0.288,0.599,0.048,0.056,0.306,0.574,0.064,0.072,0.273,0.62,0.035,0.054,0.136,0.705,0.105,0.067,0.331,0.583,0.019,0.066,0.378,0.556,0,0.074,0.316,0.536,0.074,0.057,0.235,0.561,0.147,0.082,0.299,0.573,0.046,0.055,0.298,0.634,0.013,0.018,0.097,0.847,0.038,0.108,0.521,0.345,0.026,0.065,0.3,0.595,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-12,0.058,0.287,0.613,0.042,0.057,0.297,0.595,0.051,0.059,0.279,0.627,0.035,0.042,0.172,0.687,0.099,0.057,0.302,0.623,0.018,0.059,0.365,0.576,0,0.079,0.332,0.535,0.054,0.045,0.256,0.576,0.123,0.08,0.279,0.595,0.046,0.045,0.304,0.641,0.01,0.009,0.111,0.858,0.022,0.103,0.493,0.383,0.021,0.065,0.311,0.579,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-13,0.064,0.308,0.595,0.033,0.053,0.335,0.58,0.032,0.073,0.285,0.608,0.034,0.044,0.214,0.671,0.071,0.066,0.308,0.615,0.011,0.054,0.35,0.587,0.009,0.098,0.389,0.469,0.044,0.057,0.304,0.572,0.067,0.068,0.313,0.58,0.039,0.064,0.305,0.616,0.015,0.019,0.107,0.867,0.007,0.112,0.531,0.32,0.037,0.069,0.341,0.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-14,0.056,0.311,0.602,0.031,0.049,0.337,0.584,0.03,0.061,0.29,0.617,0.032,0.062,0.227,0.639,0.072,0.056,0.294,0.641,0.009,0.021,0.394,0.575,0.01,0.082,0.367,0.514,0.037,0.057,0.274,0.612,0.057,0.048,0.339,0.572,0.041,0.061,0.302,0.623,0.014,0.021,0.118,0.853,0.008,0.085,0.531,0.344,0.04,0.021,0.276,0.654,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-15,0.053,0.316,0.593,0.038,0.056,0.329,0.577,0.038,0.051,0.306,0.605,0.038,0.063,0.238,0.625,0.074,0.048,0.285,0.644,0.023,0.02,0.392,0.573,0.015,0.082,0.397,0.48,0.041,0.056,0.296,0.585,0.063,0.041,0.332,0.579,0.048,0.061,0.311,0.607,0.021,0.017,0.123,0.851,0.009,0.095,0.528,0.324,0.053,0,0.271,0.685,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-16,0.059,0.315,0.589,0.037,0.058,0.345,0.561,0.036,0.06,0.291,0.611,0.038,0.069,0.246,0.614,0.071,0.047,0.274,0.659,0.02,0.027,0.406,0.554,0.013,0.102,0.384,0.466,0.048,0.095,0.274,0.569,0.062,0.039,0.339,0.577,0.045,0.062,0.311,0.605,0.022,0.025,0.132,0.835,0.008,0.094,0.526,0.33,0.05,0,0.267,0.688,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
