"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar"
"P09_votan","Unión por la Patria",0.306,0.223
"P09_votan","Juntos por el Cambio",0.414,0.362
"P09_votan","De los liberales libertarios",0.163,0.098
"P09_votan","De la Izquierda",0.033,0.085
"P09_votan","Hacemos por nuestro país",0,0
"P09_votan","Otro",0.027,0.009
"P09_votan","En blanco",0.017,0.131
"P09_votan","No sabe",0.04,0.092
"P12_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.214,0.162
"P12_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.103,0.116
"P12_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.274,0.17
"P12_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.155,0.158
"P12_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.16,0.189
"P12_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.016,0.051
"P12_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.024
"P12_votan","Otros",0.033,0.078
"P12_votan","En blanco",0.011,0.021
"P12_votan","No sabe",0.02,0.031
"P15_votan","Union por la Patria",0.321,0.261
"P15_votan","Cambiemos",0.415,0.352
"P15_votan","Liberales",0.147,0.17
"P15_votan","Izquierda",0.033,0.035
"P15_votan","No sabe",0.084,0.182
"P16_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.294,0.209
"P16_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.321,0.208
"P16_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.176,0.243
"P16_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.103,0.115
"P16_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.033,0.143
"P16_votan","Otros",0.036,0
"P16_votan","En blanco",0.006,0.041
"P16_votan","No sabe",0.031,0.041
"P22_votan","Totalmente seguro.",0.668,0.159
"P22_votan","Bastante seguro",0.172,0.385
"P22_votan","Algo seguro",0.083,0.208
"P22_votan","Para nada seguro",0.077,0.248
"P34_votan","Inflación",0.326,0.238
"P34_votan","Desempleo",0.061,0.063
"P34_votan","Corrupción",0.258,0.334
"P34_votan","Inseguridad",0.136,0.181
"P34_votan","Precio del dólar",0.016,0.023
"P34_votan","Pobreza",0.085,0.044
"P34_votan","Narcotráfico",0.017,0.052
"P34_votan","Tarifas",0.01,0
