"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Unión por la Patria",0.307,0.279,0.156,0.136,0.127,0.648,0.174,0.373,0.676,0.482
"P09","Juntos por el Cambio",0.438,0.392,0.453,0.58,0.253,0.147,0.383,0.532,0.16,0.174
"P09","De los liberales libertarios",0.162,0.194,0.26,0.115,0.276,0.036,0.056,0,0.084,0.126
"P09","De la Izquierda",0.022,0.025,0.035,0.031,0,0.08,0.042,0.095,0.058,0
"P09","Hacemos por nuestro país",0,0,0,0,0,0.012,0,0,0,0
"P09","Otro",0.022,0.036,0.037,0.044,0,0.015,0.035,0,0.012,0
"P09","En blanco",0.022,0.025,0.04,0.033,0.187,0.026,0.134,0,0,0.063
"P09","No sabe",0.027,0.049,0.019,0.061,0.157,0.036,0.176,0,0.01,0.155
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.212,0.177,0.102,0.133,0.058,0.459,0.341,0.184,0.414,0.355
"P12","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.096,0.191,0.076,0.056,0.069,0.188,0,0.08,0.265,0.23
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.258,0.102,0.35,0.41,0.258,0.082,0.043,0.531,0.108,0.069
"P12","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.202,0.247,0.109,0.185,0,0.096,0.339,0.109,0.059,0.074
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.157,0.119,0.265,0.123,0.271,0.028,0.145,0,0.085,0.123
"P12","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.01,0.054,0.015,0,0,0.062,0,0,0.02,0.062
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0,0.01,0.014,0.187,0.015,0.052,0,0,0
"P12","Otros",0.036,0.062,0.031,0.053,0,0.026,0.035,0,0.026,0.046
"P12","En blanco",0.017,0.025,0.01,0.006,0,0.034,0,0,0.023,0
"P12","No sabe",0.007,0.023,0.032,0.02,0.157,0.01,0.045,0.096,0,0.041
"P15","Union por la Patria",0.31,0.282,0.173,0.162,0.16,0.679,0.345,0.267,0.728,0.465
"P15","Cambiemos",0.423,0.456,0.436,0.549,0.08,0.213,0.299,0.527,0.182,0.351
"P15","Liberales",0.162,0.126,0.242,0.1,0.442,0.009,0.086,0,0.042,0
"P15","Izquierda",0.036,0.092,0.025,0.034,0,0.048,0.041,0.206,0.024,0
"P15","No sabe",0.069,0.044,0.124,0.155,0.318,0.051,0.229,0,0.024,0.184
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.321,0.198,0.124,0.182,0.123,0.665,0.256,0.267,0.617,0.468
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.316,0.211,0.417,0.457,0.479,0.05,0.21,0.432,0.099,0.076
"P16","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.167,0.227,0.146,0.171,0.04,0.16,0.151,0.108,0.193,0.351
"P16","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.112,0.218,0.162,0.065,0.04,0.019,0.163,0,0.053,0
"P16","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.008,0.026,0.092,0.014,0.084,0.048,0,0.098,0.024,0.105
"P16","Otros",0.056,0.016,0.014,0.048,0,0.019,0.037,0,0.014,0
"P16","En blanco",0.014,0,0.003,0.018,0.034,0,0,0,0,0
"P16","No sabe",0.006,0.104,0.042,0.045,0.2,0.039,0.183,0.095,0,0
"P22","Totalmente seguro.",0.637,0.626,0.588,0.6,0.56,0.76,0.545,0.809,0.638,0.521
"P22","Bastante seguro",0.165,0.14,0.17,0.264,0.032,0.164,0.103,0.096,0.281,0.209
"P22","Algo seguro",0.095,0.139,0.159,0.095,0.027,0.026,0,0,0.04,0
"P22","Para nada seguro",0.103,0.095,0.083,0.041,0.381,0.05,0.352,0.095,0.041,0.27
"P23","Tiene Decidido que va a ir a votar.",0.922,0.845,0.891,0.895,0.592,0.909,0.807,1,0.963,0.901
"P23","Tiene dudas sobre si va a ir a  votar",0.051,0.067,0.088,0.092,0.064,0.035,0.193,0,0.037,0.099
"P23","Tiene Decidido que no va a ir a votar",0.027,0.088,0.021,0.013,0.344,0.056,0,0,0,0
"P09_imputada","Unión por la Patria",0.314,0.279,0.163,0.163,0.127,0.648,0.312,0.373,0.686,0.482
"P09_imputada","Juntos por el Cambio",0.438,0.415,0.46,0.606,0.253,0.182,0.383,0.532,0.16,0.288
"P09_imputada","De los liberales libertarios",0.167,0.194,0.265,0.122,0.276,0.036,0.056,0,0.084,0.126
"P09_imputada","De la Izquierda",0.037,0.025,0.035,0.031,0,0.08,0.042,0.095,0.058,0
"P09_imputada","Hacemos por nuestro país",0,0,0,0,0,0.012,0,0,0,0
"P09_imputada","Otro",0.022,0.062,0.037,0.045,0,0.016,0.073,0,0.012,0.041
"P09_imputada","En blanco",0.022,0.025,0.04,0.033,0.344,0.026,0.134,0,0,0.063
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.212,0.177,0.12,0.148,0.058,0.459,0.341,0.184,0.414,0.355
"P12_imputada","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.096,0.191,0.076,0.055,0.069,0.188,0,0.08,0.265,0.23
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.263,0.102,0.356,0.41,0.258,0.082,0.089,0.627,0.108,0.109
"P12_imputada","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.205,0.27,0.112,0.192,0.157,0.106,0.339,0.109,0.059,0.074
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.156,0.119,0.265,0.123,0.271,0.028,0.145,0,0.085,0.124
"P12_imputada","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.01,0.054,0.02,0,0,0.062,0,0,0.02,0.062
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0,0.01,0.014,0.187,0.015,0.051,0,0,0
"P12_imputada","Otros",0.036,0.062,0.031,0.052,0,0.026,0.035,0,0.026,0.046
"P12_imputada","En blanco",0.017,0.025,0.01,0.006,0,0.034,0,0,0.023,0
"P15_imputada","Union por la Patria",0.353,0.31,0.231,0.202,0.16,0.698,0.399,0.267,0.728,0.506
"P15_imputada","Cambiemos",0.449,0.456,0.484,0.644,0.399,0.245,0.437,0.527,0.194,0.351
"P15_imputada","Liberales",0.162,0.142,0.257,0.12,0.441,0.009,0.124,0,0.054,0.073
"P15_imputada","Izquierda",0.036,0.092,0.028,0.034,0,0.048,0.04,0.206,0.024,0.07
"P16_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.321,0.302,0.129,0.192,0.123,0.665,0.255,0.267,0.617,0.468
"P16_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.316,0.211,0.423,0.492,0.479,0.069,0.21,0.527,0.099,0.076
"P16_imputada","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.173,0.227,0.173,0.171,0.04,0.16,0.196,0.108,0.193,0.351
"P16_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.112,0.218,0.162,0.065,0.04,0.019,0.163,0,0.053,0
"P16_imputada","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.008,0.026,0.095,0.014,0.284,0.068,0.038,0.098,0.024,0.105
"P16_imputada","Otros",0.056,0.016,0.014,0.048,0,0.019,0.037,0,0.014,0
