"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","En blanco"
"P10","Siempre",0.23,0.198,0.219
"P10","Casi siempre",0.303,0.3,0.239
"P10","Casi nunca",0.291,0.312,0.368
"P10","Nunca, pero esta es una excepción",0.176,0.19,0.174
"P15","Totalmente seguro",0.78,0.731,0.418
"P15","Bastante seguro",0.125,0.133,0.111
"P15","Algo seguro",0.043,0.056,0.212
"P15","Para nada seguro",0.052,0.08,0.259
"P16","Tiene Decidido que va a ir a votar",0.932,0.918,0.599
"P16","Tiene dudas sobre si va a ir a  votar",0.045,0.057,0.214
"P16","Tiene Decidido que no va a ir a votar",0.023,0.025,0.187
"P17","Lo votaría",0.88,0.159,0.12
"P17","Puede que lo vote",0.041,0.055,0.126
"P17","Nunca lo votaría",0.064,0.756,0.605
"P17","No sabe",0.015,0.03,0.149
"P18","Lo votaría",0.114,0.737,0.088
"P18","Puede que lo vote",0.062,0.107,0.21
"P18","Nunca lo votaría",0.793,0.131,0.545
"P18","No sabe",0.031,0.025,0.157
"P19","Muy buena",0.481,0.231,0.227
"P19","Buena",0.125,0.122,0.099
"P19","Ni buena ni mala",0.299,0.354,0.452
"P19","Mala",0.026,0.241,0.045
"P19","Muy mala",0.047,0.029,0.045
"P19","No sabe",0.022,0.023,0.132
"P20","Totalmente de acuerdo",0.168,0.358,0.141
"P20","Algo de acuerdo",0.022,0.144,0.082
"P20","ni de acuerdo ni en desacuerdo",0.183,0.347,0.192
"P20","En desacuerdo",0.305,0.116,0.379
"P20","Totalmente en desacuerdo",0.322,0.035,0.206
"P21","Cristiano no practicante",0.259,0.248,0.116
"P21","Católico apostólico romano",0.378,0.446,0.604
"P21","Cristiano evangelista o pentecostal",0.13,0.094,0.01
"P21","Otras confesiones cristianas",0.04,0.086,0.088
"P21","Musulmán",0.04,0.008,0.154
"P21","Judío",0.026,0.006,0
"P21","Otras",0.029,0.017,0
"P21","No soy religioso",0.061,0.066,0.022
"P21","Ateo",0.037,0.029,0.006
