"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P10","Siempre",0.243,0.163,0.189,0.214
"P10","Casi siempre",0.303,0.3,0.302,0.233
"P10","Casi nunca",0.285,0.355,0.324,0.286
"P10","Nunca, pero esta es una excepción",0.169,0.182,0.185,0.267
"P11","Unión por la Patria",0.73,0.189,0.036,0.049
"P11","Juntos por el Cambio",0.135,0.342,0.795,0.223
"P11","En blanco",0.072,0.203,0.103,0.255
"P11","No sabe",0.063,0.266,0.066,0.473
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.821,0.251,0.059,0.09
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.146,0.399,0.812,0.199
"P13","En blanco",0.013,0.118,0.082,0.247
"P13","No sabe",0.02,0.232,0.047,0.464
"P15","Totalmente seguro",0.79,0.318,0.755,0.339
"P15","Bastante seguro",0.14,0.173,0.113,0.083
"P15","Algo seguro",0.031,0.226,0.061,0.153
"P15","Para nada seguro",0.039,0.283,0.071,0.425
"P16","Tiene Decidido que va a ir a votar",0.965,0.655,0.887,0.673
"P16","Tiene dudas sobre si va a ir a  votar",0.022,0.286,0.064,0.21
"P16","Tiene Decidido que no va a ir a votar",0.013,0.059,0.049,0.117
"P18","Lo votaría",0.207,0.24,0.677,0.168
"P18","Puede que lo vote",0.047,0.465,0.097,0.108
"P18","Nunca lo votaría",0.727,0.24,0.208,0.163
"P18","No sabe",0.019,0.055,0.018,0.561
"P19","Muy buena",0.506,0.203,0.177,0.331
"P19","Buena",0.121,0.168,0.13,0.047
"P19","Ni buena ni mala",0.279,0.507,0.402,0.193
"P19","Mala",0.057,0.065,0.207,0.176
"P19","Muy mala",0.016,0.057,0.054,0.124
"P19","No sabe",0.021,0,0.03,0.129
"P20","Totalmente de acuerdo",0.226,0.143,0.317,0.053
"P20","Algo de acuerdo",0.023,0.172,0.15,0.01
"P20","ni de acuerdo ni en desacuerdo",0.184,0.487,0.319,0.331
"P20","En desacuerdo",0.305,0.106,0.155,0.028
"P20","Totalmente en desacuerdo",0.262,0.092,0.059,0.578
"P21","Cristiano no practicante",0.299,0.32,0.195,0.061
"P21","Católico apostólico romano",0.334,0.517,0.489,0.684
"P21","Cristiano evangelista o pentecostal",0.136,0.046,0.079,0.101
"P21","Otras confesiones cristianas",0.052,0.04,0.087,0
"P21","Musulmán",0.044,0.062,0.02,0
"P21","Judío",0.019,0,0.001,0.115
"P21","Otras",0.029,0,0.018,0
"P21","No soy religioso",0.058,0,0.072,0.039
"P21","Ateo",0.029,0.015,0.039,0
"P11_imputada","Unión por la Patria",0.772,0.299,0.048,0.193
"P11_imputada","Juntos por el Cambio",0.148,0.455,0.839,0.471
"P11_imputada","En blanco",0.08,0.246,0.113,0.336
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.833,0.367,0.07,0.229
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.152,0.486,0.842,0.467
"P13_imputada","En blanco",0.015,0.147,0.088,0.304
