"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P08","Inflación",0.306,0.331,0.363,0.263
"P08","Desempleo",0.066,0.093,0.077,0.078
"P08","Corrupción",0.333,0.266,0.266,0.209
"P08","Inseguridad",0.147,0.115,0.084,0.092
"P08","Precio del dólar",0.032,0.051,0.033,0.038
"P08","Pobreza",0.048,0.052,0.073,0.164
"P08","Narcotráfico",0.016,0.022,0.017,0.026
"P08","Tarifas",0.008,0.011,0.011,0.023
"P08","Otro",0.032,0.047,0.062,0.016
"P08","No sabe",0.012,0.012,0.014,0.091
"P12","Sin deuda",0.324,0.277,0.295,0.208
"P12","Menos de 10%",0.167,0.156,0.164,0.068
"P12","Entre 10 y 20%",0.142,0.168,0.138,0.102
"P12","Entre 20 y 30%",0.085,0.104,0.087,0.133
"P12","Entre 30 y 40%",0.095,0.077,0.085,0.096
"P12","Mas del 40%",0.159,0.169,0.187,0.209
"P12","No sabe",0.028,0.049,0.044,0.184
"P13","Gran excedente habitual",0.013,0.003,0.011,0.002
"P13","Gran excedente excepcional",0.006,0.01,0.01,0.011
"P13","Pequeño excedente habitual",0.072,0.037,0.085,0.063
"P13","Pequeño excedente excepcional",0.057,0.059,0.063,0.017
"P13","Alcanza gastos familia",0.128,0.112,0.14,0.073
"P13","No alcanza gastos familia",0.145,0.168,0.158,0.162
"P13","Solo NBFamiliares",0.261,0.253,0.236,0.257
"P13","No alcanza NBFamiliares",0.306,0.345,0.286,0.323
"P13","No sabe",0.012,0.013,0.011,0.092
"P14","Positiva",0.232,0.181,0.202,0.145
"P14","Neutra",0.392,0.474,0.393,0.315
"P14","Negativa",0.355,0.34,0.38,0.507
"P14","No sabe",0.021,0.005,0.025,0.033
"P15","Mejor",0.092,0.089,0.108,0.097
"P15","Igual",0.17,0.217,0.26,0.156
"P15","Peor",0.686,0.641,0.577,0.668
"P15","No sabe",0.052,0.053,0.055,0.079
"P16","Mejor",0.079,0.072,0.117,0.078
"P16","Igual",0.223,0.235,0.247,0.24
"P16","Peor",0.596,0.543,0.506,0.405
"P16","No sabe",0.102,0.15,0.13,0.277
"P17","Positiva",0.158,0.13,0.117,0.128
"P17","Neutra",0.063,0.14,0.156,0.094
"P17","Negativa",0.77,0.715,0.709,0.738
"P17","No sabe",0.009,0.015,0.018,0.04
"P18","Mejor",0.048,0.054,0.078,0.049
"P18","Igual",0.094,0.164,0.202,0.08
"P18","Peor",0.809,0.711,0.661,0.753
"P18","No sabe",0.049,0.071,0.059,0.118
"P19","Mejor",0.072,0.062,0.104,0.015
"P19","Igual",0.135,0.188,0.203,0.152
"P19","Peor",0.73,0.619,0.583,0.545
"P19","No sabe",0.063,0.131,0.11,0.288
"P20","Positiva",0.126,0.113,0.218,0.126
"P20","Neutra",0.103,0.218,0.194,0.168
"P20","Negativa",0.769,0.647,0.574,0.562
"P20","No sabe",0.002,0.022,0.014,0.144
"P22","Positiva",0.083,0.074,0.126,0.036
