"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.062,0.063,0.061,0.073,0.05,0.056,0.08,0.086,0.054,0.046,0.104,0.036,0.073,0.059,0.054,0.045,0.07,6
"Buena",0.12,0.11,0.129,0.087,0.111,0.163,0.129,0.132,0.115,0.112,0.219,0.05,0.075,0.095,0.136,0.118,0.133,6
"Ni buena ni mala",0.231,0.201,0.259,0.267,0.252,0.191,0.184,0.252,0.245,0.186,0.346,0.108,0.227,0.213,0.259,0.296,0.224,6
"Mala",0.178,0.172,0.184,0.185,0.165,0.168,0.214,0.176,0.168,0.195,0.15,0.185,0.209,0.166,0.209,0.149,0.179,6
"Muy mala",0.375,0.423,0.331,0.323,0.393,0.408,0.368,0.3,0.386,0.448,0.155,0.606,0.329,0.423,0.305,0.37,0.369,6
"No sabe",0.034,0.031,0.036,0.065,0.029,0.014,0.025,0.054,0.032,0.013,0.026,0.015,0.087,0.044,0.037,0.022,0.025,6
"Positiva",0.182,0.173,0.19,0.16,0.161,0.219,0.209,0.218,0.169,0.158,0.323,0.086,0.148,0.154,0.19,0.163,0.203,4
"Neutra",0.231,0.201,0.259,0.267,0.252,0.191,0.184,0.252,0.245,0.186,0.346,0.108,0.227,0.213,0.259,0.296,0.224,4
"Negativa",0.553,0.595,0.515,0.508,0.558,0.576,0.582,0.476,0.554,0.643,0.305,0.791,0.538,0.589,0.514,0.519,0.548,4
"No sabe",0.034,0.031,0.036,0.065,0.029,0.014,0.025,0.054,0.032,0.013,0.026,0.015,0.087,0.044,0.037,0.022,0.025,4
"Positiva",0.285,0.274,0.296,0.277,0.275,0.309,0.292,0.336,0.274,0.243,0.517,0.108,0.206,0.241,0.289,0.352,0.312,2
"Negativa",0.681,0.695,0.668,0.658,0.697,0.677,0.683,0.61,0.694,0.744,0.457,0.877,0.707,0.715,0.674,0.626,0.663,2
"No sabe",0.034,0.031,0.036,0.065,0.028,0.014,0.025,0.054,0.032,0.013,0.026,0.015,0.087,0.044,0.037,0.022,0.025,2
