"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.328,0.383,0.274,0.381,0.308,0.315,0.312,0.322,0.358,0.296,0.135,0.558,0.226,0.348,0.33,0.374,0.304,0.046,0.423,6
"Buena",0.134,0.13,0.138,0.108,0.118,0.166,0.168,0.113,0.14,0.146,0.041,0.215,0.153,0.137,0.165,0.126,0.121,0.028,0.246,6
"Ni buena ni mala",0.126,0.114,0.137,0.106,0.13,0.132,0.137,0.19,0.113,0.081,0.116,0.109,0.209,0.117,0.134,0.129,0.129,0.122,0.141,6
"Mala",0.124,0.109,0.14,0.122,0.119,0.115,0.153,0.156,0.134,0.083,0.186,0.05,0.162,0.108,0.149,0.13,0.127,0.217,0.087,6
"Muy mala",0.281,0.26,0.302,0.279,0.318,0.267,0.218,0.211,0.248,0.389,0.515,0.064,0.246,0.283,0.21,0.237,0.314,0.579,0.1,6
"No sabe",0.007,0.004,0.009,0.004,0.007,0.005,0.012,0.008,0.007,0.005,0.007,0.004,0.004,0.007,0.012,0.004,0.005,0.008,0.003,6
"Positiva",0.462,0.513,0.412,0.489,0.426,0.481,0.48,0.435,0.498,0.442,0.176,0.773,0.379,0.485,0.495,0.5,0.425,0.074,0.669,4
"Neutra",0.126,0.114,0.137,0.106,0.13,0.132,0.137,0.19,0.113,0.081,0.116,0.109,0.209,0.117,0.134,0.129,0.129,0.122,0.141,4
"Negativa",0.405,0.369,0.442,0.401,0.437,0.382,0.371,0.367,0.382,0.472,0.701,0.114,0.408,0.391,0.359,0.367,0.441,0.796,0.187,4
"No sabe",0.007,0.004,0.009,0.004,0.007,0.005,0.012,0.008,0.007,0.005,0.007,0.004,0.004,0.007,0.012,0.004,0.005,0.008,0.003,4
"Positiva",0.534,0.586,0.483,0.533,0.506,0.561,0.563,0.532,0.561,0.502,0.21,0.854,0.519,0.569,0.553,0.565,0.493,0.066,0.905,2
"Negativa",0.459,0.41,0.508,0.463,0.487,0.434,0.425,0.46,0.432,0.493,0.783,0.142,0.477,0.424,0.435,0.431,0.502,0.928,0.09,2
"No sabe",0.007,0.004,0.009,0.004,0.007,0.005,0.012,0.008,0.007,0.005,0.007,0.004,0.004,0.007,0.012,0.004,0.005,0.006,0.005,2
