"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.797,0.203,0.131,0.228,0.112,0.142,0.196,0.289
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.08,0.647,0.116,0.091,0.052,0.099,0.051,0.079
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.088,0.104,0.701,0.207,0.154,0.26,0.176,0.175
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.012,0.009,0.017,0.334,0.007,0.058,0.061,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.019,0.022,0.071,0.621,0.147,0.066,0.087
"P13","En blanco",0.003,0.007,0.005,0.022,0.032,0.212,0.238,0.037
"P13","No sabe",0.008,0.011,0.008,0.047,0.022,0.082,0.212,0.333
"P26","Totalmente seguro",0.772,0.715,0.767,0.507,0.548,0.5,0.536,0.388
"P26","Bastante seguro",0.125,0.141,0.103,0.154,0.168,0.134,0.07,0.072
"P26","Algo seguro",0.075,0.08,0.091,0.171,0.147,0.117,0.058,0.147
"P26","Para nada seguro",0.028,0.064,0.039,0.168,0.137,0.249,0.336,0.393
"P27","Tiene Decidido que va a ir a votar",0.94,0.925,0.932,0.851,0.853,0.781,0.541,0.774
"P27","Tiene dudas sobre si va a ir a  votar",0.041,0.055,0.056,0.08,0.052,0.133,0.306,0.166
"P27","Tiene Decidido que no va a ir a votar",0.019,0.02,0.012,0.069,0.095,0.086,0.153,0.06
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.897,0.246,0.192,0.492,0.33,0.257,0.272,0.386
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.051,0.686,0.321,0.109,0.19,0.246,0.146,0.115
"P28","En blanco",0.024,0.043,0.293,0.209,0.247,0.184,0.33,0.072
"P28","No sabe",0.028,0.025,0.194,0.19,0.233,0.313,0.252,0.427
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.259,0.717,0.138,0.236,0.222,0.18,0.111,0.146
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.149,0.739,0.211,0.258,0.266,0.213,0.198
"P29","En blanco",0.434,0.073,0.065,0.372,0.256,0.205,0.427,0.098
"P29","No sabe",0.224,0.061,0.058,0.181,0.264,0.349,0.249,0.558
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.832,0.239,0.132,0.363,0.26,0.21,0.288,0.347
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.068,0.283,0.786,0.245,0.269,0.374,0.167,0.258
"P30","En blanco",0.058,0.29,0.044,0.228,0.281,0.188,0.418,0.069
"P30","No sabe",0.042,0.188,0.038,0.164,0.19,0.228,0.127,0.326
"P38","Inflación",0.415,0.305,0.344,0.31,0.346,0.22,0.161,0.317
"P38","Desempleo",0.126,0.072,0.07,0.123,0.064,0.141,0.11,0.116
"P38","Corrupción",0.115,0.393,0.417,0.254,0.348,0.393,0.293,0.257
"P38","Inseguridad",0.121,0.141,0.089,0.119,0.123,0.089,0.151,0.079
"P38","Precio del dólar",0.045,0.016,0.012,0.02,0.013,0.019,0.057,0.042
"P38","Pobreza",0.082,0.032,0.034,0.078,0.032,0.082,0.122,0.058
"P38","Narcotráfico",0.013,0.005,0.005,0.016,0.003,0.005,0.006,0.025
"P38","Tarifas",0.006,0.005,0.002,0.002,0,0,0,0.019
"P38","Otro",0.058,0.023,0.019,0.05,0.055,0.039,0.015,0.045
"P38","No sabe",0.019,0.008,0.008,0.028,0.016,0.012,0.085,0.042
