"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.669,0.102,0.11,0.13,0.08,0.046,0.075
"P10","Juntos por el Cambio",0.152,0.734,0.115,0.086,0.113,0.102,0.094
"P10","De los liberales libertarios",0.081,0.107,0.636,0.132,0.106,0.057,0.058
"P10","De la Izquierda",0.03,0.018,0.04,0.54,0.073,0.054,0.069
"P10","Hacemos por nuestro país",0.009,0.007,0.019,0.007,0.411,0.052,0.021
"P10","Otro",0.012,0.013,0.033,0.063,0.101,0.349,0.079
"P10","En blanco",0.011,0.004,0.014,0.041,0.029,0.25,0.131
"P10","No sabe",0.036,0.015,0.033,0.001,0.087,0.09,0.473
"P26","Totalmente seguro",0.751,0.728,0.754,0.57,0.512,0.365,0.207
"P26","Bastante seguro",0.123,0.136,0.113,0.09,0.132,0.268,0.058
"P26","Algo seguro",0.081,0.089,0.091,0.113,0.168,0.09,0.091
"P26","Para nada seguro",0.045,0.047,0.042,0.227,0.188,0.277,0.644
"P27","Tiene Decidido que va a ir a votar",0.936,0.921,0.934,0.839,0.797,0.612,0.642
"P27","Tiene dudas sobre si va a ir a  votar",0.046,0.059,0.05,0.095,0.112,0.197,0.255
"P27","Tiene Decidido que no va a ir a votar",0.018,0.02,0.016,0.066,0.091,0.191,0.103
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.901,0.186,0.19,0.373,0.255,0.109,0.238
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.047,0.763,0.303,0.163,0.239,0.195,0.12
"P28","En blanco",0.023,0.028,0.311,0.163,0.236,0.459,0.063
"P28","No sabe",0.029,0.023,0.196,0.301,0.27,0.237,0.579
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.243,0.819,0.108,0.24,0.221,0.072,0.125
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.084,0.118,0.778,0.155,0.195,0.209,0.09
"P29","En blanco",0.426,0.035,0.07,0.306,0.275,0.482,0.108
"P29","No sabe",0.247,0.028,0.044,0.299,0.309,0.237,0.677
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.821,0.237,0.085,0.377,0.244,0.102,0.209
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.263,0.845,0.168,0.236,0.308,0.175
"P30","En blanco",0.074,0.303,0.04,0.227,0.281,0.408,0.113
"P30","No sabe",0.049,0.197,0.03,0.228,0.239,0.182,0.503
"P38","Inflación",0.417,0.302,0.325,0.314,0.312,0.248,0.162
"P38","Desempleo",0.116,0.084,0.075,0.082,0.071,0.146,0.15
"P38","Corrupción",0.12,0.408,0.427,0.285,0.356,0.269,0.261
"P38","Inseguridad",0.125,0.127,0.105,0.064,0.086,0.091,0.162
"P38","Precio del dólar",0.05,0.01,0.005,0.015,0.054,0.028,0.015
"P38","Pobreza",0.08,0.029,0.034,0.105,0.038,0.098,0.083
"P38","Narcotráfico",0.013,0.008,0.002,0.007,0.011,0.014,0.027
"P38","Tarifas",0.007,0.003,0.002,0.003,0.015,0,0
"P38","Otro",0.05,0.022,0.016,0.107,0.043,0.062,0.099
"P38","No sabe",0.022,0.007,0.009,0.018,0.014,0.044,0.041
