"var","categoria","Si","No","No sabe"
"P10","Siempre",0.204,0.185,0.097
"P10","Casi siempre",0.279,0.289,0.262
"P10","Casi nunca",0.296,0.356,0.383
"P10","Nunca, pero esta es una excepción",0.221,0.17,0.258
"P11","Si",0.598,0.116,0.212
"P11","No",0.153,0.728,0.177
"P11","No sabe",0.249,0.156,0.611
"P12","Javier Milei",0.803,0.194,0.419
"P12","Mauricio Macri",0.043,0.538,0.069
"P12","Ambos",0.115,0.155,0.279
"P12","No sabe",0.039,0.113,0.233
"P14","Florencio Randazzo",0.305,0.289,0.111
"P14","Cristian Ritondo",0.233,0.186,0.137
"P14","Algun diputado del bloque de Milei",0.317,0.109,0.313
"P14","No sabe",0.145,0.416,0.439
"P15","Si",0.796,0.222,0.431
"P15","No",0.152,0.705,0.224
"P15","No sabe",0.052,0.073,0.345
"P16","Si",0.429,0.664,0.469
"P16","No",0.479,0.198,0.172
"P16","No sabe",0.092,0.138,0.359
"P17","Si",0.437,0.561,0.342
"P17","No",0.475,0.322,0.304
"P17","No sabe",0.088,0.117,0.354
"P18","Los cargos públicos",0.524,0.377,0.31
"P18","El empleo público",0.169,0.14,0.108
"P18","Los planes sociales",0.208,0.115,0.233
"P18","Las tarifas de los servicios públicos",0.045,0.084,0.071
"P18","No sabe",0.054,0.284,0.278
"P19","Si",0.562,0.141,0.164
"P19","No",0.235,0.689,0.23
"P19","No sabe",0.203,0.17,0.606
"P20","Si",0.81,0.267,0.463
"P20","No",0.117,0.646,0.156
"P20","No sabe",0.073,0.087,0.381
"P21","Inflación",0.322,0.329,0.317
"P21","Desempleo",0.078,0.119,0.07
"P21","Corrupción",0.427,0.209,0.297
"P21","Inseguridad",0.101,0.123,0.138
"P21","Precio del dólar",0.009,0.041,0.013
"P21","Pobreza",0.024,0.073,0.065
"P21","Narcotráfico",0.009,0.02,0.003
"P21","Tarifas",0.009,0.013,0.003
"P21","Otro",0.01,0.064,0.014
"P21","No sabe",0.011,0.009,0.08
"P25","Sin deuda",0.359,0.326,0.307
"P25","Menos de 10%",0.18,0.17,0.127
"P25","Entre 10 y 20%",0.148,0.149,0.134
"P25","Entre 20 y 30%",0.081,0.096,0.08
"P25","Entre 30 y 40%",0.067,0.08,0.084
"P25","Mas del 40%",0.123,0.136,0.075
"P25","No sabe",0.042,0.043,0.193
"P26","Gran excedente habitual",0.009,0.008,0.005
"P26","Gran excedente excepcional",0.004,0.01,0.012
"P26","Pequeño excedente habitual",0.055,0.054,0.007
"P26","Pequeño excedente excepcional",0.059,0.063,0.035
"P26","Alcanza gastos familia",0.131,0.142,0.088
"P26","No alcanza gastos familia",0.129,0.12,0.083
"P26","Solo NBFamiliares",0.295,0.251,0.333
"P26","No alcanza NBFamiliares",0.307,0.342,0.349
"P26","No sabe",0.011,0.01,0.088
"P27","Muy buena",0.069,0.059,0.035
"P27","Buena",0.184,0.18,0.15
"P27","Ni buena ni mala",0.455,0.427,0.461
"P27","Mala",0.225,0.271,0.251
"P27","Muy mala",0.058,0.053,0.072
"P27","No sabe",0.009,0.01,0.031
"P28","Mejor",0.088,0.099,0.11
"P28","Igual",0.163,0.374,0.244
"P28","Peor",0.713,0.482,0.541
"P28","No sabe",0.036,0.045,0.105
"P29","Mejor",0.357,0.055,0.247
"P29","Igual",0.304,0.176,0.246
"P29","Peor",0.205,0.607,0.194
"P29","No sabe",0.134,0.162,0.313
"P30","Muy buena",0.058,0.062,0.064
"P30","Buena",0.057,0.081,0.075
"P30","Ni buena ni mala",0.133,0.296,0.212
"P30","Mala",0.32,0.398,0.366
"P30","Muy mala",0.422,0.146,0.217
"P30","No sabe",0.01,0.017,0.066
"P31","Mejor",0.016,0.088,0.08
"P31","Igual",0.07,0.265,0.178
"P31","Peor",0.857,0.574,0.591
"P31","No sabe",0.057,0.073,0.151
"P32","Mejor",0.387,0.047,0.33
"P32","Igual",0.272,0.15,0.159
"P32","Peor",0.246,0.657,0.188
"P32","No sabe",0.095,0.146,0.323
"P33","Muy buena",0.05,0.086,0.074
"P33","Buena",0.089,0.195,0.088
"P33","Ni buena ni mala",0.145,0.33,0.241
"P33","Mala",0.224,0.279,0.326
"P33","Muy mala",0.471,0.078,0.199
"P33","No sabe",0.021,0.032,0.072
"P35","Muy buena",0.024,0.081,0.011
"P35","Buena",0.054,0.165,0.041
"P35","Ni buena ni mala",0.11,0.357,0.309
"P35","Mala",0.259,0.292,0.297
"P35","Muy mala",0.527,0.069,0.263
"P35","No sabe",0.026,0.036,0.079
"P36","Muy buena",0.036,0.155,0.004
"P36","Buena",0.058,0.246,0.086
"P36","Ni buena ni mala",0.156,0.351,0.418
"P36","Mala",0.315,0.177,0.233
"P36","Muy mala",0.419,0.043,0.215
"P36","No sabe",0.016,0.028,0.044
"P37","Muy buena",0.042,0.048,0.024
"P37","Buena",0.037,0.191,0.065
"P37","Ni buena ni mala",0.095,0.369,0.267
"P37","Mala",0.265,0.286,0.356
"P37","Muy mala",0.554,0.08,0.222
"P37","No sabe",0.007,0.026,0.066
"P38","Muy buena",0.024,0.101,0.061
"P38","Buena",0.021,0.149,0.087
"P38","Ni buena ni mala",0.11,0.332,0.168
"P38","Mala",0.248,0.286,0.364
"P38","Muy mala",0.589,0.128,0.306
"P38","No sabe",0.008,0.004,0.014
"P39","Muy buena",0.032,0.41,0.058
"P39","Buena",0.022,0.193,0.091
"P39","Ni buena ni mala",0.085,0.177,0.164
"P39","Mala",0.181,0.125,0.315
"P39","Muy mala",0.679,0.09,0.351
"P39","No sabe",0.001,0.005,0.021
"P40","Muy buena",0.221,0.024,0.042
"P40","Buena",0.231,0.063,0.194
"P40","Ni buena ni mala",0.301,0.108,0.289
"P40","Mala",0.148,0.364,0.288
"P40","Muy mala",0.094,0.435,0.159
"P40","No sabe",0.005,0.006,0.028
"P41","Muy buena",0.083,0.073,0.101
"P41","Buena",0.13,0.134,0.235
"P41","Ni buena ni mala",0.305,0.355,0.255
"P41","Mala",0.193,0.27,0.271
"P41","Muy mala",0.27,0.14,0.114
"P41","No sabe",0.019,0.028,0.024
"P42","Muy buena",0.024,0.263,0.052
"P42","Buena",0.029,0.263,0.083
"P42","Ni buena ni mala",0.1,0.262,0.227
"P42","Mala",0.201,0.123,0.37
"P42","Muy mala",0.635,0.088,0.245
"P42","No sabe",0.011,0.001,0.023
"P43","Muy buena",0.168,0.039,0.127
"P43","Buena",0.209,0.067,0.205
"P43","Ni buena ni mala",0.298,0.26,0.264
"P43","Mala",0.19,0.325,0.21
"P43","Muy mala",0.107,0.296,0.089
"P43","No sabe",0.028,0.013,0.105
"P44","Muy buena",0.03,0.437,0.037
"P44","Buena",0.048,0.172,0.143
"P44","Ni buena ni mala",0.117,0.201,0.217
"P44","Mala",0.182,0.089,0.264
"P44","Muy mala",0.603,0.068,0.248
"P44","No sabe",0.02,0.033,0.091
"P46","Muy buena",0.553,0.062,0.251
"P46","Buena",0.213,0.078,0.306
"P46","Ni buena ni mala",0.141,0.203,0.262
"P46","Mala",0.024,0.266,0.069
"P46","Muy mala",0.064,0.369,0.055
"P46","No sabe",0.005,0.022,0.057
"P47","Muy buena",0.392,0.025,0.236
"P47","Buena",0.3,0.071,0.248
"P47","Ni buena ni mala",0.207,0.145,0.201
"P47","Mala",0.062,0.331,0.167
"P47","Muy mala",0.039,0.406,0.106
"P47","No sabe",0,0.022,0.042
"P48","Muy buena",0.067,0.23,0.04
"P48","Buena",0.085,0.168,0.106
"P48","Ni buena ni mala",0.303,0.284,0.413
"P48","Mala",0.174,0.134,0.2
"P48","Muy mala",0.297,0.083,0.094
"P48","No sabe",0.074,0.101,0.147
"P49","Muy buena",0.036,0.123,0.028
"P49","Buena",0.058,0.171,0.082
"P49","Ni buena ni mala",0.222,0.389,0.35
"P49","Mala",0.19,0.107,0.211
"P49","Muy mala",0.421,0.08,0.187
"P49","No sabe",0.073,0.13,0.142
"P50","Muy buena",0.034,0.056,0.058
"P50","Buena",0.117,0.154,0.206
"P50","Ni buena ni mala",0.333,0.392,0.337
"P50","Mala",0.194,0.215,0.223
"P50","Muy mala",0.264,0.1,0.079
"P50","No sabe",0.058,0.083,0.097
"P52","Muy buena",0.482,0.042,0.195
"P52","Buena",0.177,0.053,0.276
"P52","Ni buena ni mala",0.182,0.213,0.272
"P52","Mala",0.054,0.216,0.091
"P52","Muy mala",0.079,0.406,0.078
"P52","No sabe",0.026,0.07,0.088
"P53","Muy buena",0.262,0.071,0.2
"P53","Buena",0.295,0.129,0.195
"P53","Ni buena ni mala",0.282,0.341,0.344
"P53","Mala",0.074,0.226,0.092
"P53","Muy mala",0.037,0.174,0.07
"P53","No sabe",0.05,0.059,0.099
"P54","Radio",0.148,0.132,0.121
"P54","Televisión",0.393,0.386,0.472
"P54","Diario",0.061,0.068,0.055
"P54","Medio digital",0.204,0.198,0.168
