"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.775,0.123,0.124,0.123,0.175,0.134
"P10","Juntos por el Cambio",0.083,0.724,0.133,0.108,0.168,0.075
"P10","De los liberales libertarios",0.078,0.117,0.659,0.15,0.144,0.084
"P10","De la Izquierda",0.027,0.011,0.04,0.483,0.058,0.123
"P10","Hacemos por nuestro país",0.002,0.003,0.008,0.01,0.155,0.004
"P10","Otro",0.003,0.008,0.012,0.084,0.119,0.099
"P10","En blanco",0.006,0,0.007,0.042,0.081,0.085
"P10","No sabe",0.026,0.014,0.017,0,0.1,0.396
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.914,0.113,0.11,0.123,0.152,0
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.037,0.804,0.076,0.061,0.118,0
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.049,0.083,0.814,0.038,0.128,0
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0,0,0,0.778,0,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0,0.37,0
"P20","En blanco",0,0,0,0,0.232,0
"P20","No sabe",0,0,0,0,0,1
"P26","Totalmente seguro",0.83,0.769,0.834,0.516,0.47,0.105
"P26","Bastante seguro",0.086,0.119,0.049,0.124,0.159,0.089
"P26","Algo seguro",0.045,0.069,0.08,0.151,0.15,0.106
"P26","Para nada seguro",0.039,0.043,0.037,0.209,0.221,0.7
"P27","Tiene Decidido que va a ir a votar",0.955,0.92,0.944,0.852,0.879,0.626
"P27","Tiene dudas sobre si va a ir a  votar",0.04,0.065,0.041,0.081,0.061,0.283
"P27","Tiene Decidido que no va a ir a votar",0.005,0.015,0.015,0.067,0.06,0.091
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.888,0.202,0.234,0.323,0.321,0.246
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.065,0.728,0.329,0.255,0.291,0.101
"P28","En blanco",0.025,0.04,0.264,0.138,0.183,0.11
"P28","No sabe",0.022,0.03,0.173,0.284,0.205,0.543
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.732,0.191,0.227,0.219,0.133
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.081,0.153,0.692,0.217,0.226,0.083
"P29","En blanco",0.447,0.07,0.07,0.302,0.277,0.084
"P29","No sabe",0.243,0.045,0.047,0.254,0.278,0.7
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.858,0.208,0.185,0.382,0.3,0.22
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.068,0.35,0.708,0.224,0.3,0.176
"P30","En blanco",0.038,0.257,0.064,0.219,0.225,0.082
"P30","No sabe",0.036,0.185,0.043,0.175,0.175,0.522
"P38","Inflación",0.457,0.327,0.318,0.198,0.252,0.169
"P38","Desempleo",0.083,0.062,0.064,0.127,0.065,0.125
"P38","Corrupción",0.123,0.408,0.396,0.403,0.359,0.317
"P38","Inseguridad",0.131,0.134,0.149,0.055,0.153,0.274
"P38","Precio del dólar",0.061,0.006,0.013,0.021,0.079,0.013
"P38","Pobreza",0.075,0.029,0.03,0.055,0.069,0.005
"P38","Narcotráfico",0.009,0.005,0.011,0.011,0.003,0.045
"P38","Tarifas",0.002,0.006,0,0.005,0,0
"P38","Otro",0.05,0.021,0.014,0.095,0.01,0.052
"P38","No sabe",0.009,0.002,0.005,0.03,0.01,0
"CORTA_GOBERNADOR","Si",0.086,0.196,0.186,0.223,0.398,0
"CORTA_GOBERNADOR","No",0.914,0.804,0.814,0.777,0.602,1
