"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.027,0.004,0.005,0.003,0.01
"P04","Gran excedente excepcional",0.011,0.005,0.003,0,0.007
"P04","Pequeño excedente habitual",0.086,0.064,0.037,0.019,0.018
"P04","Pequeño excedente excepcional",0.106,0.077,0.036,0.023,0.016
"P04","Alcanza gastos familia",0.217,0.192,0.114,0.061,0.036
"P04","No alcanza gastos familia",0.126,0.156,0.186,0.171,0.178
"P04","Solo NBFamiliares",0.247,0.285,0.325,0.245,0.155
"P04","No alcanza NBFamiliares",0.152,0.199,0.286,0.459,0.538
"P04","No sabe",0.028,0.018,0.008,0.019,0.042
"P05","Todos los días",0.306,0.174,0.136,0.154,0.169
"P05","Entre 4 y 6 días a la semana",0.327,0.387,0.253,0.189,0.164
"P05","Entre 1 y 3 días a la semana",0.249,0.298,0.417,0.334,0.232
"P05","Raramente",0.087,0.125,0.168,0.271,0.226
"P05","Nunca",0.031,0.016,0.026,0.052,0.209
"P06","Todos los días",0.162,0.059,0.039,0.048,0.098
"P06","Entre 4 y 6 días a la semana",0.282,0.344,0.174,0.129,0.083
"P06","Entre 1 y 3 días a la semana",0.383,0.406,0.471,0.373,0.19
"P06","Raramente",0.133,0.156,0.254,0.389,0.403
"P06","Nunca",0.04,0.035,0.062,0.061,0.226
"P07","Todos los días",0.146,0.059,0.045,0.056,0.088
"P07","Entre 4 y 6 días a la semana",0.253,0.308,0.173,0.143,0.124
"P07","Entre 1 y 3 días a la semana",0.444,0.46,0.486,0.371,0.236
"P07","Raramente",0.129,0.142,0.257,0.373,0.32
"P07","Nunca",0.028,0.031,0.039,0.057,0.232
"P08","Todos los días",0.101,0.029,0.035,0.025,0.048
"P08","Entre 4 y 6 días a la semana",0.071,0.149,0.066,0.07,0.062
"P08","Entre 1 y 3 días a la semana",0.234,0.251,0.192,0.148,0.079
"P08","Raramente",0.408,0.396,0.493,0.445,0.285
"P08","Nunca",0.186,0.175,0.214,0.312,0.526
"P09","Todos los días",0.182,0.096,0.057,0.051,0.041
"P09","Entre 4 y 6 días a la semana",0.186,0.249,0.126,0.064,0.051
"P09","Entre 1 y 3 días a la semana",0.272,0.287,0.317,0.179,0.103
"P09","Raramente",0.275,0.309,0.408,0.572,0.308
"P09","Nunca",0.085,0.059,0.092,0.134,0.497
"P10","Todos los días",0.441,0.157,0.075,0.044,0.025
"P10","Entre 4 y 6 días a la semana",0.213,0.392,0.15,0.066,0.043
"P10","Entre 1 y 3 días a la semana",0.202,0.241,0.493,0.216,0.096
"P10","Raramente",0.115,0.187,0.241,0.568,0.305
"P10","Nunca",0.029,0.023,0.041,0.106,0.531
"P12","Todos los días",0.199,0.026,0.02,0.018,0.03
"P12","Entre 4 y 6 días a la semana",0.113,0.237,0.07,0.056,0.063
"P12","Entre 1 y 3 días a la semana",0.319,0.319,0.419,0.202,0.139
"P12","Raramente",0.305,0.348,0.386,0.569,0.333
"P12","Nunca",0.064,0.07,0.105,0.155,0.435
"P13","Todos los días",0.383,0.261,0.2,0.205,0.219
"P13","Entre 4 y 6 días a la semana",0.237,0.345,0.256,0.181,0.118
"P13","Entre 1 y 3 días a la semana",0.237,0.258,0.358,0.291,0.214
"P13","Raramente",0.117,0.114,0.153,0.284,0.248
"P13","Nunca",0.026,0.022,0.033,0.039,0.201
"P14","Todos los días",0.189,0.084,0.076,0.111,0.164
"P14","Entre 4 y 6 días a la semana",0.236,0.306,0.239,0.171,0.151
"P14","Entre 1 y 3 días a la semana",0.384,0.366,0.426,0.336,0.213
"P14","Raramente",0.16,0.209,0.215,0.304,0.22
"P14","Nunca",0.031,0.035,0.044,0.078,0.252
"P15","Menos de un vaso al día",0.114,0.076,0.065,0.096,0.127
"P15","De 1 a 4 vasos al día",0.326,0.344,0.371,0.341,0.285
"P15","Más de 4 vasos al día",0.52,0.536,0.5,0.456,0.473
"P15","No consume agua",0.04,0.044,0.064,0.107,0.115
"P16","Agua embotellada/mineral",0.227,0.172,0.138,0.093,0.123
"P16","Agua de la canilla filtrada",0.318,0.315,0.286,0.304,0.269
"P16","Agua de la canilla directamente",0.318,0.373,0.449,0.486,0.514
"P16","Agua de bidón",0.125,0.137,0.12,0.1,0.067
"P16","No consume agua",0.012,0.003,0.007,0.017,0.027
"P17","Todos los días",0.113,0.068,0.041,0.025,0.096
"P17","Entre 4 y 6 días a la semana",0.102,0.107,0.076,0.083,0.094
"P17","Entre 1 y 3 días a la semana",0.231,0.232,0.211,0.187,0.102
"P17","Raramente",0.314,0.33,0.356,0.345,0.155
"P17","Nunca",0.24,0.263,0.316,0.36,0.553
"P18","Vino",0.324,0.242,0.217,0.163,0.175
"P18","Cerveza",0.185,0.187,0.16,0.134,0.086
"P18","Destilados (whisky, vodka, ron, etc.)",0.084,0.063,0.054,0.043,0.031
"P18","Espumantes",0.036,0.048,0.062,0.074,0.041
"P18","Otros",0.092,0.13,0.11,0.132,0.162
"P18","No consume bebidas alcohólicas",0.279,0.33,0.397,0.454,0.505
"P19","Todos los días",0.203,0.124,0.067,0.087,0.088
"P19","Entre 4 y 6 días a la semana",0.112,0.161,0.103,0.08,0.042
"P19","Entre 1 y 3 días a la semana",0.165,0.24,0.218,0.127,0.072
"P19","Raramente",0.292,0.324,0.421,0.472,0.372
"P19","Nunca",0.228,0.151,0.191,0.234,0.426
"P20","Todos los días",0.505,0.481,0.516,0.538,0.501
"P20","Entre 4 y 6 días a la semana",0.085,0.146,0.102,0.069,0.088
"P20","Entre 1 y 3 días a la semana",0.097,0.111,0.125,0.076,0.06
"P20","Raramente",0.14,0.136,0.165,0.2,0.172
"P20","Nunca",0.173,0.126,0.092,0.117,0.179
"P21","Todos los días",0.646,0.532,0.439,0.414,0.408
"P21","Entre 4 y 6 días a la semana",0.125,0.247,0.204,0.145,0.108
"P21","Entre 1 y 3 días a la semana",0.102,0.118,0.184,0.157,0.094
"P21","Raramente",0.084,0.072,0.125,0.212,0.179
"P21","Nunca",0.043,0.031,0.048,0.072,0.211
"P22","Asado",0.436,0.418,0.396,0.423,0.346
"P22","Pizza",0.082,0.113,0.09,0.088,0.07
"P22","Milanesa",0.16,0.177,0.174,0.151,0.089
"P22","Pastas",0.132,0.103,0.117,0.101,0.075
"P22","Empanadas",0.037,0.03,0.038,0.062,0.079
"P22","Hamburguesa",0.01,0.01,0.013,0.009,0.027
"P22","Ensaladas (de cualquier tipo)",0.066,0.054,0.048,0.043,0.064
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.051,0.061,0.072,0.078,0.12
"P22","Polenta o similares (de cualquier tipo)",0.003,0.016,0.034,0.028,0.049
"P22","Ninguno de los anteriores",0.023,0.018,0.018,0.017,0.081
"P23","Asado",0.16,0.129,0.085,0.093,0.12
"P23","Pizza",0.066,0.087,0.061,0.071,0.056
"P23","Milanesa",0.256,0.244,0.211,0.13,0.084
"P23","Pastas",0.166,0.155,0.211,0.217,0.146
"P23","Empanadas",0.043,0.034,0.041,0.027,0.042
"P23","Hamburguesa",0.014,0.017,0.022,0.025,0.028
"P23","Ensaladas (de cualquier tipo)",0.135,0.1,0.095,0.074,0.072
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.078,0.115,0.127,0.148,0.191
"P23","Polenta o similares (de cualquier tipo)",0.012,0.036,0.077,0.131,0.149
"P23","Ninguno de los anteriores",0.07,0.083,0.07,0.084,0.112
"P24","Helado",0.323,0.31,0.233,0.214,0.158
"P24","Tortas, tartas dulces y masas",0.167,0.175,0.144,0.152,0.073
"P24","Ensalada de frutas",0.169,0.182,0.171,0.161,0.153
"P24","Flan, budín de pan y similares",0.107,0.118,0.115,0.159,0.117
"P24","Dulce de batata, membrillo o similares",0.08,0.053,0.092,0.066,0.118
"P24","Facturas de todo tipo",0.031,0.025,0.046,0.042,0.052
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.026,0.022,0.028,0.043
"P24","Gelatina",0.019,0.022,0.048,0.052,0.088
"P24","Panqueques, wafles y similares",0.022,0.018,0.023,0.032,0.019
"P24","Ninguno de los anteriores",0.055,0.071,0.106,0.094,0.179
"P25","Helado",0.167,0.151,0.101,0.079,0.05
"P25","Tortas, tartas dulces y masas",0.192,0.174,0.133,0.119,0.044
"P25","Ensalada de frutas",0.113,0.118,0.102,0.079,0.052
"P25","Flan, budín de pan y similares",0.062,0.064,0.059,0.077,0.041
"P25","Dulce de batata, membrillo o similares",0.105,0.115,0.13,0.092,0.071
"P25","Facturas de todo tipo",0.1,0.093,0.104,0.052,0.067
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.031,0.016,0.022,0.038,0.042
"P25","Gelatina",0.027,0.041,0.045,0.064,0.049
"P25","Panqueques, wafles y similares",0.013,0.008,0.015,0.012,0.031
"P25","Ninguno de los anteriores",0.19,0.22,0.289,0.388,0.553
"P26","Vegetariano",0.063,0.049,0.038,0.038,0.052
"P26","Vegano",0.051,0.041,0.031,0.047,0.057
"P26","Dieta baja en carnes rojas",0.15,0.151,0.162,0.119,0.101
"P26","Dieta baja en carbohidratos",0.1,0.086,0.092,0.107,0.051
"P26","Dieta baja en azúcares",0.145,0.12,0.125,0.118,0.114
"P26","Kosher o Alal",0.017,0.031,0.024,0.017,0.016
"P26","Ninguna restricción alimentaria",0.474,0.522,0.528,0.554,0.609
"P27","Si",0.677,0.567,0.528,0.436,0.34
"P27","Parcialmente",0.159,0.194,0.191,0.201,0.162
"P27","No",0.164,0.239,0.281,0.363,0.498
