"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P04","Gran excedente habitual",0.036,0.003,0,0,0,0.009,0
"P04","Gran excedente excepcional",0.002,0.009,0,0.012,0,0.01,0.004
"P04","Pequeño excedente habitual",0.075,0.038,0.028,0.031,0.011,0.056,0
"P04","Pequeño excedente excepcional",0.066,0.054,0.037,0.024,0.175,0.014,0.012
"P04","Alcanza gastos familia",0.175,0.134,0.098,0.278,0.076,0.08,0.059
"P04","No alcanza gastos familia",0.102,0.09,0.335,0.146,0.107,0.156,0.173
"P04","Solo NBFamiliares",0.229,0.482,0.249,0.199,0.247,0.175,0.303
"P04","No alcanza NBFamiliares",0.298,0.187,0.228,0.309,0.375,0.493,0.334
"P04","No sabe",0.017,0.003,0.025,0.001,0.009,0.007,0.115
"P06","Mucho",0.284,0.109,0.123,0.132,0.147,0.158,0.097
"P06","Algo",0.361,0.516,0.357,0.498,0.443,0.373,0.359
"P06","Poco",0.193,0.224,0.386,0.185,0.31,0.252,0.251
"P06","Nada",0.162,0.151,0.134,0.185,0.1,0.217,0.293
"P07","La nación",0.374,0.37,0.394,0.353,0.448,0.365,0.234
"P07","La provincia",0.167,0.291,0.172,0.292,0.191,0.171,0.133
"P07","El municipio",0.234,0.169,0.248,0.221,0.252,0.285,0.131
"P07","No sabe",0.225,0.17,0.186,0.134,0.109,0.179,0.502
"P08","La nación",0.192,0.134,0.184,0.125,0.153,0.228,0.231
"P08","La provincia",0.17,0.214,0.205,0.234,0.239,0.195,0.194
"P08","El municipio",0.53,0.548,0.524,0.556,0.572,0.487,0.437
"P08","No sabe",0.108,0.104,0.087,0.085,0.036,0.09,0.138
"P09","La nación",0.32,0.347,0.338,0.336,0.345,0.407,0.326
"P09","La provincia",0.293,0.318,0.258,0.319,0.281,0.305,0.268
"P09","El municipio",0.292,0.228,0.288,0.29,0.313,0.204,0.285
"P09","No sabe",0.095,0.107,0.116,0.055,0.061,0.084,0.121
"P10","La nación",0.372,0.353,0.41,0.428,0.438,0.457,0.356
"P10","La provincia",0.287,0.372,0.371,0.319,0.367,0.269,0.373
"P10","El municipio",0.223,0.167,0.131,0.157,0.162,0.116,0.115
"P10","No sabe",0.118,0.108,0.088,0.096,0.033,0.158,0.156
"P11","La nación",0.405,0.385,0.5,0.423,0.468,0.491,0.376
"P11","La provincia",0.342,0.385,0.275,0.321,0.375,0.323,0.277
"P11","El municipio",0.145,0.111,0.108,0.151,0.095,0.074,0.093
"P11","No sabe",0.108,0.119,0.117,0.105,0.062,0.112,0.254
"P12","Si",0.196,0.128,0.223,0.157,0.191,0.199,0.086
"P12","No",0.804,0.872,0.777,0.843,0.809,0.801,0.914
"P13","Si",0.119,0.084,0.085,0.056,0.077,0.084,0.091
"P13","No",0.653,0.726,0.735,0.797,0.764,0.712,0.613
"P13","No sabe",0.228,0.19,0.18,0.147,0.159,0.204,0.296
"P14","La falta de gestión de los residuos",0.178,0.145,0.221,0.148,0.185,0.249,0.253
"P14","La contaminación del agua",0.246,0.331,0.326,0.358,0.235,0.31,0.197
"P14","Los incendios descontrolados",0.21,0.197,0.179,0.23,0.269,0.143,0.181
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.238,0.234,0.202,0.197,0.269,0.219,0.101
"P14","No sabe",0.128,0.093,0.072,0.067,0.042,0.079,0.268
"P15","Si",0.643,0.651,0.589,0.622,0.643,0.629,0.632
"P15","No",0.223,0.221,0.246,0.217,0.196,0.26,0.121
"P15","No sabe",0.134,0.128,0.165,0.161,0.161,0.111,0.247
"P16","Estaría de acuerdo con esta medida",0.199,0.333,0.264,0.214,0.174,0.257,0.226
"P16","No estaría de acuerdo con esta medida",0.647,0.543,0.613,0.637,0.732,0.615,0.371
"P16","No sabe",0.154,0.124,0.123,0.149,0.094,0.128,0.403
"P17","Si",0.486,0.41,0.452,0.463,0.323,0.426,0.103
"P17","No",0.359,0.491,0.372,0.388,0.473,0.418,0.317
"P17","No sabe",0.155,0.099,0.176,0.149,0.204,0.156,0.58
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.218,0.189,0.308,0.218,0.199,0.246,0.098
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.647,0.721,0.559,0.696,0.672,0.631,0.642
"P18","No sabe",0.135,0.09,0.133,0.086,0.129,0.123,0.26
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.279,0.274,0.29,0.226,0.254,0.219,0.227
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.573,0.625,0.569,0.657,0.579,0.665,0.541
"P19","No sabe",0.148,0.101,0.141,0.117,0.167,0.116,0.232
"P20","Las montañas",0.219,0.197,0.224,0.216,0.153,0.242,0.049
"P20","El campo",0.342,0.442,0.351,0.349,0.293,0.329,0.257
"P20","El agua",0.066,0.033,0.088,0.089,0.105,0.075,0.011
"P20","El aire",0.065,0.042,0.068,0.038,0.088,0.07,0.033
"P20","Los bosques",0.012,0.003,0.023,0.009,0.043,0.014,0.058
"P20","Los humedales",0.028,0.02,0.01,0.015,0.046,0.005,0
"P20","No sabe",0.268,0.263,0.236,0.284,0.272,0.265,0.592
"P21","El desempleo",0.043,0.079,0.053,0.077,0.032,0.104,0.002
"P21","La corrupción",0.315,0.366,0.334,0.35,0.461,0.358,0.412
"P21","La inseguridad",0.11,0.138,0.154,0.068,0.09,0.057,0.141
"P21","La inflación",0.285,0.244,0.239,0.241,0.319,0.303,0.169
"P21","El precio del dólar",0.031,0.018,0.007,0.06,0.017,0.009,0.044
"P21","La pobreza",0.064,0.026,0.086,0.052,0.027,0.052,0.107
"P21","El narcotráfico",0.06,0.074,0.043,0.063,0.013,0.068,0.1
"P21","Las tarifas",0.013,0.027,0.027,0.016,0.015,0.002,0.009
"P21","Otro",0.058,0.019,0.033,0.068,0.026,0.045,0.016
"P21","No sabe",0.021,0.009,0.024,0.005,0,0.002,0
"P24","Si",0.693,0.706,0.698,0.698,0.694,0.704,0.579
"P24","No",0.124,0.178,0.118,0.179,0.2,0.122,0.129
"P24","No sabe",0.183,0.116,0.184,0.123,0.106,0.174,0.292
"P25","Mucho",0.724,0.655,0.654,0.763,0.796,0.733,0.692
"P25","Algo",0.143,0.26,0.214,0.139,0.117,0.176,0.246
"P25","Poco",0.061,0.07,0.102,0.064,0.087,0.039,0.018
"P25","Nada",0.072,0.015,0.03,0.034,0,0.052,0.044
