"var","categoria","Deberían mantenerse y ampliarse aún mas","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales","Deberian limitarse a los estrictamente necesarios","Deberian eliminarse y volverse a la situación anterior"
"P01","Empleado en relación de dependencia",0.33,0.277,0.217,0.137
"P01","Jubilado o pensionado",0.17,0.259,0.32,0.362
"P01","Desempleado",0.233,0.233,0.267,0.247
"P01","Monotributista o autónomo",0.153,0.12,0.128,0.126
"P01","Empresario",0.02,0.017,0.02,0.013
"P01","Estudiante",0.034,0.023,0.004,0.011
"P01","Otro",0.06,0.071,0.044,0.104
"P02","Menos de $50.000 mensuales",0.429,0.445,0.508,0.582
"P02","Entre $50.000 y $100.000 mensuales",0.217,0.241,0.229,0.23
"P02","Entre $100.000 y $150.000 mensuales",0.159,0.158,0.136,0.094
"P02","Entre $150.000 y $200.000 mensuales",0.072,0.076,0.057,0.04
"P02","Entre $200.000 y $250.000 mensuales",0.045,0.027,0.031,0.017
"P02","Entre $250.000 y $300.000 mensuales",0.022,0.015,0.017,0.013
"P02","Más de $300.000",0.056,0.038,0.022,0.024
"P03","Si, tengo",0.114,0.131,0.113,0.104
"P03","No, no tengo",0.886,0.869,0.887,0.896
"P04","Si",0.317,0.254,0.291,0.214
"P04","No",0.683,0.746,0.709,0.786
"P05","Si",0.191,0.141,0.155,0.105
"P05","No",0.809,0.859,0.845,0.895
"P06","Si",0.276,0.237,0.549,0.318
"P06","No",0.724,0.763,0.451,0.682
"P07","Si, lo tomaría",0.21,0.173,0.114,0.11
"P07","Probablemente si",0.283,0.291,0.271,0.222
"P07","Probablemente no",0.206,0.233,0.296,0.214
"P07","No. no lo tomaría",0.227,0.24,0.263,0.317
"P07","No sabe",0.074,0.063,0.056,0.137
"P08","Si",0.525,0.489,0.381,0.335
"P08","No",0.475,0.511,0.619,0.665
"P09","1",0.348,0.346,0.369,0.275
"P09","2",0.122,0.166,0.137,0.155
"P09","3",0.053,0.051,0.036,0.02
"P09","4",0.027,0.026,0.029,0.028
"P09","5",0.15,0.141,0.096,0.089
"P09","6",0.023,0.026,0.024,0.019
"P09","7",0.03,0.02,0.011,0.015
"P09","8",0.024,0.035,0.051,0.037
"P09","9",0.223,0.189,0.247,0.362
"P10","Muy convenientes",0.073,0.062,0.071,0.04
"P10","Bastante convenientes",0.059,0.049,0.037,0.029
"P10","Algo convenientes",0.117,0.142,0.095,0.048
"P10","Poco convenientes",0.22,0.204,0.217,0.201
"P10","Nada convenientes",0.393,0.379,0.356,0.437
"P10","No sabe",0.138,0.164,0.224,0.245
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.203,0.162,0.2,0.126
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.592,0.584,0.448,0.448
"P11","No sabe",0.205,0.254,0.352,0.426
"P12","Si",0.683,0.618,0.566,0.417
"P12","No",0.317,0.382,0.434,0.583
"P13","Banco Publico o cooperativo",0.513,0.539,0.582,0.515
"P13","Banco privado",0.424,0.381,0.323,0.325
"P13","No sabe",0.063,0.08,0.095,0.16
"P14","Banco Nacion",0.447,0.398,0.377,0.295
"P14","Banco Provincia",0.263,0.275,0.241,0.197
"P14","Banco Ciudad",0.039,0.043,0.029,0.051
"P14","Bancor, Banco de Cordoba",0.031,0.037,0.061,0.028
"P14","Nuevo Banco de Santa Fe",0.015,0.01,0,0.012
"P14","Credicoop",0.034,0.039,0.057,0.08
"P14","Otro",0.171,0.198,0.235,0.337
"P15","Santander",0.204,0.207,0.097,0.127
"P15","Galicia",0.214,0.233,0.338,0.183
"P15","Macro",0.098,0.112,0.107,0.21
"P15","Frances",0.129,0.106,0.046,0.05
"P15","ICBC",0.085,0.074,0.067,0.033
"P15","Patagonia",0.043,0.042,0.06,0.024
"P15","No sabe",0.227,0.226,0.285,0.373
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.329,0.276,0.169,0.07
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.446,0.362,0.317,0.253
"P16","No sabe",0.225,0.362,0.514,0.677
"P17","Porque son mas seguras",0.259,0.203,0.144,0.067
"P17","Porque los costos del servicio son menores",0.26,0.234,0.178,0.122
"P17","Porque tienen mas clientes adheridos",0.139,0.14,0.127,0.099
"P17","Porque la calidad de la aplicación",0.106,0.09,0.064,0.047
"P17","Por la calidad de la atención al cliente",0.03,0.03,0.045,0.028
"P17","Por la eficiencia en la solución de reclamos",0.028,0.021,0.017,0.017
"P17","No sabe",0.178,0.282,0.425,0.62
"P18","Si, las conozco",0.435,0.327,0.327,0.2
"P18","No, no las conozco",0.565,0.673,0.673,0.8
"P19","Si",0.644,0.404,0.346,0.175
"P19","No",0.356,0.596,0.654,0.825
"P20","MODO",0.23,0.173,0.196,0.139
"P20","Cuenta DNI",0.138,0.177,0.114,0.094
"P20","Mercado de Pago",0.465,0.41,0.446,0.495
"P20","Ualá",0.011,0.042,0.06,0.007
"P20","Brubank",0.022,0.029,0.013,0
"P20","Naranja X",0.017,0.019,0.044,0.053
"P20","Otra",0.117,0.15,0.127,0.212
"P21","Para pagar en comercios con el celular",0.436,0.389,0.349,0.297
"P21","Para transferir / enviar o recibir dinero de terceros",0.327,0.285,0.337,0.243
"P21","Para usarla para trabajar / cobrar / vender",0.123,0.158,0.172,0.292
"P21","Para pagar servicios",0.071,0.117,0.078,0.097
"P21","Para extraer dinero sin tarjeta",0.021,0.013,0.019,0.01
"P21","Para recargar el celular / tarjeta de transporte",0.022,0.038,0.045,0.061
"P22","Usas más efectivo que antes",0.109,0.113,0.078,0.124
"P22","Usas la misma cantidad de efectivo que antes",0.264,0.288,0.341,0.359
"P22","Usas menos efectivo que antes",0.627,0.599,0.581,0.517
"P23","Tener mayor control de tus gastos",0.492,0.33,0.272,0.343
"P23","Tener igual control de tus gastos",0.41,0.541,0.441,0.459
"P23","Tener menor control de tus gastos",0.098,0.129,0.287,0.198
