"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P01","Empleado en relación de dependencia",0.332,0.23,0.363,0.413,0.312,0.26,0.284,0.21,0.169
"P01","Jubilado o pensionado",0.094,0.236,0.156,0.195,0.281,0.215,0.279,0.246,0.276
"P01","Desempleado",0.133,0.242,0.157,0.069,0.105,0.302,0.224,0.372,0.2
"P01","Monotributista o autónomo",0.164,0.149,0.228,0.2,0.176,0.107,0.11,0.071,0.145
"P01","Empresario",0.215,0.032,0.034,0.034,0.026,0.013,0.012,0.006,0.007
"P01","Estudiante",0,0.056,0.02,0.038,0.052,0.027,0.019,0.021,0.062
"P01","Otro",0.062,0.055,0.042,0.051,0.048,0.076,0.072,0.074,0.141
"P02","Menos de $50.000 mensuales",0.232,0.488,0.3,0.198,0.257,0.522,0.488,0.6,0.496
"P02","Entre $50.000 y $100.000 mensuales",0.082,0.229,0.173,0.193,0.254,0.227,0.245,0.218,0.195
"P02","Entre $100.000 y $150.000 mensuales",0.063,0.068,0.133,0.228,0.223,0.143,0.149,0.123,0.125
"P02","Entre $150.000 y $200.000 mensuales",0.097,0.128,0.128,0.125,0.12,0.045,0.065,0.016,0.081
"P02","Entre $200.000 y $250.000 mensuales",0.046,0.011,0.086,0.099,0.064,0.02,0.02,0.011,0.014
"P02","Entre $250.000 y $300.000 mensuales",0.004,0,0.037,0.066,0.031,0.012,0.012,0.012,0.031
"P02","Más de $300.000",0.476,0.076,0.143,0.091,0.051,0.031,0.021,0.02,0.058
"P03","Si, tengo",0.027,0.08,0.098,0.127,0.108,0.14,0.125,0.132,0.1
"P03","No, no tengo",0.973,0.92,0.902,0.873,0.892,0.86,0.875,0.868,0.9
"P04","Si",0.591,0,0.357,0.321,0.263,0.213,0.219,0.238,0.092
"P04","No",0.409,1,0.643,0.679,0.737,0.787,0.781,0.762,0.908
"P05","Si",0.069,0.171,0.142,0.132,0.129,0.122,0.147,0.145,0.146
"P05","No",0.931,0.829,0.858,0.868,0.871,0.878,0.853,0.855,0.854
"P06","Si",0.115,0.255,0.273,0.301,0.249,0.28,0.278,0.242,0.401
"P06","No",0.885,0.745,0.727,0.699,0.751,0.72,0.722,0.758,0.599
"P07","Si, lo tomaría",0.169,0.097,0.222,0.193,0.158,0.157,0.168,0.125,0.114
"P07","Probablemente si",0.4,0.263,0.279,0.294,0.269,0.263,0.259,0.289,0.108
"P07","Probablemente no",0.085,0.121,0.22,0.185,0.26,0.232,0.25,0.252,0.264
"P07","No. no lo tomaría",0.327,0.32,0.2,0.256,0.26,0.258,0.259,0.255,0.318
"P07","No sabe",0.019,0.199,0.079,0.072,0.053,0.09,0.064,0.079,0.196
"P08","Si",0.672,0.452,0.617,0.651,0.608,0.347,0.447,0.308,0.306
"P08","No",0.328,0.548,0.383,0.349,0.392,0.653,0.553,0.692,0.694
"P09","1",0.263,0.351,0.353,0.321,0.344,0.284,0.329,0.323,0.251
"P09","2",0.088,0.133,0.132,0.087,0.129,0.167,0.142,0.172,0.147
"P09","3",0.034,0.129,0.067,0.073,0.06,0.036,0.036,0.04,0.053
"P09","4",0.049,0.028,0.024,0.045,0.039,0.021,0.023,0.02,0.01
"P09","5",0.267,0.172,0.131,0.153,0.165,0.125,0.134,0.111,0.194
"P09","6",0.014,0,0.041,0.047,0.03,0.024,0.031,0.02,0.013
"P09","7",0.01,0.014,0.025,0.033,0.022,0.014,0.028,0.017,0.044
"P09","8",0.078,0.042,0.035,0.05,0.038,0.026,0.042,0.023,0.039
"P09","9",0.197,0.131,0.192,0.191,0.173,0.303,0.235,0.274,0.249
"P10","Muy convenientes",0.131,0.045,0.086,0.041,0.043,0.07,0.061,0.082,0.007
"P10","Bastante convenientes",0.056,0.044,0.011,0.047,0.038,0.045,0.053,0.069,0.015
"P10","Algo convenientes",0.088,0.14,0.104,0.095,0.111,0.104,0.105,0.119,0.126
"P10","Poco convenientes",0.284,0.302,0.186,0.278,0.241,0.196,0.216,0.189,0.219
"P10","Nada convenientes",0.376,0.3,0.474,0.42,0.454,0.356,0.398,0.374,0.326
"P10","No sabe",0.065,0.169,0.139,0.119,0.113,0.229,0.167,0.167,0.307
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.221,0.119,0.274,0.287,0.211,0.151,0.168,0.168,0.134
