"var","categoria","Si","No"
"P02","Masculino",0.566,0.426
"P02","Femenino",0.356,0.513
"P02","No binario",0.078,0.061
"P03","Soltero o soltera",0.389,0.355
"P03","Casado o casada",0.403,0.427
"P03","En concubinato",0.208,0.218
"P04","No tengo hijos",0.317,0.242
"P04","Tengo 1 hijo",0.192,0.243
"P04","Tengo 2 hijos",0.204,0.266
"P04","Tengo 3 o más hijos",0.287,0.249
"P06","Tengo trabajo estable",0.636,0.544
"P06","Realizo changas o trabajos de vez en cuando",0.143,0.185
"P06","No tengo trabajo",0.088,0.154
"P06","Soy jubilado o pensionado",0.133,0.117
"P08","Hasta $70.000",0.296,0.385
"P08","De $70.000 a $140.000",0.161,0.244
"P08","De $140.000 a $210.000",0.166,0.153
"P08","De $210.000 a $280.000",0.096,0.073
"P08","De $280.000 a $350.000",0.085,0.045
"P08","De $350.000 a $420.000",0.018,0.031
"P08","De $420.000 a $490.000",0.022,0.017
"P08","Más de $490.000",0.156,0.052
"P09","Si, solicité",0.316,0.252
"P09","No, no solicité",0.684,0.748
"P10","No necesité un préstamo",0.341,0.225
"P10","Ya sabía que no cumplia las condiciones",0.219,0.28
"P10","Porque la tasa de interés es muy alta",0.318,0.372
"P10","Es un proceso engorroso con mucha burocrácia",0.059,0.066
"P10","Otro motivo",0.063,0.057
"P11","En un banco",0.813,0.702
"P11","En una financiera",0.057,0.085
"P11","En una fintech",0.006,0.006
"P11","En una red de finanzas colaborativas",0.002,0
"P11","Otro",0.122,0.207
"P12","De $25.000 a $300.000",0.409,0.492
"P12","De $300.000 a $500.000",0.133,0.15
"P12","De $500.000 a $800.000",0.07,0.077
"P12","De $800.000 a $1.500.000",0.143,0.077
"P12","De $1.500.000 a $3.000.000",0.137,0.109
"P12","De $3.000.000 a $5.000.000",0.01,0.026
"P12","Más de $5.000.000",0.098,0.069
"P13","No, no tuve ningún problema",0.806,0.832
"P13","Si, tuve scoring insuficiente",0.058,0.08
"P13","Si, porque estaba en el veraz",0.031,0.037
"P13","Si, porque la tasa de interés era muy alta",0.035,0.035
"P13","Si, porque no cumplía con la documentación solicitada",0.008,0.014
"P13","Otro problema",0.062,0.002
"P14","No, no sentí ningún trato diferencial",0.892,0.87
"P14","Si, sentí desconfianza",0.03,0.091
"P14","Si, sentí que hubo maltrato",0.002,0.001
"P14","Si, sentí que hubo una mala atención",0.042,0.03
"P14","Si, sentí que me subestimaron",0.034,0.005
"P14","Otro problema",0,0.003
"P15","Si",0.975,0.856
"P15","No",0.025,0.144
"P17","Si, recibí apoyo financiero",0.182,0.026
"P17","No, nunca recibí apoyo financiero",0.818,0.974
"P18","Menos de $1.500.000",0.396,0.419
"P18","de $1.500.000 a $3.000.000",0.28,0.297
"P18","de $3.000.000 a $5.000.000",0.102,0.106
"P18","Más de $5.000.000",0.222,0.178
