"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Siempre",0.258,0.146,0.145,0.125
"P06","Casi siempre",0.372,0.458,0.298,0.181
"P06","Casi nunca",0.275,0.34,0.455,0.512
"P06","Nunca, pero esta es una excepción",0.095,0.056,0.102,0.182
"P08","Unión por la Patria",0.333,0.297,0.274,0.1
"P08","Juntos por el Cambio",0.399,0.43,0.304,0.217
"P08","De los Liberales libertarios",0.067,0.079,0.119,0.245
"P08","De la Izquierda",0.029,0.04,0.041,0.032
"P08","Hacemos por nuestro país",0.073,0.046,0.033,0.075
"P08","Otro",0.023,0.023,0.056,0.025
"P08","En blanco",0.033,0.023,0.03,0.093
"P08","No sabe",0.043,0.062,0.143,0.213
"P10","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.439,0.395,0.365,0.086
"P10","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.43,0.486,0.357,0.236
"P10","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.025,0.023,0.07,0.106
"P10","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.018,0.028,0.052,0.084
"P10","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.008,0.009,0.008,0
"P10","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.014,0.022,0.007,0
"P10","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.011,0.006,0.003,0.011
"P10","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.034,0.021,0.029,0.058
"P10","A los candidatos de otros partidos políticos",0.011,0.008,0.03,0.041
"P10","No sabe",0.01,0.002,0.079,0.378
"P13","Tiene Decidido que va a ir a votar",0.971,0.818,0.922,0.75
"P13","Tiene dudas sobre si va a ir a  votar",0.029,0.182,0.078,0.25
"P14","Si",0.53,0.461,0.44,0.282
"P14","No",0.47,0.539,0.56,0.718
