"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.449,0.448,0.486
"P05","Bastante",0.308,0.171,0.269
"P05","Poco",0.191,0.292,0.193
"P05","Nada",0.037,0.05,0.052
"P05","No sabe",0.015,0.039,0
"P06","Siempre",0.273,0.154,0.174
"P06","Casi siempre",0.307,0.52,0.446
"P06","Casi nunca",0.291,0.23,0.341
"P06","Nunca, pero esta es una excepción",0.129,0.096,0.039
"P09","Frente chaqueño",0.328,0.204,0.369
"P09","Juntos por el cambio",0.379,0.471,0.232
"P09","Corriente de expresión renovada",0.041,0.035,0.163
"P09","Partido Integrador",0.02,0,0
"P09","La libertad avanza",0.138,0.03,0.069
"P09","Libertarios en acción",0.011,0.009,0
"P09","Frente unidos por la gente",0.003,0.013,0.069
"P09","En blanco",0.023,0.078,0.046
"P09","No sabe",0.057,0.16,0.052
"P11","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.416,0.519,0.408
"P11","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.38,0.214,0.384
"P11","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.043,0.019,0.046
"P11","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.025,0.015,0
"P11","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.073,0.012,0.069
"P11","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.005,0,0.052
"P11","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0,0,0.017
"P11","En blanco",0.02,0.078,0.024
"P11","No sabe",0.038,0.143,0
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.479,0.46,0.533
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.2,0.307,0.244
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.177,0.045,0.065
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.071,0.084,0
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.022,0.036,0.017
"P13","No sabe",0.051,0.068,0.141
"P14","Totalmente seguro.",0.751,0.401,0.234
"P14","Bastante seguro",0.141,0.395,0.27
"P14","Algo seguro",0.068,0.095,0.398
"P14","Para nada seguro",0.04,0.109,0.098
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.391,0.443,0.438
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.205,0.188,0.213
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.349,0.137,0.328
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.057,0
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.006,0.03,0.021
"P16","En blanco",0.005,0.084,0
"P16","No sabe",0.034,0.061,0
"P19","Si",0.543,0.428,0.503
"P19","No",0.457,0.572,0.497
"P11_imputada","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.429,0.595,0.408
"P11_imputada","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.394,0.255,0.384
"P11_imputada","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.043,0.019,0.046
"P11_imputada","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.03,0.015,0
"P11_imputada","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.075,0.012,0.069
"P11_imputada","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.005,0,0.052
"P11_imputada","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0.002,0,0.017
"P11_imputada","En blanco",0.022,0.104,0.024
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.409,0.474,0.438
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.208,0.202,0.213
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.361,0.143,0.328
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.057,0
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.006,0.03,0.021
"P16_imputada","En blanco",0.006,0.094,0
