"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P05","Mucho",0.489,0.535,0.425,0.133,0.36,0.572,0.233
"P05","Bastante",0.324,0.289,0.3,0.146,0.126,0.028,0.089
"P05","Poco",0.146,0.146,0.224,0.481,0.514,0.288,0.338
"P05","Nada",0.022,0.018,0.051,0.24,0,0.112,0.158
"P05","No sabe",0.019,0.012,0,0,0,0,0.182
"P06","Siempre",0.268,0.274,0.257,0.04,0.037,0.548,0.201
"P06","Casi siempre",0.355,0.377,0.341,0.064,0.437,0.24,0.232
"P06","Casi nunca",0.265,0.273,0.287,0.721,0.369,0.109,0.238
"P06","Nunca, pero esta es una excepción",0.112,0.076,0.115,0.175,0.157,0.103,0.329
"P09","Frente chaqueño",0.579,0.065,0.156,0.831,0.037,0.254,0.098
"P09","Juntos por el cambio",0.278,0.765,0.354,0,0.513,0.069,0.072
"P09","Corriente de expresión renovada",0.04,0.076,0.036,0.068,0,0.045,0
"P09","Partido Integrador",0.009,0.026,0.016,0.023,0,0,0.079
"P09","La libertad avanza",0.014,0.008,0.36,0,0.367,0,0
"P09","Libertarios en acción",0.003,0.03,0.009,0,0,0,0
"P09","Frente unidos por la gente",0.006,0.008,0,0.078,0.037,0,0.006
"P09","En blanco",0.019,0.005,0.032,0,0,0.102,0.184
"P09","No sabe",0.052,0.017,0.037,0,0.046,0.53,0.561
"P11","Jorge Capitanich a gobernador y Analia Rach a vicegobernador por Frente chaqueño",0.771,0.159,0.193,0.882,0.76,0.281,0.224
"P11","Leandro Zdero a gobernador y Silvina Schneider a vicegobernadora por Juntos por el cambio",0.125,0.717,0.472,0.04,0.067,0.041,0.243
"P11","Gustavo Martinez a gobernador y Lidia Viviam Piolini a vicegobernadora por Corriente de expresión renovada",0.043,0.036,0.048,0.055,0,0.045,0
"P11","Bassileff Ivanoff a gobernador y Picon Cesar a vicegobernador por el Partido Integrador",0.019,0.03,0.023,0.023,0.083,0,0.021
"P11","Alfredo Rodríguez a gobernador y Llena Aguirre a vicegobernadora por la libertad avanza",0.004,0.033,0.181,0,0,0,0
"P11","Rubén Galassi a gobernador y Marta Kassor a vicegobernador por libertarios en acción",0.005,0.004,0.008,0,0,0,0
"P11","Domingo Peppo a gobernador y Nicolas Matta a vicegobernador por el frente unidos por la gente",0,0,0,0,0.044,0,0.006
"P11","En blanco",0.009,0.003,0.041,0,0,0.263,0
"P11","No sabe",0.024,0.018,0.034,0,0.046,0.37,0.506
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.308,0.592,0.63,0.267,0.39,0.357,0.439
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.269,0.199,0.163,0.28,0.037,0.042,0.195
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.264,0.12,0.071,0.271,0.037,0.045,0.022
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.09,0.05,0.06,0.065,0.446,0,0.09
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.016,0.002,0.038,0.078,0.044,0.253,0
"P13","No sabe",0.053,0.037,0.038,0.039,0.046,0.303,0.254
"P14","Totalmente seguro.",0.707,0.734,0.711,0.708,0.865,0.725,0.365
"P14","Bastante seguro",0.193,0.163,0.165,0.226,0.045,0.24,0.122
"P14","Algo seguro",0.058,0.087,0.071,0.027,0.044,0,0.173
"P14","Para nada seguro",0.042,0.016,0.053,0.039,0.046,0.035,0.34
"P15","Tiene Decidido que va a ir a votar.",0.835,0.86,0.924,0.544,0.556,0.298,0.79
"P15","Tiene dudas sobre si va a ir a  votar",0.142,0.118,0.055,0.456,0.4,0.702,0.21
"P15","Tiene Decidido que no va a ir a votar",0.023,0.022,0.021,0,0.044,0,0
"P19","Si",0.646,0.466,0.46,0.496,0.761,0.315,0.4
"P19","No",0.354,0.534,0.54,0.504,0.239,0.685,0.6
