"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P09","Siempre",0.373,0.406,0.202,0.279,0.226,0.185
"P09","Casi siempre",0.37,0.321,0.371,0.354,0.307,0.251
"P09","Casi nunca",0.204,0.193,0.296,0.269,0.242,0.368
"P09","Nunca, pero esta es una excepción",0.053,0.08,0.131,0.098,0.225,0.196
"P10","Camau Espinola por Unión por la patria",0.079,0.044,0.137,0.081,0.138,0.117
"P10","German Brailard por Unión por la patria",0.071,0.028,0.027,0.05,0.089,0.048
"P10","Juan Pablo Valdes por Juntos por el cambio",0.241,0.34,0.206,0.246,0.137,0.189
"P10","Eduardo Tassano por Juntos por el cambio",0.224,0.125,0.054,0.004,0.027,0.029
"P10","Pitin Aragon por Unión por la patria",0.104,0.052,0.052,0.115,0.054,0.028
"P10","Tincho Ascua por Unión por la patria",0.006,0.024,0.082,0.049,0.068,0.043
"P10","Emiliano Fernandez por Unión por la patria",0.029,0.028,0.05,0.039,0.015,0.021
"P10","Ricardo Colombi por Juntos por el cambio",0.147,0.227,0.177,0.172,0.137,0.115
"P10","Noelia Bassi por Juntos por el cambio",0.032,0.04,0.039,0.061,0.018,0.024
"P10","No sabe",0.067,0.092,0.176,0.183,0.317,0.386
"P14","Lo votaría",0.137,0.135,0.177,0.19,0.094,0.106
"P14","Puede que lo vote",0.185,0.161,0.225,0.155,0.2,0.189
"P14","Nunca lo votaría",0.67,0.625,0.429,0.588,0.669,0.208
"P14","No sabe",0.008,0.079,0.169,0.067,0.037,0.497
"P15","Lo votaría",0.176,0.099,0.095,0.062,0.095,0.044
"P15","Puede que lo vote",0.215,0.293,0.274,0.138,0.205,0.188
"P15","Nunca lo votaría",0.52,0.54,0.437,0.652,0.669,0.2
"P15","No sabe",0.089,0.068,0.194,0.148,0.031,0.568
"P16","Lo votaría",0.419,0.414,0.249,0.181,0.101,0.18
"P16","Puede que lo vote",0.272,0.244,0.225,0.186,0.205,0.256
"P16","Nunca lo votaría",0.217,0.211,0.35,0.528,0.58,0.17
"P16","No sabe",0.092,0.131,0.176,0.105,0.114,0.394
"P17","Lo votaría",0.543,0.216,0.061,0.077,0.009,0.066
"P17","Puede que lo vote",0.268,0.427,0.306,0.065,0.064,0.229
"P17","Nunca lo votaría",0.131,0.255,0.442,0.769,0.85,0.229
"P17","No sabe",0.058,0.102,0.191,0.089,0.077,0.476
"P18","Lo votaría",0.118,0.071,0.031,0.071,0.044,0.047
"P18","Puede que lo vote",0.191,0.213,0.273,0.116,0.092,0.151
"P18","Nunca lo votaría",0.58,0.588,0.478,0.696,0.785,0.15
"P18","No sabe",0.111,0.128,0.218,0.117,0.079,0.652
"P19","Lo votaría",0.106,0.082,0.083,0.074,0.02,0.045
"P19","Puede que lo vote",0.143,0.15,0.228,0.148,0.137,0.211
"P19","Nunca lo votaría",0.682,0.591,0.485,0.675,0.768,0.17
"P19","No sabe",0.069,0.177,0.204,0.103,0.075,0.574
"P20","Lo votaría",0.193,0.076,0.066,0.043,0.026,0
"P20","Puede que lo vote",0.064,0.195,0.178,0.087,0.062,0.124
"P20","Nunca lo votaría",0.613,0.556,0.505,0.711,0.716,0.226
"P20","No sabe",0.13,0.173,0.251,0.159,0.196,0.65
"P21","Lo votaría",0.381,0.375,0.215,0.166,0.19,0.183
"P21","Puede que lo vote",0.198,0.225,0.238,0.138,0.062,0.131
"P21","Nunca lo votaría",0.318,0.33,0.385,0.628,0.707,0.215
"P21","No sabe",0.103,0.07,0.162,0.068,0.041,0.471
"P22","Lo votaría",0.216,0.202,0.09,0.129,0.078,0.07
"P22","Puede que lo vote",0.31,0.272,0.233,0.087,0.171,0.137
"P22","Nunca lo votaría",0.35,0.372,0.452,0.617,0.549,0.166
"P22","No sabe",0.124,0.154,0.225,0.167,0.202,0.627
"P23","Muy buena",0.267,0.158,0.069,0.092,0.055,0.015
"P23","Buena",0.333,0.341,0.261,0.155,0.228,0.147
"P23","Ni buena ni mala",0.323,0.375,0.386,0.391,0.222,0.379
"P23","Mala",0.074,0.11,0.205,0.342,0.232,0.352
"P23","Muy mala",0,0.015,0.068,0.02,0.263,0.075
"P23","No sabe",0.003,0.001,0.011,0,0,0.032
"P24","Muy buena",0.181,0.152,0.062,0.072,0.066,0.033
"P24","Buena",0.447,0.28,0.215,0.207,0.124,0.262
"P24","Ni buena ni mala",0.263,0.382,0.494,0.328,0.25,0.419
"P24","Mala",0.08,0.171,0.173,0.33,0.347,0.166
"P24","Muy mala",0,0.015,0.05,0.063,0.213,0.069
"P24","No sabe",0.029,0,0.006,0,0,0.051
"P25","El gobierno nacional",0.447,0.326,0.26,0.255,0.06,0.181
"P25","El gobierno provincial",0.261,0.289,0.384,0.52,0.796,0.334
"P25","No sabe",0.292,0.385,0.356,0.225,0.144,0.485
"P26","El gobierno nacional",0.316,0.141,0.144,0.119,0.033,0.013
"P26","El gobierno provincial",0.197,0.321,0.459,0.599,0.731,0.344
"P26","No sabe",0.487,0.538,0.397,0.282,0.236,0.643
"P27","Muy buena",0.699,0.469,0.31,0.241,0.144,0.167
"P27","Buena",0.134,0.271,0.259,0.206,0.215,0.267
"P27","Ni buena ni mala",0.1,0.192,0.353,0.269,0.222,0.393
"P27","Mala",0.064,0.063,0.057,0.25,0.199,0.035
"P27","Muy mala",0.003,0.005,0.02,0.034,0.22,0.047
"P27","No sabe",0,0,0.001,0,0,0.091
"P28","Muy buena",0.194,0.108,0.062,0.022,0.068,0.033
"P28","Buena",0.267,0.297,0.101,0.075,0.098,0.096
"P28","Ni buena ni mala",0.208,0.306,0.661,0.336,0.134,0.292
"P28","Mala",0.268,0.241,0.115,0.517,0.309,0.093
"P28","Muy mala",0.063,0.041,0.05,0.03,0.391,0.043
"P28","No sabe",0,0.007,0.011,0.02,0,0.443
"P29","Muy buena",0.196,0.066,0.049,0.049,0.085,0
"P29","Buena",0.277,0.281,0.104,0.094,0.153,0.043
"P29","Ni buena ni mala",0.264,0.381,0.687,0.311,0.178,0.243
"P29","Mala",0.22,0.181,0.114,0.5,0.141,0.064
"P29","Muy mala",0.039,0.034,0.024,0.02,0.418,0.012
"P29","No sabe",0.004,0.057,0.022,0.026,0.025,0.638
"P30","Muy buena",0.094,0.036,0.028,0.059,0.028,0
"P30","Buena",0.226,0.151,0.064,0.09,0.139,0.052
"P30","Ni buena ni mala",0.231,0.453,0.733,0.211,0.245,0.21
"P30","Mala",0.281,0.191,0.097,0.573,0.134,0
"P30","Muy mala",0.075,0.091,0.048,0.022,0.423,0
"P30","No sabe",0.093,0.078,0.03,0.045,0.031,0.738
"P31","Muy buena",0.092,0.03,0.064,0.092,0.005,0.009
"P31","Buena",0.138,0.186,0.08,0.075,0.068,0.078
"P31","Ni buena ni mala",0.379,0.452,0.679,0.255,0.266,0.151
"P31","Mala",0.245,0.201,0.093,0.48,0.184,0.016
"P31","Muy mala",0.028,0.061,0.04,0.017,0.397,0
"P31","No sabe",0.118,0.07,0.044,0.081,0.08,0.746
"P32","Muy buena",0.239,0.055,0.054,0.068,0.026,0
"P32","Buena",0.043,0.224,0.043,0.052,0.005,0.014
"P32","Ni buena ni mala",0.322,0.426,0.76,0.24,0.329,0.053
"P32","Mala",0.265,0.152,0.074,0.536,0.098,0.008
"P32","Muy mala",0.014,0.052,0.018,0.004,0.436,0.029
"P32","No sabe",0.117,0.091,0.051,0.1,0.106,0.896
"P34","Muy buena",0.498,0.296,0.14,0.13,0.191,0.088
"P34","Buena",0.229,0.348,0.135,0.155,0.068,0.062
"P34","Ni buena ni mala",0.109,0.191,0.561,0.184,0.057,0.266
"P34","Mala",0.102,0.119,0.121,0.504,0.131,0.122
"P34","Muy mala",0.054,0.046,0.036,0.027,0.548,0.061
"P34","No sabe",0.008,0,0.007,0,0.005,0.401
"P35","Muy buena",0.187,0.128,0.046,0.124,0.09,0.021
"P35","Buena",0.228,0.299,0.091,0.036,0.036,0.081
"P35","Ni buena ni mala",0.277,0.406,0.715,0.284,0.255,0.126
"P35","Mala",0.132,0.064,0.08,0.48,0.091,0.038
"P35","Muy mala",0.051,0.021,0.033,0.011,0.444,0
"P35","No sabe",0.125,0.082,0.035,0.065,0.084,0.734
"P36","Muy buena",0.195,0.218,0.196,0.204,0.229,0.107
"P36","Buena",0.064,0.127,0.113,0.095,0.041,0.092
"P36","Ni buena ni mala",0.208,0.162,0.338,0.084,0.118,0.117
"P36","Mala",0.249,0.274,0.202,0.409,0.004,0.095
"P36","Muy mala",0.247,0.206,0.136,0.202,0.576,0.255
"P36","No sabe",0.037,0.013,0.015,0.006,0.032,0.334
"P37","Muy buena",0.302,0.193,0.124,0.123,0.137,0.106
"P37","Buena",0.266,0.27,0.192,0.165,0.341,0.075
"P37","Ni buena ni mala",0.22,0.284,0.337,0.178,0.058,0.105
"P37","Mala",0.116,0.159,0.233,0.375,0.014,0.211
"P37","Muy mala",0.059,0.06,0.103,0.148,0.45,0.296
"P37","No sabe",0.037,0.034,0.011,0.011,0,0.207
"P38","Muy buena",0.215,0.155,0.158,0.143,0.047,0.16
"P38","Buena",0.102,0.166,0.138,0.117,0.15,0.098
"P38","Ni buena ni mala",0.204,0.108,0.262,0.074,0.108,0.089
"P38","Mala",0.233,0.281,0.252,0.41,0.12,0.12
"P38","Muy mala",0.233,0.29,0.184,0.245,0.575,0.344
"P38","No sabe",0.013,0,0.006,0.011,0,0.189
"P39","Muy buena",0.375,0.275,0.279,0.277,0.172,0.135
"P39","Buena",0.19,0.303,0.152,0.148,0.136,0.106
"P39","Ni buena ni mala",0.225,0.19,0.248,0.133,0.142,0.232
"P39","Mala",0.112,0.094,0.174,0.27,0.158,0.15
"P39","Muy mala",0.098,0.136,0.14,0.169,0.387,0.26
"P39","No sabe",0,0.002,0.007,0.003,0.005,0.117
"P40","Muy buena",0.494,0.377,0.269,0.217,0.32,0.213
"P40","Buena",0.117,0.355,0.2,0.28,0.117,0.122
"P40","Ni buena ni mala",0.164,0.078,0.247,0.135,0.049,0.23
"P40","Mala",0.102,0.084,0.154,0.202,0.05,0.177
"P40","Muy mala",0.091,0.104,0.119,0.162,0.464,0.137
"P40","No sabe",0.032,0.002,0.011,0.004,0,0.121
