"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P09","Siempre",0.35,0.177,0.273,0.073
"P09","Casi siempre",0.303,0.339,0.373,0.288
"P09","Casi nunca",0.227,0.339,0.254,0.356
"P09","Nunca, pero esta es una excepción",0.12,0.145,0.1,0.283
"P10","Camau Espinola por Unión por la patria",0.163,0.145,0.056,0.068
"P10","German Brailard por Unión por la patria",0.045,0.042,0.032,0.126
"P10","Juan Pablo Valdes por Juntos por el cambio",0.161,0.214,0.286,0.171
"P10","Eduardo Tassano por Juntos por el cambio",0.068,0.069,0.071,0.015
"P10","Pitin Aragon por Unión por la patria",0.12,0.071,0.034,0.012
"P10","Tincho Ascua por Unión por la patria",0.091,0.052,0.035,0.019
"P10","Emiliano Fernandez por Unión por la patria",0.076,0.045,0.017,0
"P10","Ricardo Colombi por Juntos por el cambio",0.142,0.194,0.173,0.208
"P10","Noelia Bassi por Juntos por el cambio",0.015,0.03,0.068,0
"P10","No sabe",0.119,0.138,0.228,0.381
"P14","Lo votaría",0.353,0.131,0.054,0.118
"P14","Puede que lo vote",0.289,0.268,0.074,0.28
"P14","Nunca lo votaría",0.233,0.38,0.774,0.243
"P14","No sabe",0.125,0.221,0.098,0.359
"P15","Lo votaría",0.14,0.092,0.073,0.004
"P15","Puede que lo vote",0.382,0.207,0.135,0.349
"P15","Nunca lo votaría",0.315,0.442,0.667,0.162
"P15","No sabe",0.163,0.259,0.125,0.485
"P16","Lo votaría",0.192,0.311,0.294,0.169
"P16","Puede que lo vote",0.236,0.209,0.218,0.271
"P16","Nunca lo votaría",0.429,0.283,0.35,0.156
"P16","No sabe",0.143,0.197,0.138,0.404
"P17","Lo votaría",0.095,0.133,0.16,0.064
"P17","Puede que lo vote",0.265,0.24,0.233,0.339
"P17","Nunca lo votaría",0.453,0.413,0.5,0.197
"P17","No sabe",0.187,0.214,0.107,0.4
"P18","Lo votaría",0.108,0.055,0.018,0.036
"P18","Puede que lo vote",0.346,0.246,0.085,0.183
"P18","Nunca lo votaría",0.352,0.463,0.737,0.22
"P18","No sabe",0.194,0.236,0.16,0.561
"P19","Lo votaría",0.153,0.026,0.038,0.036
"P19","Puede que lo vote",0.35,0.207,0.062,0.255
"P19","Nunca lo votaría",0.302,0.563,0.746,0.22
"P19","No sabe",0.195,0.204,0.154,0.489
"P20","Lo votaría",0.137,0.061,0.027,0.036
"P20","Puede que lo vote",0.235,0.155,0.058,0.184
"P20","Nunca lo votaría",0.365,0.513,0.738,0.201
"P20","No sabe",0.263,0.271,0.177,0.579
"P21","Lo votaría",0.248,0.209,0.252,0.222
"P21","Puede que lo vote",0.207,0.207,0.166,0.203
"P21","Nunca lo votaría",0.395,0.382,0.482,0.214
"P21","No sabe",0.15,0.202,0.1,0.361
"P22","Lo votaría",0.152,0.073,0.13,0.114
