"var","categoria","Si","No"
"P05","Mucho",0.468,0.346
"P05","Bastante",0.265,0.291
"P05","Poco",0.133,0.191
"P05","Nada",0.104,0.145
"P05","No sabe",0.03,0.027
"P06","Siempre",0.358,0.2
"P06","Casi siempre",0.351,0.316
"P06","Casi nunca",0.19,0.335
"P06","Nunca, pero esta es una excepción",0.101,0.149
"P07","Tiene Decidido que va a ir a votar",0.837,0.772
"P07","Tiene dudas sobre si va a ir a  votar",0.101,0.143
"P07","Tiene Decidido que no va a ir a votar",0.062,0.085
"P09","Unión por la Patria",0.281,0.252
"P09","Juntos por el Cambio",0.356,0.347
"P09","De los Liberales libertarios",0.2,0.206
"P09","De la Izquierda",0.039,0.018
"P09","Hacemos por nuestro país",0.002,0.008
"P09","Otro",0.036,0.047
"P09","En blanco",0.031,0.04
"P09","No sabe",0.055,0.082
"P12","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.256,0.243
"P12","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora por Unión por la Patria",0.12,0.083
"P12","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.249,0.216
"P12","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.083,0.113
"P12","Pedro Galimberti a gobernador y Ana D´Angelo a vicegobernadora por Juntos por el Cambio",0.053,0.05
"P12","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.161,0.178
"P12","A los candidatos a presidente, vicepresidente, gobernador y vicegobernador  del Frente de Izquierda",0.007,0.008
"P12","Otro",0.035,0.038
"P12","En blanco",0.005,0.016
"P12","No sabe",0.031,0.055
"P15","Totalmente seguro",0.629,0.616
"P15","Bastante seguro",0.158,0.15
"P15","Algo seguro",0.1,0.104
"P15","Para nada seguro",0.113,0.13
"P16","La votaría",0.387,0.317
"P16","Puede que la vote",0.105,0.104
"P16","Nunca la votaría",0.452,0.48
"P16","No sabe",0.056,0.099
"P17","La votaría",0.186,0.154
"P17","Puede que la vote",0.131,0.117
"P17","Nunca la votaría",0.619,0.611
"P17","No sabe",0.064,0.118
"P18","La votaría",0.26,0.235
"P18","Puede que la vote",0.179,0.182
"P18","Nunca la votaría",0.503,0.501
"P18","No sabe",0.058,0.082
"P19","La votaría",0.217,0.196
"P19","Puede que la vote",0.196,0.2
"P19","Nunca la votaría",0.529,0.512
"P19","No sabe",0.058,0.092
"P20","La votaría",0.242,0.196
"P20","Puede que la vote",0.117,0.15
"P20","Nunca la votaría",0.601,0.554
"P20","No sabe",0.04,0.1
"P21","La votaría",0.167,0.087
"P21","Puede que la vote",0.111,0.162
"P21","Nunca la votaría",0.625,0.607
"P21","No sabe",0.097,0.144
"PRESIDENTE","Sergio Massa a presidente, Agustín Rossi a vicepresidente por Unión por la Patria",0.26,0.248
"PRESIDENTE","Juan Grabois a presidente, Paula Abal Medina a vicepresidenta por Unión por la Patria",0.124,0.089
"PRESIDENTE","Patricia Bullrich a presidenta, Luis Petri a vicepresidente por Juntos por el Cambio",0.278,0.237
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Gerardo Morales a vicepresidente por Juntos por el Cambio",0.091,0.124
"PRESIDENTE","Javier Milei a presidente, Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.169,0.185
"PRESIDENTE","A los candidatos a presidente, vicepresidente del Frente de Izquierda",0.007,0.008
"PRESIDENTE","Otro",0.035,0.038
"PRESIDENTE","En blanco",0.005,0.016
"PRESIDENTE","No sabe",0.031,0.055
