"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.424,0.111,0.06,0.113,0.223
"P06","Casi siempre",0.215,0.419,0.153,0.167,0.212
"P06","Casi nunca",0.257,0.293,0.54,0.251,0.362
"P06","Nunca, pero esta es una excepción",0.104,0.177,0.247,0.469,0.203
"P10","Unidos para Cambiar misiones",0.337,0.23,0.173,0.134,0.193
"P10","Juntos Avancemos",0.322,0.29,0.225,0.318,0.105
"P10","De los liberales libertarios",0.22,0.311,0.313,0.101,0.402
"P10","De la Izquierda",0.033,0.024,0.034,0.023,0
"P10","Hacemos por nuestro país",0.006,0.023,0.041,0.027,0.04
"P10","En blanco",0.037,0.032,0.11,0.088,0.03
"P10","No sabe",0.045,0.09,0.104,0.309,0.23
"P13","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.403,0.29,0.193,0.191,0.146
"P13","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.27,0.252,0.229,0.209,0.296
"P13","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.26,0.338,0.356,0.221,0.374
"P13","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.021,0.017,0.039,0.062,0.057
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.023,0.048,0.021,0.018
"P13","En blanco",0.017,0.015,0.057,0.069,0.031
"P13","No sabe",0.021,0.065,0.078,0.227,0.078
"P16","Si",0.462,0.577,0.496,0.54,0.529
"P16","No",0.538,0.423,0.504,0.46,0.471
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.358,0.23,0.19,0.2,0.511
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.273,0.214,0.108,0.306,0.139
"P17","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.292,0.504,0.628,0.322,0.35
"P17","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.009,0,0.018,0,0
"P17","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.01,0,0,0
"P17","En blanco",0.02,0.023,0.009,0,0
"P17","No sabe",0.045,0.019,0.047,0.172,0
"P20","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.396,0.253,0.148,0.308,0.073
"P20","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.418,0.572,0.237,0.453,0.493
"P20","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.108,0.081,0.52,0.128,0.026
"P20","En blanco",0.019,0.043,0.057,0,0.241
"P20","No sabe",0.059,0.051,0.038,0.111,0.167
"P23","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.363,0.372,0.5,0.448,0.217
