"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.171,0.156,0.399,0.148
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.353,0.188,0.109,0.146
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.437,0.47,0.099,0.267
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.023,0.137,0.201,0.186
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.001,0.01,0.049,0.041
"P05","En blanco",0.001,0.009,0.047,0.006
"P05","No sabe",0.014,0.03,0.096,0.206
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.072,0.057,0.404,0.069
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.341,0.205,0.038,0.155
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.498,0.515,0.093,0.243
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.073,0.175,0.238,0.264
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.004,0.012,0.06,0.038
"P06","En blanco",0.005,0.01,0.055,0.026
"P06","No sabe",0.007,0.026,0.112,0.205
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.064,0.051,0.439,0.074
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.365,0.154,0.022,0.123
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.514,0.55,0.117,0.266
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.051,0.172,0.235,0.242
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.001,0.013,0.046,0.039
"P07","En blanco",0.002,0.016,0.049,0.018
"P07","No sabe",0.003,0.044,0.092,0.238
"P08","Los votaría",0.572,0.422,0.136,0.221
"P08","Puede que los vote",0.225,0.355,0.105,0.205
"P08","Nunca los votaría",0.165,0.18,0.704,0.169
"P08","No sabe",0.038,0.043,0.055,0.405
"P09","Los votaría",0.663,0.247,0.052,0.148
"P09","Puede que los vote",0.218,0.575,0.051,0.253
"P09","Nunca los votaría",0.089,0.124,0.862,0.156
"P09","No sabe",0.03,0.054,0.035,0.443
"P10","Los votaría",0.575,0.386,0.079,0.172
"P10","Puede que los vote",0.245,0.389,0.103,0.205
"P10","Nunca los votaría",0.136,0.154,0.774,0.139
"P10","No sabe",0.044,0.071,0.044,0.484
"P11","Los votaría",0.145,0.077,0.242,0.052
"P11","Puede que los vote",0.049,0.099,0.202,0.074
"P11","Nunca los votaría",0.783,0.799,0.503,0.578
"P11","No sabe",0.023,0.025,0.053,0.296
"P12","Los votaría",0.581,0.426,0.125,0.182
"P12","Puede que los vote",0.189,0.341,0.107,0.203
"P12","Nunca los votaría",0.19,0.217,0.747,0.186
"P12","No sabe",0.04,0.016,0.021,0.429
"P13","Los votaría",0.641,0.226,0.049,0.091
"P13","Puede que los vote",0.248,0.613,0.07,0.387
"P13","Nunca los votaría",0.101,0.124,0.864,0.071
"P13","No sabe",0.01,0.037,0.017,0.451
"P14","Los votaría",0.559,0.3,0.047,0.091
"P14","Puede que los vote",0.247,0.46,0.109,0.21
