"var","categoria","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos","Javier Milei presidente - José Luis Espert gobernador por los liberales","A los candidatos de la izquierda","Otros candidatos"
"P05","Tengo trabajo estable",0.378,0.481,0.482,0.374,0.55,0.608,0.555,0.515,0.531
"P05","Realizo changas o trabajos de vez en cuando",0.197,0.144,0.134,0.234,0.167,0.153,0.215,0.303,0.174
"P05","No tengo trabajo",0.14,0.189,0.156,0.223,0.096,0.075,0.141,0.068,0.13
"P05","Soy jubilado o pensionado",0.285,0.186,0.228,0.169,0.187,0.164,0.089,0.114,0.165
"P06","1",0.404,0.272,0.351,0.351,0.152,0.303,0.437,0.167,0.184
"P06","2",0.06,0.102,0.057,0.016,0.048,0.046,0.088,0.062,0.042
"P06","3",0.064,0.053,0.098,0.03,0.02,0.075,0.093,0.008,0.039
"P06","4",0.087,0.096,0.091,0.048,0.034,0.05,0.06,0.012,0.12
"P06","5",0.168,0.31,0.21,0.248,0.147,0.184,0.177,0.144,0.377
"P06","6",0.038,0.038,0.022,0.03,0.067,0.054,0.034,0.025,0.062
"P06","7",0.026,0.031,0.049,0.052,0.165,0.066,0.014,0.172,0.05
"P06","8",0.041,0.024,0.029,0.015,0.087,0.051,0.013,0.046,0.04
"P06","9",0.112,0.074,0.093,0.21,0.28,0.171,0.084,0.364,0.086
"P07","1",0.191,0.168,0.189,0.339,0.522,0.368,0.158,0.255,0.153
"P07","2",0.039,0.04,0.026,0.092,0.071,0.031,0.04,0.056,0.077
"P07","3",0.032,0.033,0.021,0.01,0.06,0.04,0.015,0.013,0.03
"P07","4",0.028,0.085,0.019,0.021,0.039,0.026,0.017,0.149,0.102
"P07","5",0.187,0.272,0.233,0.21,0.132,0.202,0.122,0.207,0.331
"P07","6",0.052,0.097,0.056,0.028,0.024,0.04,0.035,0.033,0.054
"P07","7",0.067,0.073,0.087,0.041,0.04,0.042,0.113,0.058,0.043
"P07","8",0.068,0.053,0.097,0.05,0.021,0.049,0.109,0.007,0.045
"P07","9",0.336,0.179,0.272,0.209,0.091,0.202,0.391,0.222,0.165
