"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P05","Tengo trabajo estable",0.552,0.516,0.466,0.561,0.566,0.491
"P05","Realizo changas o trabajos de vez en cuando",0.191,0.119,0.175,0.138,0.142,0.255
"P05","No tengo trabajo",0.083,0.052,0.135,0.079,0.124,0.126
"P05","Soy jubilado o pensionado",0.174,0.313,0.224,0.222,0.168,0.128
"P06","1",0.38,0.287,0.338,0.279,0.242,0.312
"P06","2",0.08,0.062,0.073,0.044,0.051,0.04
"P06","3",0.013,0.062,0.075,0.053,0.034,0.067
"P06","4",0.034,0.094,0.08,0.087,0.038,0.06
"P06","5",0.241,0.264,0.222,0.162,0.15,0.267
"P06","6",0.079,0.074,0.047,0.06,0.046,0.055
"P06","7",0.031,0.075,0.04,0.121,0.14,0.037
"P06","8",0.039,0.021,0.028,0.034,0.073,0.032
"P06","9",0.103,0.061,0.097,0.16,0.226,0.13
"P07","1",0.25,0.156,0.184,0.262,0.395,0.288
"P07","2",0.038,0.053,0.031,0.04,0.075,0.049
"P07","3",0.009,0.035,0.047,0.027,0.04,0.003
"P07","4",0.015,0.034,0.048,0.058,0.02,0.047
"P07","5",0.283,0.213,0.24,0.156,0.111,0.172
"P07","6",0.066,0.107,0.054,0.052,0.023,0.077
"P07","7",0.049,0.087,0.078,0.11,0.05,0.072
"P07","8",0.089,0.08,0.079,0.055,0.073,0.061
"P07","9",0.201,0.235,0.239,0.24,0.213,0.231
"P08","1",0.265,0.235,0.306,0.41,0.519,0.251
"P08","2",0.024,0.025,0.023,0.021,0.035,0.042
"P08","3",0.056,0.02,0.032,0.03,0.028,0.045
"P08","4",0.035,0.018,0.025,0.051,0.014,0.035
"P08","5",0.158,0.146,0.15,0.115,0.083,0.152
"P08","6",0.016,0.035,0.021,0.013,0.011,0.011
"P08","7",0.011,0.046,0.041,0.049,0.021,0.044
"P08","8",0.017,0.028,0.058,0.036,0.014,0.049
"P08","9",0.418,0.447,0.344,0.275,0.275,0.371
"P10","Del Frente de Todos y el peronismo",0.133,0.102,0.198,0.372,0.573,0.237
"P10","De Cambiemos",0.545,0.674,0.434,0.294,0.177,0.293
"P10","De los Liberales libertarios",0.225,0.128,0.215,0.221,0.168,0.206
"P10","De la Izquierda",0.009,0.012,0.024,0.029,0.021,0.036
"P10","No sabe",0.088,0.084,0.129,0.084,0.061,0.228
"P11","A Alberto Fernández",0.039,0.129,0.125,0.138,0.073,0.309
"P11","A Sergio Massa",0.452,0.514,0.431,0.312,0.131,0.309
"P11","A algún candidato del peronismo",0.176,0.156,0.139,0.108,0.088,0.084
"P11","A algún candidato del kirchnerismo",0.333,0.201,0.305,0.442,0.708,0.298
"P12","A Alberto Fernández",0.063,0.087,0.1,0.06,0.026,0.041
"P12","A Sergio Massa",0.334,0.442,0.217,0.083,0.051,0.133
"P12","A algún candidato del peronismo",0.128,0.151,0.133,0.143,0.071,0.123
"P12","A Cristina Fernández de Kirchner",0.475,0.32,0.55,0.714,0.852,0.703
"P13","A Horacio Rodriguez Larreta",0.249,0.308,0.277,0.185,0.195,0.367
"P13","A Mauricio Macri",0.131,0.186,0.307,0.354,0.464,0.22
"P13","A Patricia Bullrich",0.453,0.403,0.377,0.455,0.298,0.351
"P13","A Facundo Manes",0.077,0.07,0.037,0.006,0.036,0.062
"P13","A Gerardo Morales",0.09,0.033,0.002,0,0.007,0
"P14","Seguro lo votaria",0.237,0.16,0.133,0.049,0.191,0.167
"P14","Quizás lo votaría",0.217,0.373,0.396,0.386,0.275,0.327
"P14","Nunca lo votaría",0.546,0.467,0.471,0.565,0.534,0.506
"P15","Lo votaría",0.175,0.092,0.148,0.314,0.538,0.24
"P15","Puede que lo vote",0.053,0.063,0.053,0.07,0.037,0.058
"P15","Nunca lo votaría",0.728,0.813,0.717,0.593,0.383,0.583
"P15","No sabe",0.044,0.032,0.082,0.023,0.042,0.119
"P16","Lo votaría",0.1,0.052,0.075,0.15,0.194,0.116
"P16","Puede que lo vote",0.134,0.09,0.141,0.2,0.318,0.131
"P16","Nunca lo votaría",0.705,0.817,0.702,0.589,0.401,0.577
"P16","No sabe",0.061,0.041,0.082,0.061,0.087,0.176
"P17","Lo votaría",0.391,0.392,0.247,0.114,0.089,0.167
"P17","Puede que lo vote",0.326,0.367,0.349,0.271,0.142,0.257
"P17","Nunca lo votaría",0.241,0.197,0.318,0.552,0.739,0.384
"P17","No sabe",0.042,0.044,0.086,0.063,0.03,0.192
"P18","Lo votaría",0.383,0.327,0.213,0.132,0.063,0.074
"P18","Puede que lo vote",0.275,0.398,0.303,0.219,0.126,0.186
"P18","Nunca lo votaría",0.266,0.216,0.352,0.577,0.755,0.382
"P18","No sabe",0.076,0.059,0.132,0.072,0.056,0.358
"P19","Lo votaría",0.17,0.114,0.133,0.174,0.138,0.187
"P19","Puede que lo vote",0.113,0.103,0.149,0.243,0.336,0.156
"P19","Nunca lo votaría",0.688,0.76,0.675,0.561,0.492,0.534
"P19","No sabe",0.029,0.023,0.043,0.022,0.034,0.123
"P20","Lo votaría",0.151,0.14,0.051,0.048,0.03,0.014
"P20","Puede que lo vote",0.229,0.337,0.245,0.199,0.1,0.095
"P20","Nunca lo votaría",0.426,0.392,0.486,0.612,0.776,0.456
"P20","No sabe",0.194,0.131,0.218,0.141,0.094,0.435
"P21","Lo votaría",0.322,0.265,0.248,0.229,0.155,0.142
"P21","Puede que lo vote",0.199,0.366,0.264,0.217,0.139,0.246
"P21","Nunca lo votaría",0.352,0.319,0.381,0.505,0.686,0.401
"P21","No sabe",0.127,0.05,0.107,0.049,0.02,0.211
"P22","Lo votaría",0.148,0.085,0.04,0.058,0.014,0.032
"P22","Puede que lo vote",0.221,0.17,0.095,0.098,0.056,0.064
"P22","Nunca lo votaría",0.397,0.499,0.546,0.61,0.717,0.39
"P22","No sabe",0.234,0.246,0.319,0.234,0.213,0.514
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.187,0.204,0.176,0.143,0.096,0.088
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.126,0.197,0.13,0.049,0.031,0.094
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.28,0.291,0.184,0.169,0.083,0.156
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.038,0.019,0.027,0.026,0.02,0.066
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.105,0.088,0.141,0.25,0.505,0.124
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.068,0.09,0.091,0.136,0.07,0.118
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.135,0.052,0.167,0.15,0.144,0.233
"P23","A los candidatos de la izquierda",0,0.004,0.014,0.034,0.017,0.022
"P23","Otros candidatos",0.061,0.055,0.07,0.043,0.034,0.099
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.31,0.439,0.306,0.223,0.122,0.204
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.24,0.242,0.184,0.08,0.061,0.142
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.048,0.045,0.063,0.09,0.076,0.092
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.115,0.078,0.158,0.295,0.414,0.192
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.167,0.105,0.182,0.19,0.168,0.204
"P24","A los candidatos de la izquierda",0.012,0.036,0.029,0.056,0.053,0.042
"P24","Otros candidatos",0.108,0.055,0.078,0.066,0.106,0.124
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.108,0.098,0.193,0.366,0.56,0.283
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.378,0.514,0.355,0.243,0.137,0.211
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.205,0.165,0.261,0.234,0.176,0.301
"P26","A los candidatos de la izquierda",0.009,0.035,0.024,0.027,0.038,0.044
"P26","Otro candidato",0.3,0.188,0.167,0.13,0.089,0.161
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.341,0.5,0.334,0.234,0.213,0.253
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.178,0.161,0.232,0.339,0.486,0.307
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.241,0.177,0.278,0.277,0.208,0.271
"P28","A los candidatos de la izquierda",0.009,0.006,0.017,0.029,0.012,0.023
"P28","Otro candidato",0.231,0.156,0.139,0.121,0.081,0.146
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.235,0.416,0.298,0.328,0.408,0.293
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.343,0.345,0.321,0.336,0.336,0.28
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.231,0.134,0.231,0.219,0.179,0.247
"P30","A los candidatos de la izquierda",0.005,0.004,0.016,0.033,0.018,0.036
"P30","Otro candidato",0.186,0.101,0.134,0.084,0.059,0.144
"P31","Sergio Massa por el Frente de Todos",0.218,0.228,0.229,0.333,0.31,0.272
"P31","Patricia Bullrich por Juntos por el Cambio",0.409,0.534,0.365,0.277,0.227,0.226
"P31","Javier Milei por los liberales libertarios",0.163,0.114,0.201,0.224,0.186,0.244
"P31","Nicolás del Caño por la izquierda",0.003,0.006,0.027,0.015,0.042,0.036
"P31","Otro candidato",0.158,0.074,0.074,0.081,0.144,0.083
"P31","Aún no lo tengo decidido",0.049,0.044,0.104,0.07,0.091,0.139
"P33","Sergio Massa por el Frente de Todos",0.14,0.134,0.184,0.302,0.409,0.259
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.37,0.547,0.333,0.223,0.105,0.198
"P33","Javier Milei por los liberales libertarios",0.244,0.157,0.249,0.269,0.219,0.298
"P33","Nicolás del Caño por la izquierda",0.01,0.013,0.033,0.023,0.04,0.04
"P33","Otro candidato",0.159,0.081,0.09,0.129,0.161,0.059
"P33","Aún no lo tengo decidido",0.077,0.068,0.111,0.054,0.066,0.146
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.146,0.1,0.179,0.368,0.561,0.251
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.421,0.56,0.362,0.207,0.094,0.209
"P34","Javier Milei por los liberales libertarios",0.209,0.171,0.265,0.272,0.224,0.283
"P34","Nicolás del Caño por la izquierda",0.01,0.024,0.026,0.02,0.02,0.039
"P34","Otro candidato",0.126,0.101,0.096,0.098,0.075,0.079
"P34","Aún no lo tengo decidido",0.088,0.044,0.072,0.035,0.026,0.139
"P35","Sergio Massa por el Frente de Todos",0.35,0.319,0.306,0.313,0.299,0.233
"P35","Mauricio Macri por Juntos por el Cambio",0.281,0.324,0.261,0.285,0.292,0.238
"P35","Javier Milei por los liberales libertarios",0.162,0.153,0.236,0.219,0.179,0.285
"P35","Nicolás del Caño por la izquierda",0.005,0.009,0.029,0.031,0.046,0.042
"P35","Otro candidato",0.152,0.151,0.093,0.104,0.131,0.074
"P35","Aún no lo tengo decidido",0.05,0.044,0.075,0.048,0.053,0.128
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.166,0.144,0.22,0.41,0.593,0.319
"P36","Mauricio Macri por Juntos por el Cambio",0.604,0.665,0.54,0.41,0.255,0.372
"P36","No sabe",0.23,0.191,0.24,0.18,0.152,0.309
"P37","Alberto Fernández por el Frente de Todos",0.107,0.09,0.185,0.313,0.483,0.256
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.676,0.763,0.56,0.309,0.191,0.325
"P37","No sabe",0.217,0.147,0.255,0.378,0.326,0.419
"P38","Sergio Massa presidente por el Frente de Todos",0.101,0.119,0.21,0.378,0.495,0.321
"P38","Patricia Bullrich por Juntos por el Cambio",0.775,0.784,0.619,0.411,0.28,0.396
"P38","No sabe",0.124,0.097,0.171,0.211,0.225,0.283
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.112,0.098,0.204,0.408,0.605,0.302
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.779,0.784,0.62,0.382,0.194,0.321
"P39","No sabe",0.109,0.118,0.176,0.21,0.201,0.377
"P40","Sergio Massa presidente por el Frente de Todos",0.206,0.115,0.198,0.404,0.531,0.285
"P40","Javier Milei por los liberales libertarios",0.447,0.417,0.475,0.378,0.265,0.347
"P40","No sabe",0.347,0.468,0.327,0.218,0.204,0.368
"P41","Sergio Massa por el Frente de Todos",0.167,0.103,0.189,0.383,0.526,0.287
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.687,0.766,0.582,0.358,0.185,0.327
"P41","No sabe",0.146,0.131,0.229,0.259,0.289,0.386
"P42","Sergio Massa por el Frente de Todos",0.181,0.107,0.219,0.393,0.533,0.347
"P42","Mauricio Macri por Juntos por el Cambio",0.638,0.735,0.582,0.453,0.265,0.361
"P42","No sabe",0.181,0.158,0.199,0.154,0.202,0.292
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.501,0.567,0.395,0.254,0.157,0.227
"P43","Javier Milei por los liberales libertarios",0.313,0.271,0.314,0.341,0.25,0.344
"P43","No sabe",0.186,0.162,0.291,0.405,0.593,0.429
"P44","Muy buena",0.128,0.069,0.062,0.063,0.077,0.023
"P44","Buena",0.081,0.075,0.122,0.217,0.297,0.137
"P44","Ni buena ni mala",0.065,0.062,0.156,0.175,0.209,0.28
"P44","Mala",0.18,0.104,0.105,0.109,0.071,0.104
"P44","Muy mala",0.546,0.688,0.54,0.435,0.341,0.428
"P44","No sabe",0,0.002,0.015,0.001,0.005,0.028
"P45","Muy buena",0.066,0.015,0.047,0.047,0.086,0.065
