"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","Aun no tengo decidido mi voto"
"P08","Totalmente seguro",0.64,0.657,0.475,0.122
"P08","Bastante seguro",0.221,0.183,0.103,0.089
"P08","Algo seguro",0.084,0.095,0.259,0.074
"P08","Para nada seguro",0.055,0.065,0.163,0.715
"P09","Tiene Decidido que va a ir a votar",0.903,0.941,0.658,0.75
"P09","Tiene dudas sobre si va a ir a  votar",0.031,0.051,0.154,0.147
"P09","Tiene Decidido que no va a ir a votar",0.066,0.008,0.188,0.103
"P10","Lo votaría",0.891,0.132,0.027,0.119
"P10","Puede que lo vote",0.081,0.088,0.133,0.301
"P10","Nunca lo votaría",0.02,0.766,0.691,0.268
"P10","No sabe",0.008,0.014,0.149,0.312
"P11","Lo votaría",0.055,0.725,0.12,0.048
"P11","Puede que lo vote",0.054,0.16,0.152,0.144
"P11","Nunca lo votaría",0.881,0.109,0.632,0.367
"P11","No sabe",0.01,0.006,0.096,0.441
