"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda"," En blanco","No sabe"
"P05","Mucho",0.359,0.298,0.433,0.422,0.4,0.187
"P05","Bastante",0.367,0.403,0.287,0.276,0.243,0.278
"P05","Poco",0.175,0.218,0.225,0.091,0.161,0.335
"P05","Nada",0.078,0.076,0.042,0.146,0.193,0.133
"P05","No sabe",0.021,0.005,0.013,0.065,0.003,0.067
"P06","Siempre",0.26,0.249,0.182,0.172,0.247,0.06
"P06","Casi siempre",0.315,0.371,0.34,0.394,0.192,0.335
"P06","Casi nunca",0.316,0.257,0.263,0.321,0.254,0.4
"P06","Nunca, pero esta es una excepción",0.109,0.123,0.215,0.113,0.307,0.205
"P08","Unión por la Patria y el peronismo",0.723,0.077,0.026,0.219,0.308,0.236
"P08","Juntos por el Cambio",0.098,0.769,0.15,0.074,0.255,0.192
"P08","De los Liberales libertarios",0.029,0.036,0.664,0.145,0.073,0.043
"P08","De la Izquierda",0.042,0.029,0.017,0.425,0.024,0.033
"P08","No sabe",0.108,0.089,0.143,0.137,0.34,0.496
"P09","A Sergio Massa",0.357,0.404,0.316,0.347,0.221,0.126
"P09","A Daniel Scioli",0.128,0.189,0.427,0,0.097,0.12
"P09","A algún candidato del peronismo",0.084,0.362,0.058,0,0.1,0.243
"P09","Wado de Pedro",0.431,0.045,0.199,0.653,0.582,0.511
"P10","A Horacio Rodriguez Larreta",0.287,0.271,0.184,0,0.027,0.058
"P10","A Patricia Bullrich",0.467,0.678,0.62,0,0.925,0.821
"P10","A Facundo Manes",0.187,0.047,0.145,1,0.037,0.121
"P10","A Gerardo Morales",0.059,0.004,0.051,0,0.011,0
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.49,0.099,0.024,0.044,0.074,0.037
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.294,0.038,0.031,0.029,0.189,0.209
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.099,0.545,0.16,0.055,0.251,0.187
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.043,0.249,0.043,0.164,0.089,0.011
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.031,0.025,0.668,0.084,0.183,0.082
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.015,0,0,0.453,0,0.01
