"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.685,0.355,0.222,0.163
"P05","Bastante",0.137,0.424,0.214,0.122
"P05","Poco",0.057,0.171,0.347,0.152
"P05","Nada",0.099,0.03,0.183,0.468
"P05","No sabe",0.022,0.02,0.034,0.095
"P09","Unión por la Patria",0.551,0.447,0.271,0.183
"P09","Juntos por el Cambio",0.157,0.313,0.185,0.225
"P09","De los Liberales libertarios",0.095,0.06,0.141,0.102
"P09","De la Izquierda",0.015,0.01,0.094,0.043
"P09","Hacemos por nuestro pais",0.039,0.02,0.02,0.019
"P09","Otro",0.029,0.046,0.03,0.065
"P09","En blanco",0.042,0.026,0.084,0.079
"P09","No sabe",0.072,0.078,0.175,0.284
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.256,0.226,0.188,0.127
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.049,0.029,0.022,0.039
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.112,0.185,0.131,0.085
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.034,0.058,0.021,0.048
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.214,0.189,0.154,0.136
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.035,0.092,0.12,0.046
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.18,0.103,0.153,0.158
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.032,0.011,0.039,0.077
"P10","En blanco",0.017,0.022,0.043,0.067
"P10","No sabe",0.071,0.085,0.129,0.217
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.342,0.341,0.319,0.185
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.225,0.239,0.202,0.14
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.195,0.117,0.138,0.177
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.014,0.059,0.077,0.055
"P13","En blanco",0.042,0.032,0.109,0.097
"P13","No sabe",0.182,0.212,0.155,0.346
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.301,0.376,0.275,0.254
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.206,0.253,0.228,0.193
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.243,0.129,0.202,0.158
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.046,0.036,0.053,0.053
"P16","En blanco",0.047,0.049,0.066,0.081
"P16","No sabe",0.157,0.157,0.176,0.261
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.422,0.438,0.319,0.199
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.287,0.24,0.204,0.213
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.143,0.139,0.189,0.156
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.028,0.018,0.06,0.074
"P19","En blanco",0.045,0.079,0.05,0.106
"P19","No sabe",0.075,0.086,0.178,0.252
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.309,0.383,0.274,0.173
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.253,0.301,0.194,0.201
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.229,0.125,0.214,0.189
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.052,0.011,0.075,0.052
"P22","En blanco",0.035,0.099,0.058,0.125
"P22","No sabe",0.122,0.081,0.185,0.26
"P25","Totalmente seguro",0.776,0.678,0.479,0.518
"P25","Bastante seguro",0.125,0.14,0.195,0.123
"P25","Algo seguro",0.026,0.111,0.185,0.123
"P25","Para nada seguro",0.073,0.071,0.141,0.236
"P26","Tiene Decidido que va a ir a votar",0.84,0.894,0.861,0.808
"P26","Tiene dudas sobre si va a ir a  votar",0.111,0.102,0.087,0.114
"P26","Tiene Decidido que no va a ir a votar",0.049,0.004,0.052,0.078
"P27","Si",0.972,0.982,0.946,0.953
"P27","No",0.028,0.018,0.054,0.047
