"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.383,0.337,0.379,0.417,0.308,0.279,0.333,0.197,0.15,0.192
"P05","Bastante",0.273,0.232,0.326,0.17,0.278,0.155,0.191,0.128,0.075,0.088
"P05","Poco",0.227,0.107,0.169,0.122,0.213,0.351,0.189,0.139,0.319,0.226
"P05","Nada",0.076,0.265,0.107,0.232,0.195,0.193,0.229,0.342,0.445,0.408
"P05","No sabe",0.041,0.059,0.019,0.059,0.006,0.022,0.058,0.194,0.011,0.086
"P06","Siempre",0.221,0.241,0.144,0.137,0.21,0.075,0.201,0.124,0.068,0.086
"P06","Casi siempre",0.286,0.209,0.351,0.348,0.273,0.287,0.169,0.064,0.128,0.152
"P06","Casi nunca",0.295,0.2,0.307,0.157,0.275,0.463,0.311,0.272,0.314,0.286
"P06","Nunca, pero esta es una excepción",0.198,0.35,0.198,0.358,0.242,0.175,0.319,0.54,0.49,0.476
"P09","Unión por la Patria",0.709,0.5,0.713,0.551,0.171,0.097,0.181,0.008,0.027,0.071
"P09","Juntos por el Cambio",0.102,0.29,0.032,0.098,0.629,0.656,0.087,0,0.097,0.107
"P09","De los Liberales libertarios",0.031,0.035,0.072,0,0.071,0.022,0.506,0.032,0,0.016
"P09","De la Izquierda",0.036,0.059,0.023,0.049,0.019,0.086,0.021,0.147,0.024,0.05
"P09","Hacemos por nuestro pais",0.015,0.029,0.004,0.071,0.036,0.026,0.046,0.008,0,0.013
"P09","Otro",0.025,0,0.037,0,0.019,0.015,0.021,0.079,0.123,0.125
"P09","En blanco",0.012,0.051,0.009,0.063,0.023,0.037,0.057,0.064,0.595,0.023
"P09","No sabe",0.07,0.036,0.11,0.168,0.032,0.061,0.081,0.662,0.134,0.595
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.768,0.392,0.381,0.323,0.159,0.101,0.138,0.103,0.032,0.067
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.08,0.133,0.103,0,0.552,0.403,0.148,0.027,0.075,0.042
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.068,0,0.015,0.031,0.119,0.058,0.67,0.08,0.03,0.033
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.042,0.153,0.127,0.111,0.016,0.05,0.005,0.229,0.026,0.049
"P13","En blanco",0.018,0.243,0.051,0.122,0.049,0.086,0.019,0.08,0.701,0.033
"P13","No sabe",0.024,0.079,0.323,0.413,0.105,0.302,0.02,0.481,0.136,0.776
