"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P04","Gran excedente habitual",0.023,0.016,0.007,0.024,0.02,0.004,0.007,0.022
"P04","Gran excedente excepcional",0.002,0.002,0.001,0.003,0.002,0.009,0.006,0.009
"P04","Pequeño excedente habitual",0.05,0.039,0.047,0.033,0.068,0.037,0.05,0.062
"P04","Pequeño excedente excepcional",0.045,0.047,0.047,0.03,0.068,0.017,0.043,0.084
"P04","Alcanza gastos familia",0.124,0.151,0.149,0.123,0.221,0.115,0.122,0.181
"P04","No alcanza gastos familia",0.123,0.174,0.146,0.266,0.176,0.128,0.129,0.144
"P04","Solo NBFamiliares",0.267,0.245,0.271,0.24,0.206,0.25,0.314,0.24
"P04","No alcanza NBFamiliares",0.358,0.316,0.326,0.269,0.225,0.429,0.304,0.234
"P04","No sabe",0.008,0.01,0.006,0.012,0.014,0.011,0.025,0.024
"P05","Si",0.214,0.226,0.204,0.079,0.101,0.147,0.237,0.123
"P05","No",0.786,0.774,0.796,0.921,0.899,0.853,0.763,0.877
"P06","Robo en vivienda, en su presencia",0.286,0.428,0.212,0.268,0.155,0.296,0.219,0.246
"P06","Robo en vivienda, en su ausencia",0.322,0.141,0.133,0.409,0.245,0.266,0.235,0.149
"P06","Robo de auto",0.032,0.094,0.091,0.027,0.211,0.132,0.056,0.014
"P06","Robo de moto",0.018,0.041,0.003,0.018,0.081,0.047,0.021,0.064
"P06","Robo de bicicleta",0.083,0.047,0.185,0.068,0.048,0.064,0.056,0.057
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.086,0.045,0.151,0.025,0.127,0.024,0.141,0.18
"P06","Otro tipo de delito a la propiedad",0.173,0.204,0.225,0.185,0.133,0.171,0.272,0.29
"P07","Muy seguro",0.143,0.108,0.113,0.22,0.131,0.11,0.043,0.151
"P07","Algo seguro",0.284,0.313,0.4,0.3,0.387,0.267,0.232,0.27
"P07","Seguro",0.099,0.122,0.157,0.183,0.119,0.153,0.131,0.2
"P07","Algo inseguro",0.223,0.188,0.184,0.186,0.261,0.28,0.254,0.185
"P07","Inseguro",0.155,0.198,0.099,0.089,0.071,0.133,0.2,0.151
"P07","Muy inseguro",0.096,0.071,0.047,0.022,0.031,0.057,0.14,0.043
"P08","Han aumentado en el último mes",0.52,0.492,0.364,0.256,0.279,0.393,0.456,0.214
"P08","Han disminuido en el ultimo mes",0.081,0.077,0.093,0.078,0.092,0.06,0.064,0.082
"P08","Se mantienen igual que el mes anterior",0.279,0.324,0.393,0.536,0.427,0.375,0.336,0.432
"P08","No sabe",0.12,0.107,0.15,0.13,0.202,0.172,0.144,0.272
"P09","Si",0.204,0.186,0.147,0.055,0.128,0.136,0.169,0.063
"P09","No",0.796,0.814,0.853,0.945,0.872,0.864,0.831,0.937
"P10","Hurto",0.396,0.393,0.39,0.383,0.3,0.485,0.383,0.5
"P10","Robo con violencia",0.265,0.322,0.294,0.096,0.108,0.136,0.274,0.089
"P10","Agresión física",0.049,0.045,0.052,0.081,0.12,0.148,0.085,0.018
"P10","Acoso verbal o intimidación",0.055,0.079,0.128,0.332,0.305,0.073,0.091,0.283
"P10","Otros delitos en la vía pública",0.235,0.161,0.136,0.108,0.167,0.158,0.167,0.11
