"var","categoria","Han aumentado en el último mes","Han disminuido en el ultimo mes","Se mantienen igual que el mes anterior","No sabe"
"P04","Gran excedente habitual",0.008,0.017,0.013,0.013
"P04","Gran excedente excepcional",0.002,0.008,0.004,0.002
"P04","Pequeño excedente habitual",0.031,0.04,0.075,0.057
"P04","Pequeño excedente excepcional",0.031,0.037,0.079,0.062
"P04","Alcanza gastos familia",0.096,0.127,0.192,0.134
"P04","No alcanza gastos familia",0.158,0.188,0.146,0.179
"P04","Solo NBFamiliares",0.236,0.305,0.263,0.271
"P04","No alcanza NBFamiliares",0.425,0.271,0.219,0.257
"P04","No sabe",0.013,0.007,0.009,0.025
"P05","Si",0.296,0.159,0.108,0.137
"P05","No",0.704,0.841,0.892,0.863
"P06","Robo en vivienda, en su presencia",0.383,0.426,0.252,0.378
"P06","Robo en vivienda, en su ausencia",0.242,0.14,0.216,0.213
"P06","Robo de auto",0.089,0.025,0.096,0.1
"P06","Robo de moto",0.025,0.021,0.022,0.063
"P06","Robo de bicicleta",0.045,0.015,0.049,0.03
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.084,0.031,0.108,0.071
"P06","Otro tipo de delito a la propiedad",0.132,0.342,0.257,0.145
"P07","Muy seguro",0.121,0.198,0.151,0.131
"P07","Algo seguro",0.254,0.54,0.331,0.338
"P07","Seguro",0.072,0.073,0.207,0.148
"P07","Algo inseguro",0.206,0.091,0.174,0.266
"P07","Inseguro",0.194,0.055,0.1,0.097
"P07","Muy inseguro",0.153,0.043,0.037,0.02
"P09","Si",0.363,0.123,0.087,0.089
"P09","No",0.637,0.877,0.913,0.911
"P10","Hurto",0.369,0.397,0.386,0.59
"P10","Robo con violencia",0.287,0.385,0.24,0.116
"P10","Agresión física",0.068,0.061,0.09,0.096
"P10","Acoso verbal o intimidación",0.113,0.006,0.121,0.081
"P10","Otros delitos en la vía pública",0.163,0.151,0.163,0.117
"P11","Muy seguro",0.087,0.2,0.137,0.123
"P11","Algo seguro",0.24,0.44,0.331,0.366
"P11","Seguro",0.053,0.115,0.188,0.182
"P11","Algo inseguro",0.228,0.132,0.207,0.219
"P11","Inseguro",0.243,0.065,0.101,0.092
"P11","Muy inseguro",0.149,0.048,0.036,0.018
"P12","Han aumentado en el último mes",0.702,0.26,0.132,0.153
"P12","Han disminuido en el último mes",0.044,0.371,0.065,0.048
"P12","Se mantienen igual que el mes anterior",0.17,0.261,0.684,0.259
"P12","No sabe",0.084,0.108,0.119,0.54
"P13","Mayor presencia de policía en las calles",0.312,0.305,0.231,0.206
"P13","Presencia de Gendarmería en las calles",0.221,0.179,0.105,0.114
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.095,0.216,0.178,0.14
"P13","Más iluminación en espacios públicos",0.057,0.07,0.096,0.131
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.039,0.045,0.074,0.071
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.048,0.032,0.049,0.069
"P13","Todas las anteriores",0.192,0.132,0.204,0.16
"P13","No sabe",0.036,0.021,0.063,0.109
"P14","Mayor presencia de policía en las calles",0.291,0.293,0.208,0.171
"P14","Presencia de Gendarmería en las calles",0.19,0.139,0.163,0.167
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.088,0.206,0.155,0.13
"P14","Más iluminación en espacios públicos",0.062,0.085,0.068,0.078
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.04,0.057,0.061,0.062
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.044,0.065,0.055,0.042
"P14","Todas las anteriores",0.216,0.093,0.179,0.153
"P14","No sabe",0.069,0.062,0.111,0.197
"P15","El Gobierno Nacional",0.202,0.157,0.098,0.071
"P15","El Gobierno Provincial",0.244,0.269,0.265,0.198
"P15","El Municipio",0.117,0.265,0.229,0.218
"P15","Todos los niveles de gobierno son igualmente responsables",0.414,0.25,0.377,0.436
"P15","No sabe",0.023,0.059,0.031,0.077
