"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.51,0.445,0.563,0.418
"P05","Bastante",0.299,0.381,0.255,0.156
"P05","Poco",0.136,0.082,0.106,0.249
"P05","Nada",0.044,0.076,0.059,0.103
"P05","No sabe",0.011,0.016,0.017,0.074
"P06","Siempre",0.27,0.257,0.224,0.093
"P06","Casi siempre",0.413,0.324,0.352,0.337
"P06","Casi nunca",0.234,0.329,0.311,0.413
"P06","Nunca, pero esta es una excepción",0.083,0.09,0.113,0.157
"P08","Unión por la Patria",0.193,0.181,0.571,0.122
"P08","Juntos por el Cambio",0.64,0.5,0.136,0.16
"P08","De los Liberales libertarios",0.083,0.224,0.135,0.144
"P08","De la Izquierda",0.039,0.017,0.044,0.072
"P08","Hacemos por nuestro país",0.009,0.007,0.001,0.013
"P08","Otro",0.016,0.007,0.03,0.016
"P08","En blanco",0.002,0.019,0.03,0.053
"P08","No sabe",0.018,0.045,0.053,0.42
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Alak a intendente por Unión por la Patria",0.093,0.117,0.391,0.131
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Guillermo Escudero a intendente por Unión por la Patria",0.054,0.03,0.048,0.13
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Gaston Castagneto a intendente por Unión por la Patria",0.021,0.011,0.047,0.018
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.041,0.017,0.102,0.017
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Juan Pablo Allan a intendente por Juntos por el Cambio",0.593,0.196,0.055,0.021
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Julio Garro a intendente por Juntos por el Cambio",0.084,0.328,0.093,0.165
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora y Luciano Guma a intendente por la Libertad Avanza",0.092,0.241,0.136,0.16
"P09","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.003,0.043,0.096
"P09","Otro",0.005,0.012,0.034,0.028
"P09","No sabe",0.006,0.045,0.051,0.234
"P12","Si",0.551,0.628,0.437,0.629
"P12","No",0.449,0.372,0.563,0.371
"P13","Julio Alak a intendente por Unión por la Patria",0.08,0.124,0.297,0.25
"P13","Guillermo Escudero a intendente por Unión por la Patria",0,0,0.051,0.043
"P13","Gaston Castagneto a intendente por Unión por la Patria",0.019,0.013,0.055,0.102
"P13","Juan Pablo Allan a intendente por Juntos por el Cambio",0.237,0.215,0.065,0.081
"P13","Julio Garro a intendente por Juntos por el Cambio",0.398,0.327,0.196,0.129
"P13","Luciano Guma a intendente por la Libertad Avanza",0.14,0.117,0.094,0.099
"P13","A los candidatos a intendente del Frente de Izquierda",0,0,0.078,0.133
"P13","Otro",0.012,0.08,0.057,0.022
"P13","No sabe",0.114,0.124,0.107,0.141
"P16","Ninguno",0.197,0,0.452,0.086
"P16","Julio Alak a intendente por Unión por la Patria",0.065,0,0.191,0
"P16","Guillermo Escudero a intendente por Unión por la Patria",0,0,0.017,0
"P16","Gaston Castagneto a intendente por Unión por la Patria",0.084,0,0.045,0
"P16","Juan Pablo Allan a intendente por Juntos por el Cambio",0.418,0.54,0.031,0
"P16","Julio Garro a intendente por Juntos por el Cambio",0,0,0.025,0.914
"P16","Luciano Guma a intendente por la Libertad Avanza",0.019,0,0.063,0
"P16","A los candidatos a intendente del Frente de Izquierda",0.019,0.23,0.008,0
"P16","Otro",0.049,0.23,0.03,0
"P16","No sabe",0.149,0,0.138,0
"P19","Lo votaría",0.144,0.107,0.431,0.125
"P19","Puede que lo vote",0.119,0.1,0.163,0.097
"P19","Nunca lo votaría",0.719,0.773,0.348,0.344
"P19","No sabe",0.018,0.02,0.058,0.434
"P20","Lo votaría",0.115,0.073,0.166,0.085
"P20","Puede que lo vote",0.066,0.058,0.217,0.108
"P20","Nunca lo votaría",0.785,0.853,0.514,0.311
"P20","No sabe",0.034,0.016,0.103,0.496
"P21","Lo votaría",0.089,0.035,0.137,0.035
"P21","Puede que lo vote",0.068,0.115,0.238,0.122
"P21","Nunca lo votaría",0.83,0.826,0.54,0.324
"P21","No sabe",0.013,0.024,0.085,0.519
"P22","Lo votaría",0.161,0.055,0.273,0.029
"P22","Puede que lo vote",0.014,0.134,0.174,0.096
"P22","Nunca lo votaría",0.817,0.799,0.505,0.316
"P22","No sabe",0.008,0.012,0.048,0.559
"P24","Lo votaría",0.311,0.254,0.089,0.151
"P24","Puede que lo vote",0.316,0.474,0.074,0.116
"P24","Nunca lo votaría",0.326,0.26,0.831,0.109
"P24","No sabe",0.047,0.012,0.006,0.624
"P25","Lo votaría",0.154,0.221,0.102,0.087
"P25","Puede que lo vote",0.162,0.245,0.062,0.216
