"var","categoria","A Tolosa Paz por el Frente de todos","A Santilli y Manes por Juntos","A Del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazo por “Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P08","Si",0.907,0.898,0.84,1,0.377,0.711,0.369
"P08","Puede ser",0.078,0.063,0,0,0.321,0.289,0.437
"P08","No",0.015,0.039,0.16,0,0.302,0,0.194
"P34","Gran excedente habitual",0.002,0.006,0,0,0,0,0
"P34","Gran excedente excepcional",0.016,0,0.068,0,0,0,0
"P34","Pequeño excedente habitual",0.033,0.009,0,0.046,0,0,0.006
"P34","Pequeño excedente excepcional",0.053,0.019,0,0,0,0,0
"P34","Alcanza gastos familia",0.101,0.135,0.038,0.127,0,0,0.04
"P34","No alcanza gastos familia",0.226,0.188,0.141,0.274,0.548,0.041,0.219
"P34","Solo NBFamiliares",0.269,0.259,0.195,0.25,0.168,0.083,0.236
"P34","No alcanza NBFamiliares",0.289,0.364,0.558,0.303,0.284,0.876,0.471
"P34","No sabe",0.011,0.02,0,0,0,0,0.028
"P35","Muy buena",0.067,0.055,0,0.034,0,0,0.033
"P35","Buena",0.109,0.094,0,0.106,0,0,0.008
"P35","Ni buena ni mala",0.341,0.433,0.426,0.393,0.714,0.137,0.161
"P35","Mala",0.343,0.298,0.249,0.325,0.286,0.042,0.549
"P35","Muy mala",0.102,0.114,0.325,0.108,0,0.821,0.219
"P35","No sabe",0.038,0.006,0,0.034,0,0,0.03
"P36","Mejor",0.281,0.084,0.042,0.008,0.16,0,0.006
"P36","Igual",0.432,0.222,0.188,0.2,0.671,0.925,0.303
"P36","Peor",0.271,0.674,0.628,0.784,0.169,0.075,0.503
"P36","No sabe",0.016,0.02,0.142,0.008,0,0,0.188
"P37","Mejor",0.326,0.035,0,0.058,0.165,0.209,0.017
"P37","Igual",0.319,0.228,0.375,0.257,0.338,0,0.181
"P37","Peor",0.165,0.647,0.606,0.491,0.446,0.753,0.415
"P37","No sabe",0.19,0.09,0.019,0.194,0.051,0.038,0.387
"P46","Muy buena",0.246,0.036,0,0.049,0,0.713,0.294
"P46","Buena",0.359,0.014,0.182,0.014,0,0,0
"P46","Ni buena ni mala",0.202,0.146,0.111,0,0.515,0.156,0.124
"P46","Mala",0.047,0.227,0.317,0.123,0.278,0.065,0.111
"P46","Muy mala",0.146,0.574,0.39,0.814,0.207,0,0.357
"P46","No sabe",0,0.003,0,0,0,0.066,0.114
"P47","Muy buena",0.491,0.025,0.132,0,0.238,0.725,0.158
"P47","Buena",0.239,0.049,0.23,0,0,0.151,0.281
"P47","Ni buena ni mala",0.064,0.089,0.182,0,0.403,0,0.014
"P47","Mala",0.021,0.139,0.188,0,0.203,0.062,0.011
"P47","Muy mala",0.123,0.676,0.268,1,0.156,0,0.477
"P47","No sabe",0.062,0.022,0,0,0,0.062,0.059
"P48","Muy buena",0.014,0.19,0,0,0,0.574,0.14
"P48","Buena",0.06,0.228,0,0.216,0,0,0
"P48","Ni buena ni mala",0.047,0.379,0.204,0.355,0.156,0,0.069
"P48","Mala",0.156,0.121,0.209,0.184,0,0,0.015
"P48","Muy mala",0.723,0.079,0.423,0.23,0.844,0.361,0.67
"P48","No sabe",0,0.003,0.164,0.015,0,0.065,0.106
"P49","Muy buena",0.104,0.333,0.146,0.122,0.383,0.57,0
"P49","Buena",0.069,0.357,0.188,0.179,0.402,0.148,0.13
"P49","Ni buena ni mala",0.163,0.223,0.229,0.332,0.215,0.063,0.471
"P49","Mala",0.252,0.027,0.071,0.013,0,0.156,0.093
"P49","Muy mala",0.378,0.06,0.366,0.354,0,0,0.18
"P49","No sabe",0.034,0,0,0,0,0.063,0.126
"P50","Muy buena",0.135,0.015,0.192,0,0,0.591,0
"P50","Buena",0.314,0.04,0.017,0,0,0.143,0
"P50","Ni buena ni mala",0.285,0.162,0.141,0.025,0.846,0.149,0.185
"P50","Mala",0.077,0.241,0.028,0.112,0,0.058,0.447
"P50","Muy mala",0.175,0.458,0.399,0.863,0.154,0,0.219
"P50","No sabe",0.014,0.084,0.223,0,0,0.059,0.149
"P59","Muy buena",0.038,0.146,0,0,0,0.547,0
"P59","Buena",0.128,0.346,0,0.125,0.162,0,0
"P59","Ni buena ni mala",0.303,0.263,0.296,0.195,0.614,0.065,0.469
"P59","Mala",0.251,0.097,0.039,0.217,0.224,0.323,0.092
"P59","Muy mala",0.257,0.082,0.413,0.196,0,0,0.206
"P59","No sabe",0.023,0.066,0.252,0.267,0,0.065,0.233
"P61","Muy buena",0.016,0.149,0,0,0,0.57,0
"P61","Buena",0.093,0.162,0,0,0,0,0
"P61","Ni buena ni mala",0.183,0.339,0.548,0.21,0.205,0,0.248
"P61","Mala",0.159,0.065,0,0.063,0.279,0.366,0.341
"P61","Muy mala",0.274,0.069,0.052,0.327,0,0,0.081
"P61","No sabe",0.275,0.216,0.4,0.4,0.516,0.064,0.33
