"fecha","t1 A Tolosa Paz por el Frente de todos","t1 A Santilli y Manes por Juntos","t1 A Del Caño por el Frente de Izquierda","t1 A Espert por Avanza libertad","t1 A Randazo por “Vamos con vos""","t1 A Hotton por “+Valores”","t1 Votaría en blanco o anularía","s1 A Tolosa Paz por el Frente de todos","s1 A Santilli y Manes por Juntos","s1 A Del Caño por el Frente de Izquierda","s1 A Espert por Avanza libertad","s1 A Randazo por “Vamos con vos""","s1 A Hotton por “+Valores”","s1 Votaría en blanco o anularía","s2 A Tolosa Paz por el Frente de todos","s2 A Santilli y Manes por Juntos","s2 A Del Caño por el Frente de Izquierda","s2 A Espert por Avanza libertad","s2 A Randazo por “Vamos con vos""","s2 A Hotton por “+Valores”","s2 Votaría en blanco o anularía","e1 A Tolosa Paz por el Frente de todos","e1 A Santilli y Manes por Juntos","e1 A Del Caño por el Frente de Izquierda","e1 A Espert por Avanza libertad","e1 A Randazo por “Vamos con vos""","e1 A Hotton por “+Valores”","e1 Votaría en blanco o anularía","e2 A Tolosa Paz por el Frente de todos","e2 A Santilli y Manes por Juntos","e2 A Del Caño por el Frente de Izquierda","e2 A Espert por Avanza libertad","e2 A Randazo por “Vamos con vos""","e2 A Hotton por “+Valores”","e2 Votaría en blanco o anularía","e3 A Tolosa Paz por el Frente de todos","e3 A Santilli y Manes por Juntos","e3 A Del Caño por el Frente de Izquierda","e3 A Espert por Avanza libertad","e3 A Randazo por “Vamos con vos""","e3 A Hotton por “+Valores”","e3 Votaría en blanco o anularía","e4 A Tolosa Paz por el Frente de todos","e4 A Santilli y Manes por Juntos","e4 A Del Caño por el Frente de Izquierda","e4 A Espert por Avanza libertad","e4 A Randazo por “Vamos con vos""","e4 A Hotton por “+Valores”","e4 Votaría en blanco o anularía","ed1 A Tolosa Paz por el Frente de todos","ed1 A Santilli y Manes por Juntos","ed1 A Del Caño por el Frente de Izquierda","ed1 A Espert por Avanza libertad","ed1 A Randazo por “Vamos con vos""","ed1 A Hotton por “+Valores”","ed1 Votaría en blanco o anularía","ed2 A Tolosa Paz por el Frente de todos","ed2 A Santilli y Manes por Juntos","ed2 A Del Caño por el Frente de Izquierda","ed2 A Espert por Avanza libertad","ed2 A Randazo por “Vamos con vos""","ed2 A Hotton por “+Valores”","ed2 Votaría en blanco o anularía","ed3 A Tolosa Paz por el Frente de todos","ed3 A Santilli y Manes por Juntos","ed3 A Del Caño por el Frente de Izquierda","ed3 A Espert por Avanza libertad","ed3 A Randazo por “Vamos con vos""","ed3 A Hotton por “+Valores”","ed3 Votaría en blanco o anularía","v1 A Tolosa Paz por el Frente de todos","v1 A Santilli y Manes por Juntos","v1 A Del Caño por el Frente de Izquierda","v1 A Espert por Avanza libertad","v1 A Randazo por “Vamos con vos""","v1 A Hotton por “+Valores”","v1 Votaría en blanco o anularía","v2 A Tolosa Paz por el Frente de todos","v2 A Santilli y Manes por Juntos","v2 A Del Caño por el Frente de Izquierda","v2 A Espert por Avanza libertad","v2 A Randazo por “Vamos con vos""","v2 A Hotton por “+Valores”","v2 Votaría en blanco o anularía","v3 A Tolosa Paz por el Frente de todos","v3 A Santilli y Manes por Juntos","v3 A Del Caño por el Frente de Izquierda","v3 A Espert por Avanza libertad","v3 A Randazo por “Vamos con vos""","v3 A Hotton por “+Valores”","v3 Votaría en blanco o anularía"
2021-09-22,0.405,0.371,0.027,0.049,0.027,NA,0.121,0.43,0.344,0.034,0.048,0.033,NA,0.111,0.383,0.394,0.021,0.051,0.021,NA,0.13,0.448,0.332,0.036,0.069,0.007,NA,0.108,0.434,0.278,0.027,0.035,0.047,NA,0.179,0.372,0.445,0.016,0.076,0.022,NA,0.069,0.279,0.605,0.024,0.005,0.024,NA,0.063,0.32,0.457,0.02,0.043,0.015,NA,0.145,0.502,0.289,0.027,0.038,0.031,NA,0.113,0.35,0.385,0.043,0.091,0.043,NA,0.088,0.606,0.157,0.033,0.038,0.029,NA,0.137,0.071,0.821,0,0.053,0.012,NA,0.043,0.199,0.562,0,0.108,0.078,NA,0.053
2021-09-23,0.373,0.406,0.056,0.036,0.023,NA,0.106,0.367,0.438,0.07,0.044,0.037,NA,0.044,0.378,0.376,0.043,0.028,0.011,NA,0.164,0.36,0.378,0.094,0.042,0,NA,0.126,0.387,0.343,0.046,0.029,0.045,NA,0.15,0.417,0.472,0.011,0.029,0.037,NA,0.034,0.298,0.549,0.061,0.048,0,NA,0.044,0.393,0.451,0.02,0.021,0.013,NA,0.102,0.367,0.35,0.09,0.035,0.035,NA,0.123,0.339,0.439,0.056,0.071,0.021,NA,0.074,0.576,0.218,0.058,0.016,0.014,NA,0.118,0.071,0.761,0.041,0.081,0.011,NA,0.035,0.034,0.801,0,0,0.165,NA,0
2021-09-24,0.385,0.368,0.062,0.049,0.019,NA,0.117,0.343,0.417,0.072,0.062,0.03,NA,0.076,0.423,0.323,0.053,0.036,0.01,NA,0.155,0.378,0.344,0.084,0.065,0,NA,0.129,0.398,0.312,0.054,0.027,0.033,NA,0.176,0.391,0.426,0.041,0.066,0.036,NA,0.04,0.355,0.491,0.067,0.047,0,NA,0.04,0.438,0.388,0.024,0.028,0.017,NA,0.105,0.363,0.321,0.087,0.063,0.022,NA,0.144,0.323,0.436,0.083,0.057,0.019,NA,0.082,0.586,0.195,0.05,0.014,0.016,NA,0.139,0.079,0.791,0.034,0.069,0.009,NA,0.018,0.156,0.29,0.172,0.267,0.115,NA,0
2021-09-25,0.375,0.357,0.058,0.065,0.023,NA,0.122,0.341,0.396,0.066,0.079,0.033,NA,0.085,0.407,0.321,0.051,0.052,0.013,NA,0.156,0.311,0.344,0.086,0.093,0,NA,0.166,0.397,0.306,0.053,0.055,0.026,NA,0.163,0.429,0.4,0.029,0.055,0.036,NA,0.051,0.361,0.457,0.061,0.051,0.04,NA,0.03,0.44,0.338,0.026,0.051,0.028,NA,0.117,0.353,0.331,0.074,0.074,0.024,NA,0.144,0.306,0.451,0.082,0.067,0.012,NA,0.082,0.577,0.186,0.041,0.034,0.03,NA,0.132,0.069,0.769,0.038,0.092,0.008,NA,0.024,0.32,0.24,0.117,0.166,0.047,NA,0.11
2021-09-26,0.412,0.324,0.044,0.08,0.029,NA,0.111,0.399,0.322,0.049,0.091,0.027,NA,0.112,0.425,0.326,0.039,0.07,0.031,NA,0.109,0.412,0.287,0.041,0.141,0.011,NA,0.108,0.419,0.263,0.053,0.078,0.033,NA,0.154,0.396,0.398,0.028,0.05,0.029,NA,0.099,0.419,0.444,0.049,0.023,0.049,NA,0.016,0.481,0.243,0.026,0.073,0.037,NA,0.14,0.406,0.325,0.045,0.085,0.027,NA,0.112,0.308,0.462,0.073,0.08,0.02,NA,0.057,0.628,0.129,0.032,0.041,0.046,NA,0.124,0.078,0.767,0.006,0.116,0.01,NA,0.023,0.287,0.314,0.102,0.145,0,NA,0.152
2021-09-27,0.394,0.33,0.046,0.078,0.04,NA,0.112,0.429,0.284,0.049,0.066,0.046,NA,0.126,0.36,0.374,0.044,0.088,0.035,NA,0.099,0.327,0.241,0.084,0.162,0.043,NA,0.143,0.424,0.306,0.052,0.076,0.036,NA,0.106,0.406,0.42,0.01,0.021,0.02,NA,0.123,0.42,0.43,0.012,0.007,0.08,NA,0.051,0.425,0.251,0.033,0.1,0.035,NA,0.156,0.384,0.342,0.054,0.067,0.049,NA,0.104,0.363,0.44,0.053,0.062,0.03,NA,0.052,0.593,0.151,0.054,0.051,0.049,NA,0.102,0.071,0.736,0.003,0.118,0.039,NA,0.033,0.315,0.417,0,0,0.023,NA,0.245
2021-09-28,0.4,0.318,0.06,0.061,0.044,NA,0.117,0.434,0.276,0.075,0.044,0.032,NA,0.139,0.365,0.361,0.045,0.078,0.056,NA,0.095,0.346,0.198,0.114,0.147,0.087,NA,0.108,0.42,0.342,0.062,0.045,0.021,NA,0.11,0.375,0.405,0.012,0.008,0.019,NA,0.181,0.488,0.368,0.017,0.007,0.056,NA,0.064,0.432,0.252,0.052,0.077,0.045,NA,0.142,0.367,0.331,0.077,0.054,0.044,NA,0.127,0.413,0.415,0.036,0.046,0.043,NA,0.047,0.638,0.128,0.067,0.036,0.025,NA,0.106,0.056,0.697,0.032,0.091,0.092,NA,0.032,0,0.628,0,0,0.061,NA,0.311
2021-09-29,0.402,0.336,0.054,0.044,0.059,NA,0.105,0.362,0.341,0.067,0.056,0.064,NA,0.11,0.442,0.333,0.042,0.031,0.053,NA,0.099,0.409,0.201,0.123,0.082,0.079,NA,0.106,0.44,0.364,0.044,0.034,0.007,NA,0.111,0.362,0.401,0.002,0.035,0.089,NA,0.111,0.341,0.438,0.022,0.008,0.115,NA,0.076,0.429,0.283,0.046,0.052,0.078,NA,0.112,0.376,0.362,0.072,0.037,0.037,NA,0.116,0.407,0.383,0.031,0.043,0.07,NA,0.066,0.676,0.119,0.056,0.029,0.035,NA,0.085,0.03,0.793,0.035,0.028,0.1,NA,0.014,0,0.477,0,0,0.182,NA,0.341
2021-09-30,0.417,0.317,0.076,0.047,0.058,NA,0.085,0.302,0.34,0.145,0.075,0.07,NA,0.068,0.527,0.294,0.01,0.02,0.048,NA,0.101,0.441,0.228,0.18,0.036,0.085,NA,0.03,0.441,0.308,0.047,0.064,0.013,NA,0.127,0.366,0.364,0.026,0.054,0.089,NA,0.101,0.383,0.431,0.042,0.009,0.092,NA,0.043,0.456,0.251,0.078,0.029,0.08,NA,0.106,0.393,0.342,0.085,0.033,0.054,NA,0.093,0.399,0.377,0.05,0.111,0.033,NA,0.03,0.674,0.103,0.067,0.022,0.056,NA,0.078,0.097,0.724,0.038,0.07,0.063,NA,0.008,0.169,0.526,0,0.033,0.136,NA,0.136
2021-10-01,0.405,0.321,0.081,0.064,0.04,NA,0.089,0.312,0.336,0.111,0.092,0.063,NA,0.086,0.491,0.306,0.054,0.038,0.019,NA,0.092,0.398,0.273,0.172,0.054,0.037,NA,0.066,0.452,0.291,0.058,0.071,0.023,NA,0.105,0.32,0.374,0.043,0.101,0.068,NA,0.094,0.412,0.409,0.035,0.01,0.053,NA,0.081,0.427,0.266,0.089,0.047,0.048,NA,0.123,0.404,0.324,0.083,0.059,0.041,NA,0.089,0.37,0.409,0.061,0.106,0.024,NA,0.03,0.613,0.112,0.108,0.018,0.056,NA,0.093,0.145,0.757,0.002,0.071,0.01,NA,0.015,0.147,0.386,0,0.318,0.067,NA,0.082
