"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.19,0.23,0.262,0.24
"P08","Casi siempre",0.356,0.309,0.346,0.355
"P08","Casi nunca",0.32,0.326,0.285,0.28
"P08","Nunca, pero esta es una excepción",0.134,0.135,0.107,0.125
"P09","Muy de acuerdo",0.483,0.17,0.06,0.077
"P09","De acuerdo",0.232,0.172,0.049,0.078
"P09","Ni de acuerdo ni en desacuerdo",0.145,0.213,0.224,0.159
"P09","En desacuerdo",0.081,0.207,0.237,0.421
"P09","Muy en desacuerdo",0.045,0.217,0.414,0.197
"P09","No sabe",0.014,0.021,0.016,0.068
"P10","De acuerdo",0.736,0.246,0.069,0.077
"P10","Ni de acuerdo ni en desacuerdo",0.133,0.322,0.152,0.1
"P10","En desacuerdo",0.084,0.312,0.668,0.334
"P10","No sabe",0.047,0.12,0.111,0.489
"P12","De acuerdo",0.916,0.423,0.166,0.219
"P12","Ni de acuerdo ni en desacuerdo",0.051,0.364,0.21,0.133
"P12","En desacuerdo",0.023,0.155,0.536,0.239
"P12","No sabe",0.01,0.058,0.088,0.409
"P13","De acuerdo",0.719,0.245,0.111,0.1
"P13","Ni de acuerdo ni en desacuerdo",0.195,0.389,0.173,0.18
"P13","En desacuerdo",0.06,0.303,0.597,0.308
"P13","No sabe",0.026,0.063,0.119,0.412
"P14","De acuerdo",0.733,0.282,0.123,0.109
"P14","Ni de acuerdo ni en desacuerdo",0.174,0.366,0.162,0.148
"P14","En desacuerdo",0.07,0.316,0.643,0.395
"P14","No sabe",0.023,0.036,0.072,0.348
"P15","De acuerdo",0.707,0.327,0.212,0.137
"P15","Ni de acuerdo ni en desacuerdo",0.194,0.31,0.136,0.117
"P15","En desacuerdo",0.07,0.307,0.58,0.389
"P15","No sabe",0.029,0.056,0.072,0.357
"P16","De acuerdo",0.86,0.406,0.207,0.211
"P16","Ni de acuerdo ni en desacuerdo",0.075,0.262,0.146,0.104
"P16","En desacuerdo",0.042,0.275,0.55,0.346
"P16","No sabe",0.023,0.057,0.097,0.339
"P17","De acuerdo",0.603,0.233,0.108,0.13
"P17","Ni de acuerdo ni en desacuerdo",0.177,0.174,0.079,0.083
"P17","En desacuerdo",0.191,0.571,0.77,0.648
"P17","No sabe",0.029,0.022,0.043,0.139
"P18","De acuerdo",0.56,0.237,0.053,0.058
"P18","Ni de acuerdo ni en desacuerdo",0.221,0.178,0.111,0.133
"P18","En desacuerdo",0.166,0.536,0.786,0.625
"P18","No sabe",0.053,0.049,0.05,0.184
"P19","De acuerdo",0.737,0.317,0.095,0.104
"P19","Ni de acuerdo ni en desacuerdo",0.101,0.123,0.08,0.068
"P19","En desacuerdo",0.141,0.527,0.799,0.708
"P19","No sabe",0.021,0.033,0.026,0.12
"P20","De acuerdo",0.687,0.282,0.086,0.045
"P20","Ni de acuerdo ni en desacuerdo",0.153,0.191,0.112,0.143
"P20","En desacuerdo",0.13,0.471,0.755,0.682
"P20","No sabe",0.03,0.056,0.047,0.13
"P21","De acuerdo",0.709,0.324,0.089,0.138
"P21","Ni de acuerdo ni en desacuerdo",0.129,0.15,0.078,0.044
"P21","En desacuerdo",0.138,0.495,0.794,0.683
"P21","No sabe",0.024,0.031,0.039,0.135
"P22","Si",0.467,0.514,0.517,0.467
"P22","No",0.326,0.218,0.154,0.236
"P22","No sabe",0.207,0.268,0.329,0.297
"P23","Si",0.557,0.215,0.172,0.13
"P23","No",0.353,0.658,0.708,0.749
"P23","No sabe",0.09,0.127,0.12,0.121
"P24","Si",0.49,0.16,0.08,0.035
"P24","No",0.407,0.662,0.786,0.877
"P24","No sabe",0.103,0.178,0.134,0.088
"P25","Si",0.537,0.232,0.098,0.115
"P25","No",0.382,0.656,0.767,0.769
"P25","No sabe",0.081,0.112,0.135,0.116
"P26","A favor",0.764,0.367,0.155,0.12
"P26","En contra",0.146,0.491,0.693,0.726
"P26","No sabe",0.09,0.142,0.152,0.154
