"var","categoria","Si","No","No sabe"
"P08","Siempre",0.21,0.231,0.167
"P08","Casi siempre",0.325,0.37,0.347
"P08","Casi nunca",0.332,0.29,0.396
"P08","Nunca, pero esta es una excepción",0.133,0.109,0.09
"P09","Muy de acuerdo",0.625,0.174,0.277
"P09","De acuerdo",0.228,0.139,0.182
"P09","Ni de acuerdo ni en desacuerdo",0.08,0.177,0.302
"P09","En desacuerdo",0.036,0.234,0.096
"P09","Muy en desacuerdo",0.021,0.26,0.12
"P09","No sabe",0.01,0.016,0.023
"P10","De acuerdo",0.817,0.323,0.415
"P10","Ni de acuerdo ni en desacuerdo",0.116,0.178,0.22
"P10","En desacuerdo",0.036,0.389,0.227
"P10","No sabe",0.031,0.11,0.138
"P11","De acuerdo",0.863,0.427,0.492
"P11","Ni de acuerdo ni en desacuerdo",0.084,0.207,0.252
"P11","En desacuerdo",0.047,0.277,0.215
"P11","No sabe",0.006,0.089,0.041
"P12","De acuerdo",0.921,0.486,0.64
"P12","Ni de acuerdo ni en desacuerdo",0.036,0.203,0.133
"P12","En desacuerdo",0.034,0.228,0.182
"P12","No sabe",0.009,0.083,0.045
"P13","De acuerdo",0.828,0.311,0.408
"P13","Ni de acuerdo ni en desacuerdo",0.126,0.263,0.322
"P13","En desacuerdo",0.036,0.342,0.188
"P13","No sabe",0.01,0.084,0.082
"P14","De acuerdo",0.825,0.342,0.411
"P14","Ni de acuerdo ni en desacuerdo",0.124,0.222,0.311
"P14","En desacuerdo",0.042,0.378,0.199
"P14","No sabe",0.009,0.058,0.079
"P15","De acuerdo",0.721,0.41,0.45
"P15","Ni de acuerdo ni en desacuerdo",0.193,0.196,0.23
"P15","En desacuerdo",0.07,0.332,0.234
"P15","No sabe",0.016,0.062,0.086
"P16","De acuerdo",0.879,0.475,0.584
"P16","Ni de acuerdo ni en desacuerdo",0.067,0.155,0.126
"P16","En desacuerdo",0.039,0.299,0.196
"P16","No sabe",0.015,0.071,0.094
"P17","De acuerdo",0.766,0.232,0.356
"P17","Ni de acuerdo ni en desacuerdo",0.134,0.137,0.228
"P17","En desacuerdo",0.094,0.586,0.374
"P17","No sabe",0.006,0.045,0.042
"P18","De acuerdo",0.729,0.197,0.27
"P18","Ni de acuerdo ni en desacuerdo",0.177,0.169,0.297
"P18","En desacuerdo",0.068,0.57,0.352
"P18","No sabe",0.026,0.064,0.081
"P19","De acuerdo",0.889,0.292,0.432
"P19","Ni de acuerdo ni en desacuerdo",0.057,0.097,0.204
"P19","En desacuerdo",0.051,0.576,0.316
"P19","No sabe",0.003,0.035,0.048
"P20","De acuerdo",0.85,0.259,0.386
"P20","Ni de acuerdo ni en desacuerdo",0.083,0.167,0.226
"P20","En desacuerdo",0.057,0.524,0.313
"P20","No sabe",0.01,0.05,0.075
"P21","De acuerdo",0.86,0.283,0.432
"P21","Ni de acuerdo ni en desacuerdo",0.073,0.134,0.164
"P21","En desacuerdo",0.058,0.545,0.343
"P21","No sabe",0.009,0.038,0.061
"P22","Si",0.485,0.525,0.309
"P22","No",0.392,0.227,0.137
"P22","No sabe",0.123,0.248,0.554
"P23","Si",0.82,0.187,0.218
"P23","No",0.156,0.753,0.264
"P23","No sabe",0.024,0.06,0.518
"P25","Si",0.844,0.131,0.216
"P25","No",0.115,0.835,0.237
"P25","No sabe",0.041,0.034,0.547
"P26","A favor",0.9,0.324,0.556
"P26","En contra",0.056,0.539,0.24
"P26","No sabe",0.044,0.137,0.204
