"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P08_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.193,0.246,0.274,0.328
"P08_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.206,0.146,0.054,0.073
"P08_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.038,0.102,0.03,0.047
"P08_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.156,0.11,0.031,0.016
"P08_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.162,0.149,0.26,0.141
"P08_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.074,0.052,0.087,0.098
"P08_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.121,0.137,0.191,0.214
"P08_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0.032,0.031,0.007
"P08_imputadas","Otros",0.05,0.026,0.042,0.076
"P13_imputadas","Fernando Espinoza a intendente por Unión por la Patria",0.141,0.415,0.277,0.318
"P13_imputadas","Patricia Cubria a intendente por Unión por la Patria",0.457,0.188,0.052,0.033
"P13_imputadas","María Laura Ramírez a intendente por Unión por la Patria",0.002,0.007,0.009,0.023
"P13_imputadas","Eduardo “Lalo” Creus por Juntos por el Cambio",0.123,0.141,0.233,0.208
"P13_imputadas","Josefina Mendoza por Juntos por el Cambio",0.116,0.028,0.05,0.088
"P13_imputadas","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.022,0.037,0.116,0.092
"P13_imputadas","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.137,0.081,0.199,0.178
"P13_imputadas","Alberto Samid a intendente por Principios y Valores",0,0.019,0.02,0.022
"P13_imputadas","Alguno de los candidatos a intendente de la Izquierda",0.002,0.084,0.044,0.038
